start,end
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d7390b3fe609bbfca6c7975c0caabc58fd4976a2,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ee9e53f8a15cf28636c2f48026577592c92c3da9
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a28a593db9eea1018043f29856754edd541425b5,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cf639921793faabf7c318ed24254403ae7f0e788
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9e90cd160620948d831133eef64950c4c5f7f21b,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b49b444bd8ee8989fc2bcc12b488cb9ca915e1bd
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f95adfce33782fb909cf186be73e9ae28aec0e33,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9c721509bc45080bcbf3195f7be68930a40d786f
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/dfd285513f1ba8b96d22924119bb03a94e0a2424,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c4047bcc8c7d03fb84b10c734ccfc7a87bab2fba
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4db18d299673371fdb749b0dca316aa246f5d068,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/548cd0d9c9847d964a952bbdf6f2cb1deec61d2e
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8fdbf1e10da2bfde7f126e9689cad3e76a36d6d6,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/936270d8bfe65a69488be7d2b71affc03252458c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0dbcb411f09814156bc48259d69b012322545c04,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8cef4b3446c695e21547a0574c9e77ec62b408dd
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c4047bcc8c7d03fb84b10c734ccfc7a87bab2fba,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/985d4b7ac4a02c7a21b4614e96cd07f890ccc3ae
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4e3f32c6fa6098b3120ed243e35f92303cb4fd33,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a344a82b8c4d9be7f990859d553c505ab04d8b01
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6ceab5acbdf590d404c5d3add318d86f3cc2f600,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4150d45a987a65f58e839e690eb5650e87c870cb
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a344a82b8c4d9be7f990859d553c505ab04d8b01,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f2a926103b2a6c4edd1f0d9da9a324a2ffcaee8f
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e324989e79d27279facd64b14405223b5ef85865,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/60366543709dcd0a62e3de7760400a4dd84f455f
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/60366543709dcd0a62e3de7760400a4dd84f455f,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0dbcb411f09814156bc48259d69b012322545c04
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/53cc3eaa12c56aef6637db7333806f1ad090c7cf,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7291ecd9e798ec358bd76cee17836becd470e090
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/496cef94306300691bad888b4dd1e9b6e3bf3ab4,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/08323c76faa55d5315d4ea3877775b2668c5d765
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ee9e53f8a15cf28636c2f48026577592c92c3da9,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8fdbf1e10da2bfde7f126e9689cad3e76a36d6d6
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4150d45a987a65f58e839e690eb5650e87c870cb,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2d1482a16d4384f6b353027aef2baad0c0c9a305
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/985d4b7ac4a02c7a21b4614e96cd07f890ccc3ae,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/35420e30f7ee9827224e0e321f251c6706bc3d39
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b49b444bd8ee8989fc2bcc12b488cb9ca915e1bd,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/53cc3eaa12c56aef6637db7333806f1ad090c7cf
