id,name,lat,lon,uri,country,distance_to_border_m
EU00106,EU Staatsgrenze nächst Pamhagen,47.6882187,16.8839494,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cdb3c989033e68a24975f17bb6e54beeeb36c607,http://publications.europa.eu/resource/authority/country/AUT,1040.88
ATNd,Nendeln [BSTS_ID=1507],47.2001384,9.5415323,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1b257f58c941093a4197b2e1de70e59e85dfadf8,http://publications.europa.eu/resource/authority/country/AUT,2438.61
EU00029,EU Staatsgrenze nächst Vils,47.5604,10.5905,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0e06be4a967b3c7fd9e5a16c8a2b031433cb3ba1,http://publications.europa.eu/resource/authority/country/AUT,1061.58
EU00157,Staatsgrenze nächst Nendeln,47.16453,9.49064,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3e85e1753de465486f9236fd1684b137bb9f0b18,http://publications.europa.eu/resource/authority/country/AUT,6774.58
EU00109,EU Staatsgrenze nächst Kittsee,48.102834,17.084221,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5235134c4c1b0b282efa18dcf8a35f819c86a3c8,http://publications.europa.eu/resource/authority/country/AUT,877.84
EU00030,EU Staatsgrenze nächst Ehrwald,47.4697,10.9302,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6b23efca16490818bcce2ff1e95f2942df9abbbc,http://publications.europa.eu/resource/authority/country/AUT,607.5
EU00107,EU Staatsgrenze nächst Deutschkreutz,47.6267713,16.6248597,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ae2dc31b69f02426d9b43e36bb4c158afa5d73ca,http://publications.europa.eu/resource/authority/country/AUT,934.19
ATNd H1H,Schaan-Vaduz [BSTS_ID=1509],47.1679979,9.5075637,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b5198fcce923485d42581744838543744a202fb8,http://publications.europa.eu/resource/authority/country/AUT,5442.49
ATNd H1,Forst Hilti [BSTS_ID=2618],47.1810424,9.5207822,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c18ccc8e5f2f6a7685280842214e5ab3791a6568,http://publications.europa.eu/resource/authority/country/AUT,4044.33
ATVi H2,Hst außer Betrieb (Vi_H2) [BSTS_ID=2321],47.5586641,10.5962889,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ebd87f993ee83aa5c164edf4dece84195a856244,http://publications.europa.eu/resource/authority/country/AUT,699.57
EU00104,EU Staatsgrenze nächst Loipersbach-Schattendorf,47.6989655,16.4940757,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/401c9c2b0fe7ca48f2e4feb2e29a7de7378aa88e,http://publications.europa.eu/resource/authority/country/AUT,208.83
ATMog,Mogersdorf [BSTS_ID=1442],46.9455486,16.2292917,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6ea2a562dc18f9cd02fe83252c0ac79e5ab9d3ce,http://publications.europa.eu/resource/authority/country/AUT,446.97
EU00035,EU Staatsgrenze nächst Schärding,48.5633,13.4517,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/746b764ab90a82fd3e1fef76684fbc6d9da4d589,http://publications.europa.eu/resource/authority/country/AUT,590.84
EU00114,EU Staatsgrenze nächst Sillian,46.74025,12.37123,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/dd995467377fb66332040f73648827039a28ceff,http://publications.europa.eu/resource/authority/country/AUT,210.71
EU00116,EU Staatsgrenze nächst Thörl-Maglern,46.53482,13.64054,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e1197d215e8530391f1693314728c544ce6ebcad,http://publications.europa.eu/resource/authority/country/AUT,344.01
EU00034,EU Staatsgrenze nächst Braunau,48.262,13.0384,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ebff57a9dd3cbc4df9e43336d0ac66a8b561cacf,http://publications.europa.eu/resource/authority/country/AUT,148.22
EU00108,EU Staatsgrenze nächst Jennersdorf,46.9504875,16.2461343,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f43ca83e889565f918263c0369f37eadb00c95f3,http://publications.europa.eu/resource/authority/country/AUT,988.78
ATSch S52,Sbl Sch 5 [BSTS_ID=4659589],48.5615226,13.4487282,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4c817d2dabaa77ab9814c1bbc642289b306e13ff,http://publications.europa.eu/resource/authority/country/AUT,581.45
ATSch S51,Sbl Sch 5 [BSTS_ID=4659585],48.5555123,13.440043,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7ffe41c6315b003736e5666d378ac4ec120e46b1,http://publications.europa.eu/resource/authority/country/AUT,484.87
EU00103,EU Staatsgrenze nächst Baumgarten,47.7136868,16.54136,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bfcbb3ecd6fa1ca5fa1d27bd9348dc26dc24b3d3,http://publications.europa.eu/resource/authority/country/AUT,987.38
