id,name,lat,lon,osm_elements,min_distance_m,within_threshold,osm_type_compatible,error
ATAa,W.Mat.-Altmannsdorf (in Wbf) [BSTS_ID=3],48.163314,16.3321895,51,4.6,True,True,
ATAb,Aschbach [BSTS_ID=4],48.0691628,14.7551269,16,17.3,True,True,
ATAb S11,Sbl Ab 1 [BSTS_ID=6],48.0576071,14.7184398,20,1.5,True,False,
ATAb S12,Sbl Ab 1 [BSTS_ID=1351999],48.0575248,14.7177854,20,0.9,True,False,
ATAb S21,Sbl Ab 2 [BSTS_ID=1255763],48.0539385,14.6892271,20,1.3,True,False,
ATAb S22,Sbl Ab 2 [BSTS_ID=1352005],48.0538558,14.6885719,20,1.9,True,False,
ATAbf,Abfaltersbach West [BSTS_ID=7],46.7533577,12.5110855,5,5.2,True,False,
ATAbf A1,AB (Awanst) - Abf_A1 [BSTS_ID=4370839],46.7809651,12.647149,7,0.4,True,True,
ATAbf H1,Abfaltersbach [BSTS_ID=5517155],46.7581254,12.5295445,9,0.4,True,True,
ATAbf K1,Mittewald a.d.Drau (Awanst) [BSTS_ID=8],46.7696143,12.5951716,10,73.7,True,True,
ATAbz,Maxing [BSTS_ID=10],48.1714483,16.2950587,41,13.2,True,False,
ATAch,Achau [BSTS_ID=11],48.0827367,16.3762854,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
ATAch S11,Sbl Ach 1 [BSTS_ID=5407681],48.0675929,16.3886906,12,2.3,True,False,
ATAch S12,Sbl Ach 1 [BSTS_ID=5407684],48.0630299,16.3892336,7,4.5,True,False,
ATAch S21,Sbl Ach 2 [BSTS_ID=5407687],48.05634,16.3884669,6,5.2,True,False,
ATAch S22,Sbl Ach 2 [BSTS_ID=5407690],48.048523,16.3875344,6,6.8,True,False,
ATAd,Admont [BSTS_ID=12],47.5733559,14.4684012,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
ATAf,Andorf [BSTS_ID=13],48.3694039,13.5656516,11,30.2,True,True,
ATAf S11,Sbl Af 1 [BSTS_ID=14],48.3918144,13.5557361,10,0.7,True,False,
ATAf S12,Sbl Af 1 [BSTS_ID=1369856],48.3921115,13.555229,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
ATAg,Angern [BSTS_ID=15],48.3843202,16.8257298,30,34.4,True,True,
ATAg H1,Stillfried [BSTS_ID=16],48.4114782,16.8464858,13,10.9,True,True,
ATAh,Absdorf-Hippersdorf (in Ah) [BSTS_ID=17],48.4019763,15.9857389,43,1.2,True,True,
ATAh A1,AB - Ah_A1 [BSTS_ID=18],48.4159374,15.968999,13,1.1,True,True,
ATAh H1,Hst außer Betrieb (Ah_H1) [BSTS_ID=21],48.4187131,15.9687482,5,24.3,True,False,
ATAh H1K,Hst außer Betrieb (Ah_H1K) [BSTS_ID=22],48.4175198,15.9322418,3,68.9,True,False,
ATAh H2,Hst außer Betrieb (Ah_H2) [BSTS_ID=23],48.4392569,15.9849293,8,16.4,True,False,
ATAh S11,Sbl Ah 1 [BSTS_ID=19],48.4385978,15.9846254,8,0.5,True,False,
ATAh S12,Sbl Ah 1 [BSTS_ID=20],48.4412927,15.9858744,7,2.3,True,False,
ATAho,Absdorf-Hippersdorf Ost (in Ah) [BSTS_ID=4406436],48.3978486,16.0068762,17,0.4,True,False,
ATAhs,Absdorf-Hippersdorf Süd (in Ah) [BSTS_ID=4406432],48.391622,16.0052628,17,2.1,True,False,
ATAi,Aigen-Schlägl [BSTS_ID=24],48.6423772,13.975319,34,7.1,True,True,
ATAj,Salzburg Aigen [BSTS_ID=25],47.7885788,13.078793,21,1.6,True,True,
ATAj H1,Salzburg Süd [BSTS_ID=26],47.7701077,13.07853,16,3.1,True,True,
ATAj H2,Elsbethen [BSTS_ID=27],47.7609254,13.0803941,24,3.2,True,True,
ATAj H3A,Puch Urstein [BSTS_ID=1402929],47.7244446,13.0881488,17,7.1,True,True,
ATAj H4,Puch bei Hallein [BSTS_ID=28],47.7128426,13.0907713,20,9.8,True,True,
ATAj H5,Oberalm [BSTS_ID=1747],47.7007381,13.0931576,23,8.7,True,True,
ATAj S11,Sbl Aj 1 [BSTS_ID=29],47.7641676,13.0794513,18,2.4,True,False,
ATAj S12,Sbl Aj 1 [BSTS_ID=30],47.7636338,13.0797386,24,1.0,True,False,
ATAj S21,Sbl Aj 2 [BSTS_ID=60],47.7507379,13.0843488,29,5.2,True,False,
ATAj S22,Sbl Aj 2 [BSTS_ID=61],47.7500617,13.0843326,23,1.8,True,False,
ATAj S61,Sbl Aj 6 [BSTS_ID=137],47.7234744,13.0883477,17,1.2,True,True,
ATAj S62,Sbl Aj 6 [BSTS_ID=138],47.7197211,13.0889106,9,3.4,True,False,
ATAj S71,Sbl Aj 7 [BSTS_ID=31],47.7104603,13.0921225,22,12.8,True,False,
ATAj S72,Sbl Aj 7 [BSTS_ID=32],47.7098591,13.0922931,17,11.2,True,False,
ATAj U5,Üst Aj 5 [BSTS_ID=33],47.7332361,13.0881232,18,24.6,True,False,
ATAk,Aurachkirchen [BSTS_ID=34],47.9681586,13.7453652,6,5.6,True,True,
ATAk H1,Wankham [BSTS_ID=37],47.9980216,13.7302124,5,15.7,True,True,
ATAlb,Wien Albern Hafen (in Kls) [BSTS_ID=40],48.1619878,16.4758331,11,7.2,True,False,
ATAll,Allentsteig [BSTS_ID=41],48.7159885,15.3297662,22,10.0,True,True,
ATAlp,Altpinkafeld [BSTS_ID=42],47.3571353,16.1295611,31,0.6,True,True,
ATAlp A1,AB - Alp_A1 [BSTS_ID=1256286],47.3534536,16.1326347,7,11.9,True,True,
ATAlp H1,Hst außer Betrieb (Alp_H1) [BSTS_ID=1501631],47.3392525,16.1487341,5,6.6,True,True,
ATAls,Wien Albern Süd (in Kls) [BSTS_ID=5147137],48.1528794,16.4750931,12,7.2,True,False,
ATAms,Amstetten (in Ams) [BSTS_ID=55],48.121455,14.8788685,101,12.4,True,True,
ATAms A1,AB (Awanst) - Ams_A1 [BSTS_ID=1256347],48.0713377,14.7590055,37,2.2,True,True,
ATAms A2,AB (Awanst) - Ams_A2 [BSTS_ID=56],48.1065367,14.8375832,8,0.7,True,True,
ATAms A3,AB (Awanst) - Ams_A3 [BSTS_ID=57],48.0944071,14.8292863,7,0.7,True,True,
ATAms H1,Mauer-Öhling [BSTS_ID=1240764],48.0951965,14.8016491,12,54.2,True,True,
ATAms H1U,Greinsfurth [BSTS_ID=59],48.1079113,14.8385153,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
ATAms H2,Aschbach Haltestelle [BSTS_ID=1265643],48.0695462,14.7562172,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
ATAms H3,Krenstetten-Biberbach [BSTS_ID=5],48.055107,14.6999248,16,17.8,True,True,
ATAms S11,Sbl Ams 1 [BSTS_ID=2599],48.116701,14.8481887,25,3.6,True,False,
ATAms S12,Sbl Ams 1 [BSTS_ID=2600],48.1129402,14.8410561,19,13.6,True,False,
ATAms S31,Sbl Ams 3 [BSTS_ID=1255758],48.0872009,14.7836273,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
ATAms S32,Sbl Ams 3 [BSTS_ID=1351967],48.0863611,14.7823123,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
ATAms S81,Sbl Ams 12 [BSTS_ID=1256336],48.1021847,14.8200315,14,4.0,True,False,
ATAms S82,Sbl Ams 12 [BSTS_ID=1351974],48.0994158,14.8127485,12,4.6,True,False,
ATAms S83,Sbl Ams 13 [BSTS_ID=2601],48.0871031,14.7838021,28,0.8,True,False,
ATAms S84,Sbl Ams 13 [BSTS_ID=1351980],48.0862585,14.7824826,20,0.4,True,False,
ATAms S85,Sbl Ams 15 [BSTS_ID=1256355],48.0574731,14.718567,20,5.3,True,False,
ATAms S86,Sbl Ams 15 [BSTS_ID=1351986],48.0573895,14.7179067,20,5.4,True,False,
ATAms S87,Sbl Ams 16 [BSTS_ID=1256359],48.0537938,14.6892741,20,1.3,True,False,
ATAms S88,Sbl Ams 16 [BSTS_ID=1351992],48.0537111,14.6886137,20,1.9,True,False,
ATAms U14,Üst Ams 14 [BSTS_ID=1256343],48.0733977,14.762228,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
ATAms U2,Üst Ams 2 [BSTS_ID=2606],48.1009302,14.816284,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
ATAms Z1,Abzw Ams 11 [BSTS_ID=63],48.1145698,14.8444833,23,6.3,True,True,
ATAn,St.Andrä im Lavanttal [BSTS_ID=64],46.7628194,14.8416529,23,2.7,True,True,
ATAnt,Antiesenhofen [BSTS_ID=66],48.3473486,13.402087,21,2.3,True,True,
ATAnt A1,AB - Ant_A1 [BSTS_ID=68],48.429727,13.452272,11,11.9,True,True,
ATAnt H1,Dietrichshofen [BSTS_ID=69],48.3694275,13.4217113,7,38.7,True,True,
ATAnt H2,Suben [BSTS_ID=70],48.4026083,13.4331139,3,5.2,True,True,
ATAnt H3,Gopperding [BSTS_ID=2240],48.4408424,13.4582664,21,7.4,True,True,
ATAo,St.Anton am Arlberg [BSTS_ID=71],47.1273447,10.2673637,29,5.4,True,True,
ATAo S11,Sbl Ao 1 [BSTS_ID=72],47.1264725,10.2417962,2,3425.1,False,False,
ATAo S12,Sbl Ao 1 [BSTS_ID=73],47.1266282,10.2379399,3,141.7,False,False,
ATAo S21,Sbl Ao 2 [BSTS_ID=2567147],47.1281972,10.1997865,2,241.1,False,False,
ATAo S22,Sbl Ao 2 [BSTS_ID=2567151],47.1283012,10.1971935,3,44.8,True,False,
ATAo S31,Sbl Ao 3 [BSTS_ID=2567155],47.1301042,10.1522443,2,3361.5,False,False,
ATAo S32,Sbl Ao 3 [BSTS_ID=2567159],47.1302014,10.1498092,2,3546.1,False,False,
ATAos,Amstetten Ost (in Ams) [BSTS_ID=5131500],48.1223349,14.8997396,39,1.5,True,False,
ATAp,Aspang [BSTS_ID=75],47.5624453,16.0996579,34,4.1,True,True,
ATAp,Aspang Markt [BSTS_ID=75],47.5624453,16.0996579,34,4.1,True,True,
ATApo,Abzw Bl 1 [BSTS_ID=77],47.9930724,16.849434,22,3.9,True,True,
ATApo H1,Parndorf Ort/Pandrof mjesto [BSTS_ID=1240762],47.9919162,16.8523366,28,7.3,True,True,
ATApo H1,Parndorf Ort [BSTS_ID=1240762],47.9919162,16.8523366,28,7.3,True,True,
ATAr,Ardning [BSTS_ID=79],47.5906219,14.3589178,9,2.8,True,True,
ATArb,Arbing [BSTS_ID=80],48.2269974,14.7009614,18,8.5,True,True,
ATArb H1,Perg Schulzentrum [BSTS_ID=81],48.2424764,14.6406648,7,5.0,True,True,
ATAsd,Aschach a.d.Donau [BSTS_ID=83],48.3633725,14.0143618,30,3.6,True,True,
ATAst,Asten-St Florian [BSTS_ID=86],48.2364335,14.3992633,14,10.6,True,False,
ATAst H1,Linz Pichling [BSTS_ID=87],48.2428335,14.379182,16,2.2,True,True,
ATAst H2,Linz Ebelsberg [BSTS_ID=88],48.2519409,14.346816,52,10.5,True,True,
ATAst Z1,Abzw Ast 1 [BSTS_ID=1399829],48.2485951,14.3612579,13,23.1,True,True,
ATAt,Attnang-Puchheim [BSTS_ID=91],48.0126531,13.7208882,104,4.7,True,True,
ATAt H1,Lehen-Altensam [BSTS_ID=92],48.0355684,13.7008463,15,1.1,True,True,
ATAt H2,Wolfshütte [BSTS_ID=93],48.0530454,13.6814019,9,6.3,True,True,
ATAt S11,Sbl At 1 [BSTS_ID=94],48.0069785,13.7006749,13,25.4,True,False,
ATAt S12,Sbl At 1 [BSTS_ID=2650],48.0083331,13.6901729,8,20.4,True,False,
ATAth,Obernberg-Altheim [BSTS_ID=95],48.2702675,13.2592752,18,11.9,True,True,
ATAth H1,Mühlheim [BSTS_ID=96],48.2697126,13.2210471,7,5.9,True,True,
ATAu,Bad Aussee [BSTS_ID=97],47.599061,13.7765244,26,9.5,True,True,
ATAu H1,Obertraun-Koppenbrüllerhöhle [BSTS_ID=98],47.5645176,13.7204382,8,5.1,True,True,
ATAut,Autal [BSTS_ID=1390],47.0543939,15.5277902,11,56.6,True,False,
ATAuz,Ausschlag-Zöbern [BSTS_ID=99],47.5330796,16.0832617,14,4.4,True,True,
ATAw,St.Andrä-Wördern (in Aw) [BSTS_ID=100],48.3338456,16.2089974,28,2.4,True,True,
ATAw H1,Zeiselmauer-Königstetten [BSTS_ID=109],48.3266026,16.1750717,24,3.2,True,True,
ATAw H2,Muckendorf-Wipfing [BSTS_ID=110],48.3283328,16.1491019,24,4.2,True,True,
ATAw H3,Langenlebarn [BSTS_ID=111],48.3275106,16.1218298,22,2.7,True,True,
ATAw S11,Sbl Aw 1 [BSTS_ID=101],48.3266314,16.1746385,24,1.6,True,True,
ATAw S12,Sbl Aw 1 [BSTS_ID=102],48.3267258,16.173212,23,1.2,True,True,
ATAw S31,Sbl Aw 3 [BSTS_ID=105],48.327166,16.118508,16,6.6,True,True,
ATAw S32,Sbl Aw 3 [BSTS_ID=106],48.3276936,16.1235922,23,1.7,True,True,
ATAw S41,Sbl Aw 4 [BSTS_ID=107],48.324952,16.0970911,18,0.7,True,False,
ATAw S42,Sbl Aw 4 [BSTS_ID=108],48.3248235,16.0958496,16,0.1,True,False,
ATAw U2,Üst Aw 2 [BSTS_ID=1501591],48.328569,16.1455551,11,2.5,True,False,
