osm_id,name,type,ref,lat,lon
node/8091317,Wien Ottakring,halt,Ok,48.21182,16.3111913
node/8091320,Wien Hernals,stop,2,48.2232721,16.3148301
node/8091331,Wien Gersthof,stop,2,48.2308266,16.329064
node/8091423,Wien Heiligenstadt,station,Ht,48.2489807,16.3655452
node/9232378,Wien Jedlersdorf,stop,2,48.2740664,16.3959541
node/9232389,Wien Brünner Straße,stop,1,48.2676564,16.4036086
node/9232410,Wien Floridsdorf,stop,3,48.2563544,16.400016
node/9232449,Wien Traisengasse,stop,1,48.2350711,16.3830548
node/9232502,Wien Strebersdorf,stop,2,48.2859164,16.3812798
node/13876505,Freilassing,stop,4,47.8369012,12.9767718
node/25527144,Salzburg Sam,stop,2,47.819589,13.0630863
node/25527195,Puch Urstein,stop,1,47.724114,13.0881964
node/25527213,Hallein,stop,3,47.685227,13.0995485
node/25527228,Kuchl Garnei,stop,1,47.6516345,13.1283306
node/25527244,Golling-Abtenau,stop,2,47.6008136,13.1641322
node/25527332,Tenneck,stop,1,47.4944164,13.1789563
node/25527356,Werfen,stop,3,47.4728208,13.1952984
node/25527371,Pfarrwerfen,stop,1,47.4611085,13.1999006
node/25527402,Bischofshofen,stop,3,47.4178599,13.2200175
node/25527508,Radstadt,stop,2,47.3842914,13.4679935
node/25527547,Mandling,stop,2,47.404164,13.5681259
node/25527662,Öblarn,stop,2,47.4606984,13.9875739
node/25527792,Selzthal,stop,1,47.5502592,14.3128231
node/25527817,Stadt Rottenmann,halt,Rm H1,47.5277888,14.3650368
node/25527853,Trieben,stop,1,47.4889269,14.4900152
node/25527864,Gaishorn am See,stop,2,47.4890727,14.5467517
node/25527895,Wald am Schoberpass,stop,3,47.4502234,14.6709036
node/25527966,Kammern im Liesingtal,stop,2,47.3899566,14.903915
node/25528004,Leoben Hauptbahnhof,station,Leb,47.3866642,15.0897306
node/25528028,Niklasdorf,stop,2,47.3936959,15.1547831
node/25528105,Pernegg,stop,2,47.359274,15.3431949
node/25528183,Peggau-Deutschfeistritz,stop,1,47.2074093,15.3432574
node/25528225,Gratwein-Gratkorn,stop,2,47.1293073,15.3228784
node/25528260,Graz Hauptbahnhof,station,G,47.0723984,15.4165166
node/26827614,Jenbach,station,Jb,47.3884246,11.778271
node/26854311,Hall in Tirol,stop,3,47.2768461,11.5008661
node/26911359,Wörgl Kundl,halt,Kn,47.476097,11.9822888
node/27024450,Wien Simmering,stop,1,48.1700907,16.4194671
node/27144630,Kirchbichl,station,Kir,47.5196061,12.0939124
node/27147033,Münster-Wiesing,halt,Bri H1,47.4034925,11.8201746
node/27209470,Schweizerhaus-Luftburg,halt,,48.2134324,16.4012182
node/27322337,Wörgl Hauptbahnhof,station,W,47.4915138,12.0606215
node/29056188,Kalwang,station,Kag,47.4236383,14.7465147
node/29056350,Windischgarsten,station,Win,47.7153652,14.3269227
node/29056369,Roßleithen,halt,Piv H1,47.7243424,14.3090139
node/29056430,Hinterstoder,station,Hst,47.7745868,14.1788909
node/29056488,Klaus,station,Kus,47.8329258,14.1551389
node/29056542,Micheldorf,station,Mid,47.8830354,14.1260699
node/29056558,Kirchdorf an der Krems,station,Kik,47.9065433,14.1161595
node/29056587,Schlierbach,stop,1,47.9370068,14.111367
node/29056615,Nußbach,stop,1,47.9719009,14.1233091
