osm_id,name_osm,type_osm,ref_osm,lat_osm,lon_osm,nearest_op_uri,nearest_op_id,nearest_op_name,nearest_distance_m
node/69391819,Stadlau,stop,4269,48.2197134,16.4496137,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4192e87b47dff896f9ec8543ee6e414e4802ad38,ATSt,Stadlau Fbf (in St) [BSTS_ID=2090],204.8
node/1606447022,Wien Gutheil-Schoder-Gasse,stop,1,48.1593952,16.3357608,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1eaeaf0ecfe11f54e584d8b17925299f2d690d11,ATHez S92,Sbl Hez 1DL [BSTS_ID=4758940],208.9
node/2087660513,Wartberg an der Krems,stop,1,47.989231,14.1214085,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3934188c4ac21cbf3362a0ee4e02f4bf87ad203c,ATWak,Wartberg a.d.Krems [BSTS_ID=2375],209.3
node/2976591835,Wartberg an der Krems,stop,2,47.9892459,14.121539,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3934188c4ac21cbf3362a0ee4e02f4bf87ad203c,ATWak,Wartberg a.d.Krems [BSTS_ID=2375],209.7
node/3508395173,Bischofshofen,station,Bo,47.4179034,13.219954,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b83d2d17fab598868ca31f9d2c9712ef49d2306a,ATBo,Bischofshofen (in Bo) [BSTS_ID=199],213.0
node/25527402,Bischofshofen,stop,3,47.4178599,13.2200175,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b83d2d17fab598868ca31f9d2c9712ef49d2306a,ATBo,Bischofshofen (in Bo) [BSTS_ID=199],218.0
node/2524104955,Bischofshofen,stop,2,47.4178569,13.2198881,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b83d2d17fab598868ca31f9d2c9712ef49d2306a,ATBo,Bischofshofen (in Bo) [BSTS_ID=199],218.1
node/2524104958,Bischofshofen,stop,4,47.4178616,13.2200798,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b83d2d17fab598868ca31f9d2c9712ef49d2306a,ATBo,Bischofshofen (in Bo) [BSTS_ID=199],218.1
node/2524104949,Bischofshofen,stop,1,47.4178555,13.2198291,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b83d2d17fab598868ca31f9d2c9712ef49d2306a,ATBo,Bischofshofen (in Bo) [BSTS_ID=199],218.3
node/2524104962,Bischofshofen,stop,5,47.4178646,13.2202086,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b83d2d17fab598868ca31f9d2c9712ef49d2306a,ATBo,Bischofshofen (in Bo) [BSTS_ID=199],218.6
