uri,uri_canonical,id,name,lat,lon,op_type,op_type_label,country,op_type_code,op_type_name
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/10cff32ee210d0092313d41d4af0478cfd86a909,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/BELJ,BELJ,Rochefort-Jemelle,50.160442,5.266875,http://data.europa.eu/949/concepts/op-types/rinf/10,10,http://publications.europa.eu/resource/authority/country/BEL,10,station
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/20bfafbf03c44e19eeb9c96cbf6ae16de3e63021,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/BEOORDE,BEOORDE,Antwerpen-D.S.-Oorderen,51.282976,4.364428,http://data.europa.eu/949/concepts/op-types/rinf/20,20,http://publications.europa.eu/resource/authority/country/BEL,20,small station
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/23e4d32803c46221586b07991778195c49bab327,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/BEKALIS,BEKALIS,Antwerpen-W.H.-B.Kalishoek,51.284716,4.266391,http://data.europa.eu/949/concepts/op-types/rinf/20,20,http://publications.europa.eu/resource/authority/country/BEL,20,small station
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2ba0135817b24d9fbb682b52bd291fe50de125e9,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/BERLZRG,BERLZRG,Zeebrugge-Rooster G,51.311562,3.189982,http://data.europa.eu/949/concepts/op-types/rinf/120,120,http://publications.europa.eu/resource/authority/country/BEL,120,switch
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/36e1a4285e89dc0954e073b907f73724e77ec060,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/BELY,BELY,Huy,50.527239,5.234206,http://data.europa.eu/949/concepts/op-types/rinf/10,10,http://publications.europa.eu/resource/authority/country/BEL,10,station
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3a353e1b386d74b578969720c5f3803d5a65f0bc,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/BEFVSH,BEFVSH,Visé-Haut,50.743945,5.699119,http://data.europa.eu/949/concepts/op-types/rinf/20,20,http://publications.europa.eu/resource/authority/country/BEL,20,small station
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3afa16185f8f9848951def59d7c4d94c45807ba0,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/BENMDMA,BENMDMA,Marche-les-Dames-Marchandises,50.48071,4.96724,http://data.europa.eu/949/concepts/op-types/rinf/20,20,http://publications.europa.eu/resource/authority/country/BEL,20,small station
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3b313c362b5365e4660544656fda01a5ca14f7ce,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/BELKL,BELKL,Antwerpen-W.H.-B.Kallo,51.242766,4.273987,http://data.europa.eu/949/concepts/op-types/rinf/20,20,http://publications.europa.eu/resource/authority/country/BEL,20,small station
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3feb3cdcee32ef2336f110acf9d010431b02942c,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/BELBWB,BELBWB,Luchtbal-Wijkbundel,51.270998,4.43117,http://data.europa.eu/949/concepts/op-types/rinf/20,20,http://publications.europa.eu/resource/authority/country/BEL,20,small station
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/466c6c44a0344b64f08361f2dde75ab55a5a5ee7,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/BEMRVM,BEMRVM,Rivage-Marchandises,50.490921,5.586827,http://data.europa.eu/949/concepts/op-types/rinf/20,20,http://publications.europa.eu/resource/authority/country/BEL,20,small station
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/475f040aa718fb0b5e06cc5d23f5eed7df5ba124,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/BEZANDV,BEZANDV,Antwerpen-D.S.-Zandvliet,51.334071,4.3293,http://data.europa.eu/949/concepts/op-types/rinf/20,20,http://publications.europa.eu/resource/authority/country/BEL,20,small station
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5603c6042a68634a13396525502f59ba784c83b1,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/BEGWK,BEGWK,Welkenraedt,50.659464,5.974261,http://data.europa.eu/949/concepts/op-types/rinf/10,10,http://publications.europa.eu/resource/authority/country/BEL,10,station
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/674542b7bdb9eecbea03634105fd2dec8549fcf9,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/BELLPED,BELLPED,Arlon-P.E.D.,49.677805,5.817152,http://data.europa.eu/949/concepts/op-types/rinf/60,60,http://publications.europa.eu/resource/authority/country/BEL,60,train technical services
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/72bef4b9fbd668e2aa1fb14ad138b69d2ad188bb,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/BELMG,BELMG,Mariembourg,50.095489,4.525694,http://data.europa.eu/949/concepts/op-types/rinf/10,10,http://publications.europa.eu/resource/authority/country/BEL,10,station
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/749a3311e056e16ebae8c3534f312d45e272c796,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/BEGMN,BEGMN,Montzen,50.724724,5.938094,http://data.europa.eu/949/concepts/op-types/rinf/10,10,http://publications.europa.eu/resource/authority/country/BEL,10,station
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/75979c4e6b8d839c8ae7cc8332c664d38ad8c4b6,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/BEMSI,BEMSI,Monsin,50.657785,5.641834,http://data.europa.eu/949/concepts/op-types/rinf/20,20,http://publications.europa.eu/resource/authority/country/BEL,20,small station
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7eef7788550a3029349b88653c30c16373925ed5,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/BELT,BELT,Ottignies,50.671632,4.569615,http://data.europa.eu/949/concepts/op-types/rinf/10,10,http://publications.europa.eu/resource/authority/country/BEL,10,station
