osm_id,name,type,ref,lat,lon
node/9779713,Braine-l'Alleud,stop,,50.6844275,4.3757204
node/9779739,Holleken,stop,,50.7671635,4.3545174
node/9779800,De Hoek,stop,,50.7390659,4.3705382
node/9779819,Lillois,stop,,50.6450517,4.3651204
node/9780010,Linkebeek,stop,,50.7734259,4.3397887
node/9780360,Lembeek,stop,,50.7136778,4.2201521
node/16472285,Diegem,stop,,50.8900032,4.445673
node/17401552,Bruxelles-Midi - Brussel-Zuid,station,FBMZ,50.8356748,4.3362419
node/18349134,Oud-Heverlee,stop,,50.8355063,4.6533201
node/21308857,Zwijndrecht,stop,,51.2140743,4.3294607
node/21309047,Kortrijk,station,LK,50.8245646,3.2644362
node/21309096,Mouscron - Moeskroen,stop,,50.7400121,3.2275942
node/25922102,Mortsel,stop,,51.1832933,4.4477955
node/26446051,Verviers-Central,station,GV,50.5883259,5.8551021
node/26446136,Liège-Guillemins,stop,,50.6243785,5.5665643
node/26447188,Ans,stop,,50.661207,5.5097405
node/26667783,Trooz,stop,2,50.5732212,5.6885162
node/26667784,Fraipont,stop,2,50.5650657,5.7236728
node/26667785,Nessonvaux,stop,2,50.5720149,5.7419586
node/26668632,Welkenraedt,stop,,50.6594298,5.9755309
node/26856733,Hemiksem,stop,,51.1363712,4.338482
node/26856765,Niel,stop,,51.111348,4.3393257
node/26912267,Nivelles,station,FNVT,50.6011721,4.3354085
node/26949565,Bornem,stop,,51.0993185,4.2401846
node/26950216,Ruisbroek-Sauvegarde,stop,,51.0810543,4.3258468
node/26970589,Hoboken-Polder,stop,,51.1832178,4.3489033
node/31420361,Houraing,stop,,50.7025924,3.8350909
node/31420374,Papignies,stop,,50.6858308,3.8227305
node/31420400,Rebaix,stop,,50.6616016,3.7938787
node/31420437,Ath,stop,,50.6270694,3.7772675
node/33501471,Acren,stop,,50.7326301,3.8468935
node/33501505,Geraardsbergen,stop,,50.7701745,3.8720076
node/56336696,Gent-Dampoort,station,FGDM,51.0556078,3.7407518
node/60284322,Genval,stop,3,50.7255267,4.5151218
node/60284374,Mont-Saint-Guibert,stop,,50.6381206,4.6129485
node/60284570,Bierges-Walibi,stop,,50.7046079,4.5904859
node/60284868,Florival,stop,,50.7615261,4.6540274
node/60284903,Basse-Wavre,stop,,50.724333,4.6217169
node/60284981,La Hulpe,stop,2,50.7383164,4.4971436
node/60284995,Boitsfort - Bosvoorde,stop,,50.7950608,4.4078268
node/60287880,Sclessin,stop,,50.6105277,5.556327
node/60287902,Pont-de-Seraing,stop,,50.6195451,5.5089673
node/60289022,Bressoux,stop,,50.6444889,5.613126
node/60302419,Lonzée,stop,,50.5518423,4.720364
node/60407560,Tilff,stop,,50.5705065,5.5836948
node/60407609,Méry,stop,,50.5479716,5.587199
node/60475728,Denderleeuw,station,FDD,50.8918988,4.0714017
node/60476609,Zottegem,stop,,50.8689504,3.8143607
node/60561588,Voroux,stop,,50.6607553,5.4302071
node/60604168,Écaussinnes,stop,,50.5622035,4.1568824
node/60604215,Hennuyères,stop,,50.6512684,4.176475
node/60627328,Tilly,stop,,50.5576527,4.5522867
node/60657074,Liers,stop,2,50.6981836,5.5692575
node/60657148,Glons,stop,,50.7501872,5.5353117
node/60657501,Visé,stop,,50.7383911,5.6923745
node/60659021,Bilzen,stop,,50.8685195,5.5093692
node/60659076,Tongeren,stop,,50.7841041,5.4740053
node/60849456,Eine,stop,,50.8704945,3.623771
node/60849485,Zingem,stop,,50.9080667,3.6463442
node/60849496,Gavere-Asper,stop,,50.9291234,3.6400765
node/60849950,Oudenaarde,station,FDN,50.8513899,3.6015888
node/60850276,Eke-Nazareth,stop,,50.9609669,3.6279584
node/61139485,Chapelle-Dieu,stop,,50.5578501,4.6986
node/66180313,Bruxelles-Nord - Brussel-Noord,station,FBN,50.8601446,4.3614901
node/66233003,Liège-Carré,stop,,50.6405233,5.5619172
node/75488166,Bokrijk,stop,,50.9555815,5.4076169
