osm_id,name_osm,type_osm,ref_osm,lat_osm,lon_osm,nearest_op_uri,nearest_op_id,nearest_op_name,nearest_distance_m
node/4690599577,Hankar,stop,,50.820876,4.4053022,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6de47ecc23c8de10fd75f6b25c996c8881cdc8fc,BEFDEL,Delta | Delta,200.5
node/1453872876,Chênée,stop,,50.6075596,5.6174485,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cfdb4ad32073a6fae94db7e0c700c6ad3bef1de8,BEFCH,Chênée,202.9
node/5370990582,Chênée,station,FCH,50.6075232,5.6174231,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cfdb4ad32073a6fae94db7e0c700c6ad3bef1de8,BEFCH,Chênée,203.0
node/7881516164,Ouest,station,,50.4112808,4.4371825,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1bcdedd8b26af81ac31e3911b9ba5fbd5eec3973,BEFCRO,Charleroi-Ouest,203.0
node/1453872867,Chênée,stop,,50.6074842,5.6173949,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cfdb4ad32073a6fae94db7e0c700c6ad3bef1de8,BEFCH,Chênée,203.2
node/4966552041,Rixensart,stop,2,50.7129908,4.5313853,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/196b31e36118d3ce3989e9030a0cf08e1d248a65,BEMRX,Rixensart,203.8
node/2203525894,Rixensart,stop,1,50.713011,4.5314275,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/196b31e36118d3ce3989e9030a0cf08e1d248a65,BEMRX,Rixensart,204.3
node/1701346023,Scheldewindeke,stop,,50.9359764,3.778273,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/78369b93eab826e544b2776583e51c9238b848d7,BEFSK,Scheldewindeke,208.3
node/5639369117,Rixensart,station,MRX,50.7130451,4.5313534,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/196b31e36118d3ce3989e9030a0cf08e1d248a65,BEMRX,Rixensart,210.2
node/867138069,Ottignies,station,LT,50.6735333,4.5694838,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7eef7788550a3029349b88653c30c16373925ed5,BELT,Ottignies,211.6
node/3018027628,Hansbeke,stop,,51.0734456,3.534647,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1a1ef11220dd5d695d9a2fce4f50a31197106656,BEFHK,Hansbeke,212.1
node/4682150161,Gare Centrale - Centraal Station,stop,,50.8469251,4.3583472,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ee11be529eb87349631446f75f4921d6d63c3b43,BEFBCL,Bruxelles-Central | Brussel-Centraal,212.5
node/60657501,Visé,stop,,50.7383911,5.6923745,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2cc366e85fbebb61e09fcfbb93147b8d534a41c7,BEFVS,Visé,214.3
node/4902681749,Pannenhuis,stop,,50.8731696,4.3426027,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c3cc3baf24d035d30c1ac40a43a5099e90bd496b,BEGTX,Tour et Taxis | Thurn en Taxis,216.2
node/941457095,Visé,stop,,50.7383847,5.6922323,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2cc366e85fbebb61e09fcfbb93147b8d534a41c7,BEFVS,Visé,216.7
