start,end
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0dfad336f6aaf93b147382a0a65312121b638a1e,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ac3b9bd067a396c8e4d0cf629379b608e2c6bc5c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f509329f1852afb142a2ab7aa97b84671f43de52,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/24e05d3ed41602ba3789b59682ea0cfd0a7b3da9
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/66f8172c417ffa44e2bf6f389e27f020be74aa16,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5c216193c0d9350c1e0e3f4c1390f50daabe89d2
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d67cdff76eab20c5d266b457efec075703ecfa68,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f873821f60f8945696054056f02c04b6c30cf914
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a91754e239a4b64e20511e2f897648d2eeea69ab,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a88e8943125580d65ee333dc4f0d7f3a4f68295d
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ea1f890d817cce63f6378e9b8fa6a0bf1f57b9a8,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/63704872be7167f21062c8a0ea9a57fff902ce10
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ad505f3cf2711b8ad7852e4ea96d86c589aaa688,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/50cef441cbab7f91e4fd8450306abeacacc02f54
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d9b33e2c046e72354e79724cbc9de498608524c1,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8e8de43c822e41a37c676ae5a0570bca37c4515e
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0a9d6d6b4f6f448684d1d8aa0bdfd4543e448599,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ecbd23496521fba465faac16cb94d8c867b2488f
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ec36045f343415662fed13067a55d2bcbb0de59d,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d6641b06792c7828b3e96c360175a8acc623d2ad
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/47193b909043665481810638b57617fe92792ebf,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f7e1d7b74db0059a4fb99bceba375225cfa71f73
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bd9420a094ab9c9fb28fdcbd210b416cc99c87e9,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/add58bbfd3b1535cdfee219e5c39ba4370d34cf0
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3d98cf359abeddaa9224e12fa6b00f1cf5f28f14,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/41266e5776a78612e39535287a2510a9035559a7
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/66f8172c417ffa44e2bf6f389e27f020be74aa16,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/da7f3d899fd7e9d435341d87e34dd0a01d25308b
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7e5940ae99b035a9d29cfbca8a2d8da705162e3c,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/11a2b4d61ceaaa368df0c6f9d616c920134d085a
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/093c6dbab250ca429749a778561b6a9a642a767e,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3335767cf9cfd4ae31710f47d7bfefd8f4612f11
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/59bf4f21e6c61934f6fa20541f43c421cdfa8a0a,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/12f16b95ee6d6d9d6d5fc361d9ef2d4140ca287c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6f0ab3d89c0d0c68957c20df2aa3fe8d8c231863,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/00fa019c1ce0ad7da2ab28b4793d2ce652ba5db5
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e7902e835f9ffacb073e259db1e94e7a775084bc,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e16b876bbc07866e0afaa6ed54b7755e2993c24f
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b5d8f4284cf7ef0b391271502bf6bb66d5409e34,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/98a2196c6204029038193571240326a4d1d7cc1b
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ac3b9bd067a396c8e4d0cf629379b608e2c6bc5c,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1988ee4b9910af7df6d297f216a553646bfb77c5
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5b5515bad541d38f8d5759a1949058d867d78492,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5f6f865d4c365656e276fa488db9b67931ba2305
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3a583ce82b2c32061f3698cac0318def63f1ad49,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/16a6ca79b5d7267885a6c482422b5ddf147620d2
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/682d60b5019240d0a2e8144b4ba2e9ca24a2bc57,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/38620a547ef877d5bba1b0e5fddefa81f5540b57
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a460de608ca2c62b62d23e86a2ce697bdfbd6885,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3d98cf359abeddaa9224e12fa6b00f1cf5f28f14
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/38cb162fb5d838b257a7b79007ad6a7005e39944,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e3cc487686cb818e8bda86224c9a4673d3e20eb9
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/124d1d906a9a447d3b709d5867e6d2a9559faa25,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/759b07a02405b790df7bcf9e6ae4e0357311e2ce
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a8baffa74c22c467e326b488124059c645c84c74,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/08eac35a70ffa56063e64f6b32ed6c59c0fe6146
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b466cbb98245ced1231fc5e2d978f07626446078,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1fcef3dcbd6d0c08086eea88c50e6045689d8de0
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ab25a8ba07a57bced555a97f1016f480efdf19b3,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/66f8172c417ffa44e2bf6f389e27f020be74aa16
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/73a4dd89ced2d8a69c741393a92f4353f2942c62,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/08f15f6789d00041ce27d8d6580390a3b6b67f1c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fcdd6ca8a13afebdcdd3cfd95393c1d5793136b1,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4926e79a381b3d2923bcf1e90028770e838820ba
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b83bb4940773552a65da85cf33eee9b0cde6b623,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bd9420a094ab9c9fb28fdcbd210b416cc99c87e9
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8267b453127684aeb0d24bdd12928afc1ac4d951,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/26289d2de28c76990a74a2ad578e8a8f5f8f3f6e
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f7e1d7b74db0059a4fb99bceba375225cfa71f73,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1094c0a7c7116f94cd1f6ad165e8aa28fa4dc254
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fbd506469e8e45e895fed7092f5a10d486cdcc2c,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d0407adce44bf0c38bbfabc9287df78cf546ea61
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c74e56716a9aae758c9c7dd34d9011245a44ed88,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/99ce3423284d99810c27b80855be32d7454dac1c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/774d3c9c3a6584b2fa2bb337c483361c10ded23c,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b9a68db999bf0fac82de8847f712dbff3c811f16
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/98a2196c6204029038193571240326a4d1d7cc1b,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1a1f85623f63fbfef37d5d6e926952ccffb96965
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/90092c802d40085e94512f03103e70c52b2e910d,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bf306432ef75acef3e01f15122a7aa7eb637c294
