osm_id,name,type,ref,lat,lon
node/262893581,Хисар,stop,,42.5055117,24.7009237
node/268431191,Бл. Захариев,halt,,42.2123667,24.0489075
node/268431206,Пазарджик,stop,,42.1697095,24.3207901
node/268431234,Стамболийски,station,,42.1332185,24.5364004
node/268770715,Мусачево,halt,,42.6904625,23.5345666
node/268771211,Вакарел спирка,halt,,42.5881868,23.6645224
node/270974264,Иваняне,halt,,42.7159257,23.1674214
node/276355179,Хераково,halt,,42.8142358,23.0976875
node/278617024,Банско,station,,41.8439702,23.4902688
node/281144692,Обеля,station,0,42.7406882,23.2761026
node/281144759,Сливница,station,1,42.7267975,23.2618521
node/286432423,Сарафово,station,,42.5675123,27.492716
node/288154193,Добринище,station,,41.8254363,23.5622341
node/289358519,Стайновци,halt,,42.9016417,25.4940828
node/289394137,Полско Косово,halt,,43.4269642,25.6702522
node/289402753,Моруница,stop,,43.4901573,25.755105
node/296087790,,station,,44.0042066,22.9087048
node/296094884,,station,,43.9638509,22.8672132
node/296589197,Русе Разпределителна Гара,station,,43.8580316,25.9976712
node/303927265,Червен Бряг,station,,43.2822393,24.0789073
node/303927316,Хумата,stop,,43.2868725,24.2092556
node/303932341,Горна Крета,halt,,43.1224785,23.6989797
node/303932395,Лютиброд,halt,,43.1118133,23.6296684
node/303934270,Оплетня,stop,,43.0973592,23.4315241
node/307364707,Перперек,halt,,41.6858074,25.5435161
node/307364789,Калоянци,halt,,41.6706802,25.5474626
node/307364839,Момина скала,halt,,41.6146827,25.4659301
node/307365208,Средна Арда,station,,41.6380606,25.512172
node/307365214,Царева поляна,halt,,41.781404,25.590746
node/307365500,Маслиново,halt,,41.767628,25.54219
node/307365616,Мост,stop,,41.741033,25.53042
node/364502644,Трявна,stop,,42.8735183,25.4966123
node/393836420,Стадион Васил Левски,station,9,42.6861116,23.3324048
node/401623964,Люлин,station,2,42.7179986,23.258081
node/401623967,Западен парк,station,3,42.7116109,23.2697663
node/401623972,Вардар,station,4,42.7059742,23.2848286
node/401623978,Константин Величков,station,5,42.701712,23.2993033
node/401623983,Сердика,stop,3013,42.6978209,23.3210732
node/420844577,Маврудово,halt,,42.0661155,24.8392038
node/420844634,Ихтиман,stop,,42.4292619,23.7988699
node/420844700,Момин проход,halt,,42.3311717,23.8702113
node/420844727,Костенец,stop,,42.308246,23.8600371
node/420844793,Бойка,halt,,42.2588579,23.9040214
