uri,sol_id,start,end
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/000e22757e9def0c311b06c98e55d34697359ccd,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/32_BG32007_BG16909,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/BG32007,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/BG16909
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/0045478e60b35d694bfccdc80b7997228346d996,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/8_BG83015_BG83016,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/BG83015,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/BG83016
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/018cc3c30125efd499447bebda7204bb04e25d27,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/4C_BG14000_BG44033,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/BG14000,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/BG44033
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/019a434ffd55d38f177b98125961b3f4bfc68807,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/7_BG72030_BG72032,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/BG72030,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/BG72032
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/02f728faed17df36ab507cdda3cf175aeddb8b84,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/4A_BG43020_BG43012,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/BG43020,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/BG43012
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/031b30bd1b53463022caecbdeadea2e06da5763f,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/8_BG38009_BG83003,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/BG38009,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/BG83003
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/03448ea55740c40f53855b16924f6c2adeb227a1,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/38_BG23000_BG23900,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/BG23000,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/BG23900
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/03a5e2de3396b4e7706c5d417318d066f83f2956,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/8_BG84021_BG38000,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/BG84021,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/BG38000
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/041b3e7448759ccd6173421e2778584e04599750,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/3A_BG34004_BG34006,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/BG34004,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/BG34006
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/0465cdcb989e9ebb715c6eda19cb6a479bf1a0a2,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/4A_BG24000_BG43029,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/BG24000,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/BG43029
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/047449b3cc129a898c6b55790eda940d0cb905ae,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/8A_BG83505_BG83019,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/BG83505,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/BG83019
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/058c62debfacfe34ad96f89b1454dd8d68d24ca0,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/2_BG29020_BG29022,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/BG29020,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/BG29022
