start,end
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/21d21ff4a73cc86803222c9ccc5f8bef3c52169f,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3c8196c9ed9c8aac70600de7605b43e163babb55
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/52ba67439c5549642209a0a33e27024f314a6d7c,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3b8cd2e7d13e67764faa9fd9344b4919fe962eb2
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a6b77bf8d461daa23d0b5d1d67768edc4868da3d,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a86db4b6e4d719c2b3b471cb67c80fcf674071cf
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ebdc914b66dd275a15e30a800d6d4ea748439003,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/83405a92e308ef7a5533ae1232093ed71c3565f5
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/49cadf70a10813a084cd7d594d8cfc482cecfe0a,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8ade40983621df45a0aff084fd77f0078b1b6f7f
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6936aed8f57d07043e566da7bec4e5ac86e1d71a,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a9293bbff9b994ebe96ee05d25e23ec3f87947df
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ebcf7ad0ae21c3224a9fb84cd435690f9c9004ea,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b837c025660c019e94bd9e1c0a5ffcd4d6a2e024
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/621bb0750c92e8254b17ee08d1c94f2d827cd4ef,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/242bdeb826fe52240f2a35efb8b07c71266877f0
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/83ead3b8599d9a5a2a7940c5b4c7ba0a62c5405b,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f2c594836a75ff67a3fef3cc1de8b469416371de
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/00136bf832137a8472ecd73bd8b03199f448d206,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/33154af8b528a2d1d8dad28a55e7974abddc3357
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7496ebf7dcbe30ac7d7e9b2bea1724978f12e0c0,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/733142e74a4656b7375e480e0ed7bd71ba15f3a5
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fe102eda45c07b75bb134d9fdbf208aa5e5f195b,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ac21455ef74fcc2fd1c117f72843b193eb4d07be
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/98b099d3d31149120645c0c1e4f581d0fc6e9ee5,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/26d98764c48c3e2fdb7d19157e95f0e14365a07c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2131b51006085d9a79dc9e9cadbf984a1c7bcaf9,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3371596bac80eea67d6732cd95cb1643edf4d506
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/08b8074ac31bb1eb6e842142e6f37e468fc0211d,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8f4738575fc7fb9239d45bc14833e8700d5f90f4
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/391183420ebcdd8bec3205b2ff9ffbb28605df25,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4bcf01f95e76a68d7db3c99fba9dcfc5abf1559a
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1292e3889076390f22b756f1fb82dd7eb51424f4,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/efd9f771a9a66686158f0e31a44f886e9027b647
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d1c61553b41faaffa2845c579a19487b5dcd39b5,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6b1a94a9071f8108a635025ab34b26de1a086a86
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4a7d82f989ac244723fd7743fc3ce32fbb9afc1b,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4cb553564e02343a904cd16eac6a2189e3df1229
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/702d39589bbd6541db502715192a987c9090aeb1,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3886c561059b1992cb8af59b27c0d7958f21dde8
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6d4855f3d9b8a38b14be984673a71facb9b7c7ca,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/da60a116cdf1c0e3079dccf370114dcabc9ca5cb
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a03d38a909e5df3f93e1865b1efd485e2763da9d,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/28f1f04e8ea05909f51043245ad38e03b7bd667d
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bada690ecfdc7689be306dbd82d5d7380d4de61b,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/391183420ebcdd8bec3205b2ff9ffbb28605df25
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/43875df44a09afbdf2bd282d8d3fcfec99fdacb4,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e8f609e7c4c4a977955aab177776308d5e7026b1
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a86db4b6e4d719c2b3b471cb67c80fcf674071cf,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5e0521c116f74e61c9c3c27a84fc72557671d498
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7acee9c688b5961e8cfef13217c8865a22e9abf0,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b15df743c440294848554dcada5b284c5c56c56a
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0885102f86d4baba1ab3f6e85f30253d4440c24e,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6936aed8f57d07043e566da7bec4e5ac86e1d71a
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b3810c8f128a6f8cd22f6abdd56d5da3c0951353,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/efdfee9740679927906b9d319abf51179bbf675c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3c8196c9ed9c8aac70600de7605b43e163babb55,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ff54ceffcf5749ca3110014d8a788b9857dbf7b3
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bd8c09ef7e3b235ccf6f8c4eee47a521de6d4ced,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1b039eb2b83acd55fdc0fcb9062e54cf087d4e5b
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bd1093eecca0ad49dfeaa6a9e850fe5bb37501f3,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/19087797ee1b56c33a806eeeb767a57e0831f944
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/03568985db907e12bedad738bd29cf158013f60e,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3bd127464772c9bb170c94894b72b76abb28ef3a
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/280ae665d7e91b607108f6b4d3a5d7169b430ed7,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7fa1b39afdc17542abb79e5dd634ac4e053f39d5
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/882d8b333886480e1046da8cc67b15c255bfa7a0,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a50012c7c00a47af615476ca59c1aaaaef841126
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/274acf77c8380e049630d36fed3f3ef085ca222f,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cc827f4dc7fabaa7abf01cc199c6da512b44675a
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ca86bab43a1220c95207065a4311dfdb67a87460,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4c82e621f9b9ad54e89bdf76be8e432ef203510c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ddaff2a6612d7c6cf4aa16fdb21b06ded03330cd,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ca86bab43a1220c95207065a4311dfdb67a87460
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/da60a116cdf1c0e3079dccf370114dcabc9ca5cb,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/03568985db907e12bedad738bd29cf158013f60e
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/92c4a38c970797e0d28a02c11b744e60a467049b,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c34bc836c275a57cfddc6a4f17d28bbee2a5fb7c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b837c025660c019e94bd9e1c0a5ffcd4d6a2e024,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fc37952d51379e0ae3158f83da0eac923730dd8c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2e236fd8da006e74dd5b99ce325d9df0f7985abb,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2131b51006085d9a79dc9e9cadbf984a1c7bcaf9
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/33154af8b528a2d1d8dad28a55e7974abddc3357,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1081b420736f17a0022e66454524edc7afc2ef81
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/da84c0e08509ae3c80d7b401bf0a4010cd619838,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/708f1b08aef3970a4a63f343fa23cc0c9c2dd4ca
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/efdfee9740679927906b9d319abf51179bbf675c,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2a7824d9f1e1ccdc28054913cab90a517b4cadcd
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/56a58441622867fa1fe575484f1aa6c535cd141f,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3afe1ab83d889d53aa7a4adc8c5af1d7252737c7
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2c8dbc602399323624383d29850901491351adfa,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8256c0e394879d5cc3a59b2b3b4375375c289692
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/16268ef53aff3e259d83e325e86eb5c66b2cf0a9,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a03d38a909e5df3f93e1865b1efd485e2763da9d
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1a2305e0a89e58e6aa8c169626e5cbaf4a4bff2f,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7496ebf7dcbe30ac7d7e9b2bea1724978f12e0c0
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e39143f007fe187ed106d5f96262e89a0ab5c696,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/61790358e272b30eb3539a8d15fbf35e66d4b9f4
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b15df743c440294848554dcada5b284c5c56c56a,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d35225677c70a115bf120b5faf5146383db87e83
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f3832e0caed724017764f4d3dd809776be03abc4,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0a5e40187b3d2ca8048e5faef16821a31aabe1a5
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/19087797ee1b56c33a806eeeb767a57e0831f944,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a1e0a7ae11a9df9fecfda43bc5c50f7b7d232ad6
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1b039eb2b83acd55fdc0fcb9062e54cf087d4e5b,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/311b76ac7fac2baefc21297df9da2c3d8a0ad4a0
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8256c0e394879d5cc3a59b2b3b4375375c289692,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3bab34a32f4d27b336c67c6449123b2be74e8a6c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/22d9c9898323aadb17fa132e5bb56ad53e5508da,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/34dd97771f66725e2be1dd82f48e81b0a7511c22
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7e2474ebabad1461133635e2caaa79beba90d165,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a0151b944494d00c620c58d59b1b59720d56b8c4
