id,name,lat,lon,uri,country
HR74202,Vukovo Selo,45.9108,15.6896,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c43c99b090346880eaeca2b342bb0636b4266d74,http://publications.europa.eu/resource/authority/country/HRV
HR75307,Bubnjarci,45.6442,15.35131,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/00a30bc746bca712500e1bf4039d79934e59a716,http://publications.europa.eu/resource/authority/country/HRV
EU00216,Savski Marof DG,45.89068,15.68015,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/00e4e900f035a5e85dbac29b42ec2d79c2cdc8d2,http://publications.europa.eu/resource/authority/country/HRV
EU00219,Buzet DG,45.45398,13.9501,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/073db3f47872e97bab7b5f8cfa0bc717c8fd5290,http://publications.europa.eu/resource/authority/country/HRV
HR76660,Split,43.5047,16.443,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0ae73212fefd34b57ff47b46bd8b063776cbdca5,http://publications.europa.eu/resource/authority/country/HRV
EU00202,Beli Manastir DG,45.79834,18.55795,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0e9b69c36ad427b4087aefb0dd6272d29f9fa248,http://publications.europa.eu/resource/authority/country/HRV
EU00217,Šapjane DG,45.50518,14.24422,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/28f5afd68c32abfd724d76438b4aeffad0c243d4,http://publications.europa.eu/resource/authority/country/HRV
EU00215,Kamanje DG,45.64556,15.34289,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2c3db737b98afd2a077c9da6c43ee569ec9e60c5,http://publications.europa.eu/resource/authority/country/HRV
EU00226,Tovarnik DG,45.14734,19.16442,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/50a8853a10899e19fc5c405dafabb581fd3af1d1,http://publications.europa.eu/resource/authority/country/HRV
HR71208,Erdut,45.5074,19.0491,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/817bed61438fac782e8768001678d027db4c6f58,http://publications.europa.eu/resource/authority/country/HRV
EU00214,Kumrovec DG,46.11559,15.60657,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8f411bbabda399f899ce10dd39138a8fa46cfbb3,http://publications.europa.eu/resource/authority/country/HRV
EU00227,Erdut DG,45.52332,19.08632,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cebb7d5bdc9d6b34f87e00b33ce4df92ee0c146f,http://publications.europa.eu/resource/authority/country/HRV
HR74212,Harmica,45.8916,15.6857,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d9b5f784ca4b0ca6051bc6925697875df411a0ae,http://publications.europa.eu/resource/authority/country/HRV
EU00213,Mursko Središće DG,46.51546,16.44405,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/da11cf3b6fdeea198fd36d3661ad5bd44ce51602,http://publications.europa.eu/resource/authority/country/HRV
HR74201,Sutla,45.8861,15.6951,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/efd9f771a9a66686158f0e31a44f886e9027b647,http://publications.europa.eu/resource/authority/country/HRV
EU00203,Kotoriba DG,46.35918,16.85202,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f4500dfd1a06d1cd771795c543a5c61646a2da3e,http://publications.europa.eu/resource/authority/country/HRV
EU00222,Metković DG,43.05886,17.65746,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f6468dbf8dcc9e9c42cbbca75689cfb0fda6649f,http://publications.europa.eu/resource/authority/country/HRV
