id,name,lat,lon,uri,country,distance_to_border_m
EU00075,Cesky Tesin st.hr.,49.7521247,18.6187543,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9ef82707653bab905a0e0406ce417811e8dc3505,http://publications.europa.eu/resource/authority/country/CZE,207.66
CZ74305,Potucky,50.430215,12.738893,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0440a811fd188f1a07343ec95e5017fd7de27bb7,http://publications.europa.eu/resource/authority/country/CZE,925.13
CZ56689,Varnsdorf,50.903194,14.638647,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9e39b02a0605027cc176b26f20ce0458113d96ca,http://publications.europa.eu/resource/authority/country/CZE,402.12
CZ56529,Dolni Poustevna,50.983438,14.28318,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/023737ff6854c480f188e6c8205d89143c65280d,http://publications.europa.eu/resource/authority/country/CZE,200.0
CZ37185,Vlarsky prusmyk,49.033049,18.053038,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/97a1b223c2d3b4a5b65d1f3300873ea7a71f69e3,http://publications.europa.eu/resource/authority/country/CZE,761.82
CZ77025,Zel.Ruda-Alzbetin,49.121602,13.209441,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cc39636dbcea129627a6bd1dd42b2b053236a1ff,http://publications.europa.eu/resource/authority/country/CZE,598.46
CZ38002,Cesky Tesin fryd.prn,49.737949,18.62311,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0cd1c882d83c8de9b9e322e20ee38f0732a51536,http://publications.europa.eu/resource/authority/country/CZE,19.15
CZ33234,Cesky Tesin,49.743776,18.622432,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0185964e907b4fa0b50ed12e12ddc23c8dc48d74,http://publications.europa.eu/resource/authority/country/CZE,172.86
CZ73632,Ceske Velenice,48.769268,14.957807,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7c0396d906b5d0e2c69d45835f2149e970213323,http://publications.europa.eu/resource/authority/country/CZE,415.05
CZ53949,Vejprty,50.500247,13.033519,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/227691eae17f30b0869b521fb45f0e7bc47914b2,http://publications.europa.eu/resource/authority/country/CZE,469.72
CZ75222,Horni Dvoriste,48.60182,14.421906,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/506790a5d07d49e43e01258f73f746f14249e8c8,http://publications.europa.eu/resource/authority/country/CZE,524.08
