id,name,lat,lon,osm_elements,min_distance_m,within_threshold,osm_type_compatible,error
CZ30000,hi Albrechtice,49.792819,18.528161,31,7.2,True,True,
CZ30001,hi Bohumin predn.,49.889579,18.342144,27,29.6,True,True,
CZ30002,hi Havirov,49.793174,18.422834,24,2.9,True,True,
CZ30003,hi Louky n.O.,49.809973,18.567474,8,82.5,True,True,
CZ30004,hi Ostrava stred,49.830256,18.283179,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
CZ30005,hi Paskov,49.72938,18.304552,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
CZ30006,hi Trinec-Konska,49.697477,18.646813,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
CZ30007,hi Vratimov,49.764451,18.307848,7,6.5,True,True,
CZ30008,hi Sumperk Desna,49.963482,16.994549,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
CZ30009,hi Milotice nad Op.,50.01347,17.555441,31,10.5,True,True,
CZ30011,hi Ostrava-Kuncice,49.807888,18.296977,14,15.1,True,True,
CZ33005,Bojkovice mesto,49.035337,17.811044,10,11.0,True,False,
CZ33012,Blatec,49.525464,17.246139,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
CZ33014,Albrechtice u C.T.,49.79276,18.524339,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
CZ33015,Adamov,49.295415,16.663198,23,5.9,True,True,
CZ33022,AHr Nemilany z,49.558732,17.244292,3,3.9,True,True,
CZ33024,Baska,49.651064,18.369132,18,9.3,True,True,
CZ33025,Adamov zast. z,49.301993,16.648105,7,68.9,True,False,
CZ33032,Olomouc-Nove Sady z,49.570875,17.260583,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
CZ33035,Babice n. Svitavou z,49.27654,16.672735,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
CZ33042,Bludov,49.927774,16.938769,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
CZ33043,AHr Zamecek,49.946319,16.956103,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
CZ33045,Bedihost,49.441677,17.166581,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
CZ33046,"Bludov km 6,300",49.918682,16.931072,19,1.1,True,True,
CZ33048,"Bludov km 50,072",49.925318,16.927883,10,2.2,True,True,
CZ33051,Odb Svitava,49.257908,16.668918,11,8.4,True,True,
CZ33052,AHr Bohutin z,49.951677,16.876022,4,5.1,True,True,
CZ33054,Studenka mesto z,49.716277,18.065136,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
CZ33055,Celcice z,49.41185,17.191383,4,15.6,True,True,
CZ33062,Bludov lazne z,49.940855,16.902754,4,16.1,True,True,
CZ33064,Bilovec,49.753319,18.013968,15,7.0,True,True,
CZ33065,Doloplazy z,49.352742,17.161682,7,4.3,True,True,
CZ33072,Bohdikov,50.026256,16.901386,16,25.8,True,True,
CZ33074,Velke Albrechtice z,49.748596,18.030914,5,5.8,True,True,
CZ33075,Pivin,49.38749,17.18875,9,3.9,True,True,
CZ33082,Komnatka z,50.009492,16.897234,6,2.5,True,True,
CZ33084,Budisov n.Budisovkou,49.795759,17.614053,11,2.6,True,True,
CZ33085,Bilovice n. Svit. z,49.242516,16.673399,12,7.7,True,True,
CZ33092,Bohunovice,49.663025,17.281105,15,5.0,True,True,
CZ33094,Svatonovice,49.799332,17.667952,14,7.5,True,True,
CZ33095,Blansko,49.352021,16.647777,44,9.0,True,True,
CZ33102,Hlusovice z,49.638981,17.281152,3,9.0,True,True,
CZ33104,Bystrice,49.636022,18.717487,14,10.3,True,True,
CZ33105,Dolni Lhota z,49.387547,16.633782,10,3.2,True,True,
CZ33112,Branna,50.146918,17.015046,18,16.8,True,True,
CZ33114,Hradek z,49.613748,18.739469,8,0.5,True,True,
CZ33115,Blansko mesto z,49.361155,16.639302,11,2.7,True,True,
CZ33122,Brantice,50.052048,17.611626,8,11.2,True,True,
CZ33124,Vendryne z,49.656458,18.695991,12,7.2,True,True,
CZ33125,Blazovice,49.163685,16.798251,37,11.6,True,True,
CZ33132,Zator z,50.03937,17.596263,8,2.6,True,True,
CZ33135,Krenovice dol.n. z,49.144209,16.834138,11,12.9,True,True,
CZ33142,Brodek u Prerova,49.482046,17.337388,31,2.3,True,True,
CZ33145,Bohuslavice n. Vlari,49.096204,17.926159,17,9.7,True,True,
CZ33152,Rokytnice u Prer. z,49.460656,17.374091,10,19.8,True,True,
CZ33155,Divnice z,49.097677,17.914588,4,4.5,True,True,
CZ33162,Bruntal,49.993579,17.47449,53,6.6,True,True,
CZ33165,Popov z,49.080676,17.967098,6,28.4,True,True,
CZ33172,Mala Moravka,50.010144,17.317286,5,8.1,True,True,
CZ33175,Bohuslavice u Kyj. z,49.054898,17.119262,10,10.5,True,True,
CZ33182,Kozusany z,49.540312,17.250007,4,1.1,True,True,
CZ33185,Bojkovice,49.036149,17.795574,25,13.7,True,True,
CZ33192,Rudna pod Pradedem z,50.035976,17.401201,7,12.5,True,True,
CZ33195,Pitin zastavka z,49.037466,17.843004,8,8.4,True,True,
CZ33202,Svetla Hora,50.043067,17.39442,11,3.4,True,True,
CZ33205,Boskovice,49.491169,16.651302,15,18.0,True,True,
CZ33215,Bori les,48.737938,16.867159,26,3.6,True,True,
CZ33222,Rudna p.Prad.zast. z,50.023099,17.33897,4,6.8,True,True,
CZ33225,Bozice u Znojma,48.823278,16.287761,19,2.1,True,True,
CZ33232,Bridlicna,49.913311,17.382609,22,2.8,True,True,
CZ33234,Cesky Tesin,49.743776,18.622432,49,34.6,True,True,
CZ33236,Branky na Morave,49.45937,17.906097,14,8.2,True,True,
CZ33242,Bridlicna zast. z,49.912426,17.3696,10,12.1,True,True,
CZ33244,Chotebuz z,49.781432,18.598223,17,2.5,True,True,
CZ33246,Police u Val.Mez. z,49.450585,17.868314,8,12.1,True,True,
CZ33252,Raskov z,50.040262,16.912606,7,2.9,True,True,
CZ33254,Ropice zastavka z,49.716755,18.626712,14,21.9,True,True,
CZ33255,Bransouze,49.305693,15.74934,18,5.4,True,True,
CZ33264,Dehylov,49.880559,18.171021,13,5.3,True,True,
CZ33265,Primelkov z,49.343524,15.741459,6,1.6,True,True,
CZ33274,Detmarovice,49.900191,18.466407,25,1.4,True,True,
CZ33275,Dolni Smrcne z,49.322948,15.747423,7,12.4,True,True,
CZ33283,Dobra u F-M kolej 90,49.671551,18.435866,7,13.6,True,True,
CZ33284,Dobra u Fryd.-Mist.,49.670844,18.41443,30,1.0,True,True,
CZ33285,Cichov z,49.281959,15.763498,7,3.0,True,True,
CZ33292,Celechovice na H. nz,49.513537,17.096907,18,5.3,True,True,
CZ33294,Dobratice-Vojkov. z,49.669711,18.472848,6,1.6,True,True,
CZ33295,Brno hl.n.,49.190934,16.613358,217,10.4,True,True,
CZ33296,Komarovska spojka,49.180635,16.607323,112,8.0,True,True,
CZ33302,Kaple z,49.531141,17.104667,4,2.8,True,True,
CZ33304,Dolni Benesov,49.923121,18.119175,9,9.9,True,True,
CZ33305,Brno-Horni Herspice,49.167499,16.606887,102,5.4,True,True,
CZ33306,H.Herspice modr.zhl.,49.157981,16.606715,41,3.0,True,True,
CZ33307,H.Herspice vyh.c.651,49.172907,16.610519,46,8.9,True,True,
CZ33308,H.Herspice zhl.S.sil,49.1614,16.597522,32,0.8,True,True,
CZ33312,Cervenka,49.724049,17.091105,47,3.6,True,True,
CZ33314,Kozmice z,49.910543,18.15376,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
