id,name,lat,lon,uri,country
DK00773,Hirtshals,57.5918,9.9631,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0908d2da0bd6fb67a428290694506b137711f593,http://publications.europa.eu/resource/authority/country/DNK
DK00912,Klampenborg,55.7765,12.5883,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c39a9e052062b4293968899d81285aef35f4a622,http://publications.europa.eu/resource/authority/country/DNK
DK00296,Frederikshavn,57.4411,10.5404,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/774c51cd52eb8c7615f7fe0cfe4e30c4486c0b76,http://publications.europa.eu/resource/authority/country/DNK
DK00344,Esbjerg Havn,55.4637,8.4464,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8194a45acb2950e988100b496a71e4daa4ac648f,http://publications.europa.eu/resource/authority/country/DNK
DK00229,Fredericia godsstation,55.5625,9.7427,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/df4bba7c346cb9de39570eb669b33e10f52b1eb9,http://publications.europa.eu/resource/authority/country/DNK
DK00039,Nyborg,55.3138,10.8031,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/43408da7454fac143b05dc4ea8e696bc37a9be42,http://publications.europa.eu/resource/authority/country/DNK
DK00035,Korsør,55.3571,11.1352,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/525daa694e77fc1bea0c55c2163a5a7e3efaaa3f,http://publications.europa.eu/resource/authority/country/DNK
DK00037,Sprogø,55.3311,10.9601,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6c13c06d85a744a00e92bfb59deff77def9f98f2,http://publications.europa.eu/resource/authority/country/DNK
DK00153,Klampenborg,55.7767,12.5888,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8282c3084e1c1624f9d10822431c6e601c0b2d1e,http://publications.europa.eu/resource/authority/country/DNK
DK00077,Gedser,54.5791,11.9253,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b28a6bafc31a185aa2ea753aec47c657fc98293a,http://publications.europa.eu/resource/authority/country/DNK
DK00167,Helsingør,56.0333,12.6141,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b359ec4334897888819a65339e0c2885ab7e272d,http://publications.europa.eu/resource/authority/country/DNK
DK00165,Snekkersten,56.0094,12.5839,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e39aab16b70e9150cadd9233e269947c5eede1f8,http://publications.europa.eu/resource/authority/country/DNK
DK00579,Kildekrog,56.0925,12.4239,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1253097bdf204938e7ffb1070f07dba2dbec6c43,http://publications.europa.eu/resource/authority/country/DNK
DK00794,Skagen,57.7243,10.5914,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/17fc752cc527ce644d7930815d88114089263dd0,http://publications.europa.eu/resource/authority/country/DNK
DK00751,Sprogøvej,56.6916,8.2108,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/18adeebbf42eb0634369e0c65515a097076336fc,http://publications.europa.eu/resource/authority/country/DNK
DK00568,Saunte,56.077,12.4849,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/19c9d450567b41e478ea84f74e2678224dda1f26,http://publications.europa.eu/resource/authority/country/DNK
DK00780,Lilleheden,57.5852,9.9764,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1c445cf44ab4d5d3dafd0bffa03fbdf116f852ce,http://publications.europa.eu/resource/authority/country/DNK
DK00603,Tisvildeleje,56.0595,12.0785,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/24faa039201e6533ec29fcbcd17c6fa4b44e8778,http://publications.europa.eu/resource/authority/country/DNK
DK00560,Grønnehave,56.0403,12.6109,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5905411d338171f024b4d5632f208325a58a7310,http://publications.europa.eu/resource/authority/country/DNK
DK00566,Ålsgårde,56.075,12.5381,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5b10696962d250ba11c81b9cad17e8787497d99d,http://publications.europa.eu/resource/authority/country/DNK
DK00746,Vrist,56.6008,8.1481,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5d12f5d65a4010764983cf1b41189104f1b30626,http://publications.europa.eu/resource/authority/country/DNK
DK00570,Hornbæk,56.0891,12.4611,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5dfd83a4d65cb139a41171d7b1dec6535c03fc37,http://publications.europa.eu/resource/authority/country/DNK
DK00576,Skibstrup,56.0787,12.5141,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7f7ea018e92fb19949b2fd8b8a63b35ae331fd7c,http://publications.europa.eu/resource/authority/country/DNK
DK00793,Frederikshavnsvej,57.7247,10.5637,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/828a5b522809f876584d498c285ab8597a762e33,http://publications.europa.eu/resource/authority/country/DNK
DK00779,Emmersbæk,57.5722,9.9777,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/82e850c44a23852bccaa7a36062b04974ec1d81c,http://publications.europa.eu/resource/authority/country/DNK
DK00578,Horneby Sand,56.0899,12.4359,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8d8b31fcfe613c1b1342220645b92c0db4a72d9d,http://publications.europa.eu/resource/authority/country/DNK
