id,name,lat,lon,osm_elements,min_distance_m,within_threshold,osm_type_compatible,error
DK00001,København H,55.672727,12.56573,85,14.5,True,True,
DK00001,København H,55.6727,12.5657,86,13.3,True,True,
DK00005,Valby,55.663678,12.514543,25,26.2,True,True,
DK00005,Valby,55.6637,12.5145,25,26.9,True,True,
DK00006,Hvidovre Fjern,55.664592,12.460882,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
DK00006,Hvidovre Fjern,55.6646,12.4609,12,1.5,True,False,
DK00008,Glostrup,55.662903,12.398986,23,20.3,True,True,
DK00008,Glostrup,55.6629,12.399,23,21.1,True,True,
DK00010,Høje Taastrup,55.6485,12.2698,37,20.5,True,True,
DK00010,Høje Taastrup,55.648536,12.269823,37,16.5,True,True,
DK00014,Hedehusene,55.64864,12.197106,21,1.9,True,True,
DK00014,Hedehusene,55.6486,12.1971,21,5.7,True,True,
DK00015,Trekroner,55.647771,12.132527,15,36.7,True,True,
DK00015,Trekroner,55.6478,12.1325,15,35.5,True,True,
DK00016,Høje Taastrup kombiterminal,55.6393,12.2503,17,19.1,True,True,
DK00016,Høje Taastrup kombiterminal,55.63933,12.250315,17,19.8,True,True,
DK00017,Roskilde,55.6391,12.089,57,26.0,True,True,
DK00017,Roskilde,55.639083,12.088972,57,27.1,True,True,
DK00019,Viby Sjælland,55.549736,12.024439,11,2.0,True,True,
DK00019,Viby Sjælland,55.5497,12.0244,11,0.9,True,True,
DK00021,Borup,55.4947,11.9723,14,10.2,True,True,
DK00021,Borup,55.494657,11.972273,14,5.2,True,True,
DK00023,Kværkeby,55.451234,11.899269,5,0.0,True,False,
DK00023,Kværkeby,55.4512,11.8993,5,4.3,True,False,
DK00025,Ringsted,55.4382,11.7866,43,4.6,True,True,
DK00025,Ringsted,55.438191,11.786637,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
DK00027,Fjenneslev,55.4421,11.6692,5,2.8,True,True,
DK00027,Fjenneslev,55.442125,11.669196,5,0.0,True,True,
DK00029,Sorø,55.419141,11.569285,12,3.8,True,True,
DK00029,Sorø,55.4191,11.5693,12,3.6,True,True,
DK00031,Slagelse,55.4074,11.3489,26,20.4,True,True,
DK00031,Slagelse,55.407428,11.348895,26,20.3,True,True,
DK00033,Forlev,55.374921,11.257841,8,0.1,True,True,
DK00033,Forlev,55.3749,11.2578,8,3.5,True,True,
DK00035,Korsør,55.3571,11.1352,17,26.8,True,True,
DK00035,Korsør,55.357084,11.135163,17,24.0,True,True,
DK00037,Sprogø,55.3311,10.9601,7,5.2,True,True,
DK00037,Sprogø,55.331053,10.9601,7,0.1,True,True,
DK00039,Nyborg,55.313804,10.803072,16,8.9,True,True,
DK00039,Nyborg,55.3138,10.8031,16,7.5,True,True,
DK00043,Næstved,55.231283,11.767267,52,14.1,True,True,
DK00043,Næstved,55.2313,11.7673,52,13.7,True,True,
DK00045,Lundby,55.109559,11.870274,20,14.0,True,True,
DK00045,Lundby,55.1096,11.8703,19,17.8,True,True,
DK00047,Vordingborg,55.012676,11.899953,18,57.1,True,True,
DK00047,Vordingborg,55.0127,11.9,18,60.6,True,True,
DK00049,Masnedø,54.9824,11.8945,3,3.5,True,False,
DK00049,Masnedø,54.982369,11.894499,3,0.1,True,False,
DK00051,Orehoved,54.939,11.8681,5,6.7,True,False,
DK00051,Orehoved,54.938965,11.86812,5,10.8,True,False,
DK00053,Nørre Alslev,54.8967,11.8857,9,3.6,True,True,
DK00053,Nørre Alslev,54.896676,11.885714,9,0.8,True,True,
DK00055,Eskilstrup,54.8562,11.8854,13,14.8,True,True,
DK00055,Eskilstrup,54.856244,11.885415,13,19.8,True,True,
DK00057,Tingsted,54.8196,11.8855,3,5.2,True,False,
DK00059,Nykøbing Falster,54.766965,11.877707,58,2.9,True,True,
DK00059,Nykøbing Falster,54.767,11.8777,58,4.8,True,True,
DK00061,Nykøbing Falster Vest,54.756353,11.857209,8,16.0,True,True,
DK00061,Nykøbing Falster Vest,54.7565,11.8571,8,1.8,True,True,
DK00069,Rødby Øst,54.6657,11.3807,13,2.9,True,True,
DK00071,Rødby Færge,54.6551,11.3556,61,14.4,True,True,
DK00073,Væggerløse,54.716467,11.914258,3,0.0,True,False,
DK00073,Væggerløse,54.7165,11.9143,3,4.6,True,False,
DK00075,Fiskebæk,54.6433,11.9026,5,1.8,True,False,
DK00075,Fiskebæk,54.643293,11.902626,5,0.1,True,False,
DK00077,Gedser,54.579127,11.925304,6,22.1,True,False,
DK00077,Gedser,54.5791,11.9253,6,25.1,True,False,
DK00079,Gadstrup,55.572877,12.099587,10,7.0,True,True,
DK00079,Gadstrup,55.5729,12.0996,10,8.9,True,True,
DK00081,Havdrup,55.5436,12.1172,11,7.4,True,True,
DK00081,Havdrup,55.543577,12.117162,11,9.8,True,True,
DK00083,Lille Skensved,55.5115,12.1405,12,2.0,True,True,
DK00083,Lille Skensved,55.511461,12.140455,12,0.5,True,True,
DK00085,Ølby,55.4806,12.1748,15,17.3,True,True,
DK00085,Ølby,55.480614,12.174808,15,17.7,True,True,
DK00086,Køge,55.4573,12.1869,49,11.6,True,True,
DK00086,Køge,55.457312,12.18687,49,12.2,True,True,
DK00089,Herfølge,55.4177,12.1371,10,2.8,True,True,
DK00089,Herfølge,55.417749,12.137065,10,0.3,True,True,
DK00091,Tureby,55.373335,12.075968,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
DK00091,Tureby,55.3733,12.076,10,10.5,True,True,
DK00093,Haslev,55.329503,11.961001,14,13.3,True,True,
DK00093,Haslev,55.3295,11.961,14,13.1,True,True,
DK00095,Holme-Olstrup,55.2611,11.8487,10,4.0,True,True,
DK00095,Holme-Olstrup,55.261052,11.848746,10,3.3,True,True,
DK00097,Næstved Nord,55.2482,11.7867,7,6.1,True,True,
DK00097,Næstved Nord,55.248186,11.786722,7,5.1,True,True,
DK00099,Lejre,55.604512,11.971241,13,63.5,True,True,
DK00099,Lejre,55.6045,11.9712,13,60.6,True,True,
DK00101,Hvalsø,55.5953,11.8598,9,25.8,True,True,
DK00101,Hvalsø,55.595322,11.859809,9,26.6,True,True,
