osm_id,name_osm,type_osm,ref_osm,lat_osm,lon_osm,nearest_op_uri,nearest_op_id,nearest_op_name,nearest_distance_m
node/3772214031,Østerport,stop,,55.6919179,12.5864845,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3c7bcd102a709ed271021d9ed6eb0b842b8860ff,DK00817,Østerport,269.7
node/1057660199,København H,stop,,55.670223,12.566962,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ab137a6b52de4cda44dd1465cee7c3beca559fa8,DK00795,København H,277.8
node/3772214032,Østerport,stop,13,55.6919308,12.5860675,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e3ea964b8ad3ea9c613295e25195c8a0b183ccfc,DK00817,Østerport,285.9
node/1234168164,Skjern,stop,,55.9473558,8.4922801,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3d0c88783a05c2a795bedb127eb6c1c49a9ddc5b,DK00382,Skjern,307.8
node/274743942,Skjern,station,Sj,55.9473313,8.4921985,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3d0c88783a05c2a795bedb127eb6c1c49a9ddc5b,DK00382,Skjern,307.9
node/5987803173,Skjern,stop,,55.94731,8.4921294,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3d0c88783a05c2a795bedb127eb6c1c49a9ddc5b,DK00382,Skjern,308.1
node/587738048,Frederikssund,stop,,55.8345989,12.0666167,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/84d41b5d7f1f7f42ef5e84ec1ec0c7db16dba937,DK00865,Frederikssund,322.2
node/587738050,Frederikssund,station,Fs,55.8349843,12.0661855,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/84d41b5d7f1f7f42ef5e84ec1ec0c7db16dba937,DK00865,Frederikssund,372.6
node/6835725229,Aksel Møllers Have,stop,,55.6860698,12.5328685,,,,
node/6835725230,Aksel Møllers Have,stop,,55.6860312,12.5330231,,,,
node/6836446144,Aksel Møllers Have,station,,55.6860507,12.5329471,,,,
node/122378444,Amager Strand,stop,,55.6561241,12.6317921,,,,
node/2042811757,Amager Strand,stop,,55.6561542,12.6319355,,,,
node/2705309632,Amager Strand,station,,55.6561353,12.6318585,,,,
node/25389719,Amagerbro,stop,,55.6633427,12.6028748,,,,
node/5697302066,Amagerbro,stop,,55.6633824,12.6029887,,,,
node/5715956176,Amagerbro,station,,55.6633965,12.6028945,,,,
node/2390313524,Aquapark,halt,,57.2708693,9.646263,,,,
node/496383856,Blovstrød Hallen,station,,55.8649715,12.3828421,,,,
node/12433641862,Brødløs,halt,,56.5995285,9.9190333,,,,
node/21698427,Christianshavn,stop,,55.6720724,12.5913169,,,,
node/5715936941,Christianshavn,stop,,55.6721192,12.5914373,,,,
node/5715956177,Christianshavn,station,,55.6720958,12.5913771,,,,
node/21484475,DR Byen,stop,,55.6557731,12.5891081,,,,
node/1619530686,DR Byen,stop,,55.6557634,12.588927,,,,
node/2705324074,DR Byen,station,,55.6557682,12.5890175,,,,
node/4751212321,Duplo Express,halt,,55.7344417,9.1274473,,,,
node/5974664510,Enghave Brygge,station,,55.6540722,12.5565102,,,,
node/11046896394,Enghave Brygge,stop,,55.6541011,12.5564232,,,,
node/11046896395,Enghave Brygge,stop,,55.6540455,12.5566056,,,,
node/6835764542,Enghave Plads,stop,,55.6671785,12.5468059,,,,
node/6835764544,Enghave Plads,stop,,55.6672727,12.546784,,,,
node/6836434801,Enghave Plads,station,,55.667227,12.5467948,,,,
node/25389833,Fasanvej,stop,,55.6815576,12.5235467,,,,
node/5698277197,Fasanvej,stop,,55.6816313,12.5235906,,,,
node/5715956182,Fasanvej,station,,55.6815945,12.5235687,,,,
node/122378422,Femøren,stop,,55.6451749,12.6382463,,,,
node/1619442211,Femøren,stop,,55.6451983,12.6384144,,,,
node/2705309629,Femøren,station,,55.6451882,12.638338,,,,
node/21701665,Forum,stop,,55.6817729,12.5525121,,,,
node/5700259347,Forum,stop,,55.6818416,12.5525695,,,,
node/5715956180,Forum,station,,55.6818073,12.5525408,,,,
node/21701666,Frederiksberg,stop,,55.6811562,12.5317534,,,,
node/1724493460,Frederiksberg,stop,,55.680741,12.5323488,,,,
node/1724493461,Frederiksberg,stop,,55.6807422,12.532518,,,,
node/5699831431,Frederiksberg,stop,,55.6812348,12.5317524,,,,
node/5715956181,Frederiksberg,station,,55.6811699,12.5322237,,,,
node/1724493427,Frederiksberg Allé,stop,,55.6734871,12.5405342,,,,
node/1724493428,Frederiksberg Allé,stop,,55.6735288,12.540686,,,,
node/6836434802,Frederiksberg Allé,station,,55.6735083,12.5406118,,,,
node/3771910662,Frederikssund,stop,,55.8353698,12.0657543,,,,
node/1996631526,Fårup Grillen,halt,,57.2697971,9.6541949,,,,
node/6836386879,Gammel Strand,station,,55.6775945,12.5789275,,,,
node/6838577618,Gammel Strand,stop,,55.6776376,12.5789039,,,,
node/6838577619,Gammel Strand,stop,,55.6775465,12.5789528,,,,
node/5987800043,Gistrup,stop,,57.001802,9.9945273,,,,
node/12433641861,Glenstrup,halt,,56.5724578,9.8665811,,,,
node/12433641854,Handest,station,,56.5691892,9.8261264,,,,
node/5878672693,Havneholmen,stop,,55.6610092,12.5594061,,,,
node/5974664503,Havneholmen,stop,,55.6609593,12.5592515,,,,
node/5974664511,Havneholmen,station,,55.6609865,12.5593142,,,,
node/1037390772,Himlingøje,halt,Hmø,55.37242,12.2155845,,,,
node/5987803392,Himlingøje,stop,,55.3723877,12.2155197,,,,
node/1361893313,Indgangen,halt,,57.2706752,9.6506953,,,,
node/21484483,Islands Brygge,stop,,55.6634044,12.5852827,,,,
node/2042811760,Islands Brygge,stop,,55.663418,12.5851399,,,,
node/2705324077,Islands Brygge,station,,55.6634112,12.5852113,,,,
node/103141823,Kastrup,stop,,55.6357106,12.6468748,,,,
node/1619442231,Kastrup,stop,,55.6357335,12.6470216,,,,
node/2705309633,Kastrup,station,,55.6357222,12.6469508,,,,
node/21701642,Kongens Nytorv,stop,,55.6792212,12.5851403,,,,
node/1712550889,Kongens Nytorv,stop,,55.6799636,12.5857681,,,,
node/1712550891,Kongens Nytorv,stop,,55.6800651,12.5856435,,,,
node/5714634263,Kongens Nytorv,stop,,55.6792445,12.5853269,,,,
node/5715956178,Kongens Nytorv,station,,55.6796344,12.5850827,,,,
node/954478323,Lego Tog,halt,,55.7355688,9.1290767,,,,
node/4751849648,Legoland Monorail,halt,,55.7349186,9.1279673,,,,
node/6040939004,Lemvig Havn,stop,,56.5500378,8.3054381,,,,
node/7922151152,Lemvig Havn,halt,,56.5500659,8.305424,,,,
node/25389663,Lergravsparken,stop,,55.6622768,12.6170424,,,,
node/5697186657,Lergravsparken,stop,,55.6622019,12.6170786,,,,
node/5715956175,Lergravsparken,station,,55.662236,12.6170475,,,,
node/8172085403,Limfjorden,halt,,57.0505124,10.0449117,,,,
node/8172085404,Limfjorden,stop,,57.0504851,10.0448474,,,,
node/1271230723,Lindevang,station,,55.6834487,12.5131859,,,,
node/2042811764,Lindevang,stop,,55.6834124,12.5131634,,,,
node/2042811768,Lindevang,stop,,55.6834849,12.5132083,,,,
node/256195607,Lindholm,stop,,57.0671341,9.9046899,,,,
node/2211276942,Lindholm,stop,,57.0669542,9.9047912,,,,
node/4321533397,Lindholm,station,Lih,57.0670441,9.9047405,,,,
node/12433641863,Lunddalen,halt,,56.6350853,9.9541728,,,,
node/12433648820,Mariager,station,,56.6536275,9.9784604,,,,
node/6835716131,Marmorkirken,stop,,55.6851171,12.5890621,,,,
node/6835716133,Marmorkirken,stop,,55.6851175,12.5890607,,,,
node/6836648164,Marmorkirken,station,,55.6851258,12.5890307,,,,
node/4452920840,Mozarts Plads,stop,,55.6489278,12.5343119,,,,
node/5974663261,Mozarts Plads,stop,,55.6489932,12.5343846,,,,
node/5974664508,Mozarts Plads,station,,55.6489712,12.5343368,,,,
node/1194646625,Nuuks Plads,stop,,55.688504,12.5424574,,,,
node/1724493477,Nuuks Plads,stop,,55.6884527,12.542599,,,,
node/6836446145,Nuuks Plads,station,,55.6884779,12.5425294,,,,
node/1194646613,Nørrebros Runddel,stop,,55.6935248,12.54885,,,,
