start,end
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/39cd7f2b321c1fc59554269c1dbe6f5462a39fdd,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/46eaa1fd1eeabbe7086c582569f20250de93726b
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/42c9c4f570bb8e5611cf0b4f081a0b8479139132,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ee530915e30ca665f3a89ff1a032df1c2798ed4c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e9ad59e5b707b14eb6d62758c197d3c2da84cfd3,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1aee59d339a6ac7226438f761c1ca43766997e2a
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fdb1c5f98671472c627a528f2b826343d30a502c,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/813aa31d38c493b11fe8136fc897458190353f19
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/06943847dd888aba12a75e1e10461712479da378,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/39cd7f2b321c1fc59554269c1dbe6f5462a39fdd
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/db91b683b042b1cc4941b8d0bd200b4b89c3394b,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/46956301d068cbdb6c8862624f33ef85d0de0120
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5e4f4ac621dcd6135bbf3e9b30cfcd2378609d7b,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bcf6889ebd22b6e46ae6a0b85823193aeb3c0bba
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a082a64e24fc6079326312415fe9dc1c802d346c,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c6632a507a84d91165926d7fcd68d73244a408c3
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2c50eb9408f55a24b48effa97481a7784b9a4fcd,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cede701f57d09c2eeef3adde321ea1bb22fda35b
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/db91b683b042b1cc4941b8d0bd200b4b89c3394b,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fa1c289bbcb4938b771ee5fdd3a3f5038f961f38
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2c443711080a5859886e039d07c6844c9ce11f92,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1aee59d339a6ac7226438f761c1ca43766997e2a
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0fa21845e52ef3642e0c2c4c3849bb6053b08905,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/393cbc5ec201322ded461f8480683a27a896674b
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/db44587fe0decc3e73c85f9df6dacce71d0d0969,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/42c9c4f570bb8e5611cf0b4f081a0b8479139132
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a139201b63ce01793d0c8c0cd4692568b5d960b5,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f3be48713a8895cf1c9b797044ee0f6e5cc8ecbb
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ee530915e30ca665f3a89ff1a032df1c2798ed4c,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4394d9f2aa79f9c5c804d7c38986aee85906aae0
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7d90ddbcd528bdcec93be3184e53dc718b2a7c82,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/06943847dd888aba12a75e1e10461712479da378
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/64c54ad20af3ef0623eaa11ef9b9694bea7ef434,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a082a64e24fc6079326312415fe9dc1c802d346c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1057608308751f771f38a3755b5a9b5cff7af22e,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0be1782d28ac5c585218d4ef13f08d599f3f7d2c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4394d9f2aa79f9c5c804d7c38986aee85906aae0,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2aba1c35859664bcb32f76ca50d309739dafdbd8
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/813aa31d38c493b11fe8136fc897458190353f19,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b47c57282304867b456d2abac3fba16c0f421dbd
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/95af90ebc4bb578cda18196b95e00df5988c8816,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/197900806c74e51dc8031f6cfcd862c40fd48454
