id,name,lat,lon,osm_elements,min_distance_m,within_threshold,osm_type_compatible,error
EEAEGVI,Rakenduspunkt Aegviidu,59.2843,25.6158,18,55.3,True,True,
EEAHTME,Rakenduspunkt Ahtme,59.3158,27.4503,10,65.0,True,False,
EEAHTMEPIIR,Rakenduspunkt Ahtmepiir,59.3295,27.2726,2,12.3,True,True,
EEANTSL,Rakenduspunkt Antsla,57.8279,26.5333,9,0.7,True,False,
EEAUVER,Rakenduspunkt Auvere,59.3635,27.9248,5,8.0,True,False,
EEBALTI,Rakenduspunkt Balti,59.4401,24.7369,71,35.2,True,True,
EEBLP4K,Rakenduspunkt Blokkpost 4 km,59.4282,24.9216,14,3.5,True,False,
EEBLP89,Rakenduspunkt Blokkpost89 km,59.3407,24.6025,6,73.3,True,False,
EEELVA,Rakenduspunkt Elva,58.2243,26.4219,13,4.5,True,True,
EEIVANG,Rakenduspunkt Narva,59.3671,28.2059,12,3.9,True,True,
EEJARVE,Rakenduspunkt Järve,59.4,24.724,9,4.3,True,True,
EEJOGEVA,Rakenduspunkt Jõgeva,58.7458,26.4012,13,57.9,True,False,
EEJOHVI,Rakenduspunkt Jõhvi,59.3558,27.4038,12,10.6,True,True,
EEJOHVIPIIR,Rakenduspunkt Jõhvipiir,59.3553,27.4128,19,33.3,True,True,
EEKAARE,Rakenduspunkt Kaarepere,58.6619,26.5206,10,11.2,True,True,
EEKABAL,Rakenduspunkt Kabala,59.3449,26.6729,5,45.3,True,True,
EEKADRI,Rakenduspunkt Kadrina,59.3382,26.1481,10,15.6,True,True,
EEKARKN,Rakenduspunkt Kärkna,58.4676,26.6571,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
EEKARUL,Rakenduspunkt Karula,57.799,26.3093,3,4.8,True,False,
EEKEENI,Rakenduspunkt Keeni,57.9467,26.2391,6,10.9,True,True,
EEKEHRA,Rakenduspunkt Kehra,59.3385,25.3293,11,32.2,True,False,
EEKEILA,Rakenduspunkt Keila,59.3062,24.4149,23,18.6,True,True,
EEKIISA,Rakenduspunkt Kiisa,59.2383,24.6856,8,3.9,True,True,
EEKILTS,Rakenduspunkt Kiltsi,59.0867,26.1776,7,53.7,True,True,
EEKIVIO,Rakenduspunkt Kiviõli,59.3529,26.9566,8,38.1,True,False,
EEKLOOG,Rakenduspunkt Klooga,59.3203,24.2601,16,12.6,True,True,
EEKOHILA,Rakenduspunkt Kohila,59.1704,24.7442,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
EEKOHTJARV,Rakenduspunkt Kohtla-Järve,59.3988,27.2566,8,12.8,True,False,
EEKOHTL,Rakenduspunkt Kohtla,59.3611,27.2153,26,17.5,True,False,
EEKOHTLAPIIR,Rakenduspunkt Kohtlapiir,59.3618,27.2013,13,40.6,True,True,
EEKOHTLPIIR2,Rakenduspunkt Kohtlapiir2,59.3612,27.23,21,44.4,True,True,
EEKOIDU,Rakenduspunkt Koidula,57.8369,27.5756,18,1.9,True,True,
EEKRAND,Rakenduspunkt Kloogarand,59.3439,24.2461,6,7.5,True,True,
EELAGED,Rakenduspunkt Lagedi,59.3987,24.9335,8,22.4,True,True,
EELELLE,Rakenduspunkt Lelle,58.8671,25.0084,20,3.5,True,True,
EELEPAS,Rakenduspunkt Lepassaare,57.8439,27.3172,2,2.3,True,False,
EELIIVA,Rakenduspunkt Liiva,59.3879,24.7234,14,48.5,True,True,
EEMAARD,Rakenduspunkt Maardu,59.4493,24.9481,36,3.6,True,False,
EEMETSKULA,Rakenduspunkt Metsküla,59.2689,27.8545,9,3.1,True,False,
EEMUSTA,Rakenduspunkt Musta,59.2759,27.8999,19,13.9,True,False,
EEMUUGA,Rakenduspunkt Muuga,59.4941,25.0013,54,13.7,True,False,
EENARVA,Rakenduspunkt Narva,59.3696,28.1954,34,8.8,True,True,
EENARVAELEKT,Rakenduspunkt NarvaElektrijaamad,59.3507,28.1212,16,27.3,True,False,
EENOMMK,Rakenduspunkt Nõmmküla,59.2029,26.0466,4,131.8,False,False,
EENOO,Rakenduspunkt Nõo,58.282,26.5397,10,6.6,True,True,
EEORAVA,Rakenduspunkt Orava,57.92,27.4732,8,34.2,True,True,
EEORU,Rakenduspunkt Oru,59.3754,27.5826,3,149.2,False,False,
EEPAASK,Rakenduspunkt Pääsküla,59.3689,24.64,20,5.4,True,True,
EEPALDI,Rakenduspunkt Paldiski,59.3446,24.06,12,2.8,True,True,
EEPALUP,Rakenduspunkt Palupera,58.1276,26.3263,8,21.2,True,True,
EEPAPINIIDU,Rakenduspunkt Papiniidu,58.3725,24.5556,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
