start,end
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/955e04e4c12975b538ee336d738866bb5542f094,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/96ea583d77b6c3b306d1c576373693d07795bfe0
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1523490d94894d184f7b8020c399fe6deab9cd66,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6581a43f1a9229ba5e642180eec65f741f159e0b
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8f102b2de9b32513ea4f704907afe8023c7434dc,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e84b21cac849b112e743523d0045b71c3f8b2862
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/676f1296babffd821dd3be534bf68b672ceadc8b,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bef3e950981235b1810b2daa82b8e651eef90af0
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/dc4af365949a4978829616e9bbf3ca9a073dc563,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/dd48e8cb98fa601d94479ca6c1fe20543aff2571
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/01bf60f6a601514c3e31b1ac3b0c8c18bf7554ca,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cbd49b7305262ccd04d9d3a3b3316b12ec0e36cc
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/eafa59fb7bf233a25a6b3da231c860c9ffa6b1e2,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9c024c2f8d95044b2651972b4dcf1025221bff00
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/df4e92f3072b8d595c0c5c0e7b50603c616dd424,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/59789ee7c221abcfd8844679267ff7fe3ddcf9e6
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4fc907d84413b5d6040c1d3c3945a97c4ecc4933,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6ce0c97d9c9fc0ac12252fca66374d81eb602fa6
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/614199f90f8aeb58625afc17ca64e64d9f5d6cb9,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ee378f01b185f04d1f00658d2081426b99dea9d2
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cf8bfde349b6551ee2c3c06035301a0464d906ab,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/94940f87c6d8116368e37299f34a81ebf70bb0be
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/855eb5e5e644876df1ff025ea253f35dda352165,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1d05aca393f60ef267b76f851dfad13d828efe41
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/53c04c0b2a045c2c861e5f74f33762884d5aa2a0,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/62aaa726c55f9bc463a30c1d042d949ed313c3c0
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e3dcc45be11ea198d8db71ee3df78f63d8e0bedc,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/47b141bfb88119723b081f69164a6a00f9b80d98
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/00a3fdb68135de6c47421c38f7773256963cbaef,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/83f478d0c6022f2590db0c8740aa01188d868acb
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/eff315700ca74c324b51877a96e89d154dd9f5ca,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/22f1851cb6dd3cedcd97ba35e9f311c0930c7de0
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8ef646acb42e8e84b6cf41513652f3e0b48eec25,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7d015780ee0a475af97a5d2624aaaf243813a42d
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4143aad09d0db1e0b2d611fbdcc9ae4da3f313e6,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cf9235919f0673749021204742109681bcd41e0f
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bbf87b39250805cc528ce4f03cb8e4305e2b840a,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b76f69c77bca3019e526abb1ab4df21c0539f647
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/afa89a0ca9c5f26fcd8c99c7a8277bffaea93e1d,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/dc4af365949a4978829616e9bbf3ca9a073dc563
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/681a2b76d26668bd5a50795f54601becc23d9f3b,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0b1031451da767073dfe126e1a8b91f94375ccef
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6f906808a88adb261b0f6ff16b8269c0ad7c2a52,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c52d98ae11f0fa8f261bf7810b3c77e752517327
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/51739d3c9da6e95b706788c8bc37dd14aa1dacac,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/01147f522732a7615510824462b109a0655e6afb
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cdaf2355899ddc30f659ec04cfacd5132a40bda1,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6a657fdf16d517e97426edbb2a68bca9a801245e
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ce5a4b5b6de16f9d85fe253fcc9a7369d508f159,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/123020a7875eca615b49e476dff987526fbd3f52
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/552661679e03be7dfbd76a6aae3678dfbb2e6921,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e39cf6df5a40f9f12cbc44369082993037234cf2
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9cd606b909d18ebd730cd8fb8936ca7c73e9f8f6,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b64db343b88637a6027ebcd185c6d362f5395192
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b8f7fe94e1fe17a29c74cccf5d808ecd9f111761,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a2b3236362410ebf8396cb6068432b75e996131c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7023102518088f36ec27e3770cd806230d34697f,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f789f3ec96451c8729bfad254d6113bf9dcd2ecd
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/34b2c93fe58d4d17606c72e7beb52e5c4d18bec2,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8de94a4d5b4a2ec0b424a044f586e5837bf389fb
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/80338db9fe6a51b769069d91ecfe2294e0c7e138,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/961aed5cb321138c3cba46f4d7aaa85174c17422
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/acf235829e6c4b723eabdf830aef635e107d3653,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d05e0e9a4e494468cc39dfb51c361210258edaef
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0b862d0322b71f83f76bf52edff60decb2cbf06b,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c593e704c98875567722f9785e11829921debae7
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b021efec9e28b13ece199a4423bc05b10fd4d5d5,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7023102518088f36ec27e3770cd806230d34697f
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/205b1ab330f4ce415fcc5fbb3d3a99b9949af50c,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9d55ed45650fdf42a28f71aad69c5a91cdf64c60
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e66a65f73eb44fbcf0786a02d78c523075e1fbe5,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7139a4e85e831b518f5b64ce1dfa860cf84d9102
