id,name,lat,lon,osm_elements,min_distance_m,within_threshold,osm_type_compatible,error
EU00239,Tornio-raja,65.827855,24.150731,4,0.2,True,True,
FI00001,Helsinki asema,60.1721,24.9413,109,2.9,True,True,
FI00009,Ilmala asema,60.2081,24.9206,56,9.5,True,True,
FI00010,Pasila asema,60.1987,24.9335,157,5.0,True,True,
FI00013,Haarajoki,60.4963,25.1338,26,2.7,True,True,
FI00015,Oulunkylä,60.229,24.9677,34,7.0,True,True,
FI00017,Malmi,60.2517,25.0115,15,18.7,True,True,
FI00018,Tikkurila asema,60.2922,25.0441,68,10.9,True,True,
FI00019,Korso,60.3513,25.0783,10,17.8,True,True,
FI00020,Kerava asema,60.4043,25.106,25,3.8,True,True,
FI00022,Nikkilä,60.3824,25.2666,5,49.2,True,False,
FI00023,Porvoo,60.4004,25.6364,10,13.6,True,False,
FI00025,Järvenpää asema,60.4737,25.0908,20,1.9,True,True,
FI00027,Mäntsälä,60.6473,25.3075,9,4.8,True,True,
FI00028,Jokela,60.5528,24.9707,16,1.3,True,True,
FI00030,Hyvinkää asema,60.6313,24.8577,22,6.3,True,True,
FI00040,Riihimäki asema,60.7361,24.7813,73,4.0,True,True,
FI00042,Ryttylä,60.818,24.7582,15,5.4,True,True,
FI00043,Leppäkoski,60.8729,24.6959,9,1.5,True,True,
FI00044,Turenki,60.9184,24.6387,13,8.7,True,True,
FI00047,Hämeenlinna,61.0024,24.4789,27,12.5,True,True,
FI00049,Parola,61.0499,24.3665,23,8.7,True,True,
FI00055,Salo,60.3848,23.1215,40,1.4,True,True,
FI00059,Pohjankuru,60.0982,23.5519,21,2.1,True,True,
FI00060,Karjaa,60.0687,23.6613,50,3.4,True,True,
FI00062,Inkoo,60.0615,23.9359,21,15.0,True,True,
FI00063,Kirkkonummi,60.1197,24.4388,43,7.2,True,True,
FI00064,Masala,60.1587,24.5391,10,3.4,True,True,
FI00065,Kauklahti asema,60.1895,24.6004,17,1.9,True,True,
FI00066,Espoo,60.2051,24.656,36,5.3,True,True,
FI00067,Kauniainen,60.2119,24.7309,24,2.7,True,True,
FI00068,Leppävaara,60.2195,24.8135,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
FI00069,Pitäjänmäki,60.2234,24.8596,21,3.4,True,True,
FI00072,Huopalahti,60.2184,24.8935,32,4.3,True,True,
FI00073,Hanko asema,59.8269,22.9683,27,3.9,True,True,
FI00075,Lappohja,59.9041,23.2369,14,2.3,True,True,
FI00076,Tammisaari,59.9796,23.4435,6,1.2,True,True,
FI00077,Mustolan satama,61.0592,28.3126,10,1.1,True,True,
FI00078,Mustio,60.1404,23.8684,5,1.4,True,True,
FI00079,Kirkniemi,60.1758,23.9635,11,3.6,True,True,
FI00081,Lohja,60.2654,24.1164,13,3.7,True,True,
FI00084,Nummela,60.3288,24.3169,10,5.6,True,True,
FI00088,Rajamäki,60.5327,24.7616,11,2.1,True,True,
FI00091,Hikiä,60.7526,24.9192,7,119.5,False,False,
FI00092,Oitti,60.7898,25.0213,17,1.4,True,True,
FI00093,Mommila,60.8212,25.0751,2,452.4,False,False,
FI00094,Lappila,60.849,25.1742,7,1.7,True,True,
FI00095,Järvelä,60.8673,25.2747,20,3.1,True,True,
FI00096,Herrala,60.8969,25.4756,10,81.1,True,True,
FI00100,Lahti,60.9765,25.6574,44,9.2,True,True,
FI00104,Villähde,60.9464,25.8337,15,3.3,True,False,
FI00105,Uusikylä,60.9278,26.0169,22,22.9,True,False,
FI00106,Loviisan satama,60.4183,26.2476,25,4.8,True,True,
FI00108,Lapinjärvi,60.5991,26.1279,8,2.3,True,True,
FI00109,Orimattila,60.8145,25.7487,9,2.6,True,True,
FI00112,Vierumäki,61.1019,25.9329,10,1.7,True,True,
FI00113,Heinola,61.2032,26.047,11,4.0,True,True,
FI00121,Uusikaupunki,60.7974,21.4257,9,4.2,True,True,
FI00123,Mynämäki,60.6504,21.9641,3,1.7,True,False,
FI00124,Naantali,60.4699,22.04,9,90.2,True,True,
FI00125,Raisio,60.4855,22.1302,8,16.1,True,True,
FI00126,Kupittaa,60.4503,22.2971,15,3.0,True,True,
FI00127,Piikkiö,60.4231,22.5159,15,2.0,True,True,
FI00128,Paimio,60.4595,22.6859,14,6.0,True,True,
FI00130,Turku asema,60.4566,22.2608,39,4.7,True,True,
FI00135,Turku satama,60.4343,22.2269,8,11.5,True,True,
FI00139,Kyrö,60.7027,22.7489,9,5.9,True,True,
FI00142,Loimaa,60.8474,23.0604,17,3.4,True,True,
FI00144,Humppila,60.9195,23.3625,17,3.0,True,True,
FI00148,Urjala,61.0635,23.6263,13,5.9,True,True,
FI00150,Toijala,61.1706,23.8609,62,1.1,True,True,
FI00153,Valkeakoski,61.2739,24.0171,21,10.4,True,True,
FI00154,Iittala,61.0906,24.1408,7,2.8,True,True,
FI00155,Viiala,61.2118,23.7707,9,8.5,True,True,
FI00156,Lempäälä,61.3142,23.7551,11,7.1,True,True,
FI00157,Sääksjärvi,61.4187,23.7522,15,1.9,True,True,
FI00160,Tampere asema,61.4982,23.7735,98,8.3,True,True,
FI00165,Rauma,61.1324,21.4924,42,6.8,True,True,
FI00167,Dragsvik,59.9902,23.4886,11,0.3,True,True,
FI00169,Kiukainen,61.2097,22.0892,9,4.5,True,True,
FI00170,Kokemäki,61.2542,22.3034,30,2.6,True,True,
FI00174,Äetsä,61.2967,22.7065,9,2.8,True,True,
FI00176,Vammala,61.3495,22.8877,36,2.9,True,True,
FI00178,Karkku,61.4433,23.0491,8,2.2,True,True,
FI00179,Siuro,61.4745,23.3391,6,5.6,True,False,
FI00181,Nokia,61.4811,23.4992,39,4.2,True,True,
FI00183,Lielahti,61.5103,23.6817,41,6.0,True,True,
FI00190,Orivesi,61.6501,24.3681,39,2.6,True,True,
FI00193,Korkeakoski,61.8077,24.3755,14,2.5,True,True,
FI00196,Vilppula,62.0259,24.507,18,2.7,True,True,
FI00198,Mänttä,62.029,24.6469,10,27.9,True,True,
FI00199,Kolho,62.1281,24.5075,14,6.4,True,True,
FI00200,Haapamäki,62.2465,24.4551,31,2.3,True,True,
FI00203,Länkipohja,61.7408,24.8131,4,1.0,True,False,
FI00204,Jämsä,61.8656,25.1733,23,2.9,True,True,
FI00205,Jämsänkoski,61.8961,25.1712,14,4.6,True,True,
FI00211,Ylöjärvi,61.5565,23.586,6,3.5,True,True,
FI00212,Lakiala,61.6259,23.527,4,3.9,True,False,
FI00214,Vahojärvi,61.913,23.2322,4,3.0,True,False,
FI00215,Parkano,62.052,23.0785,18,4.4,True,True,
FI00217,Madesjärvi,62.3116,22.9875,6,6.7,True,True,
FI00218,Harjavalta,61.3097,22.1333,42,15.0,True,True,
FI00220,Pori,61.4772,21.7866,35,1.5,True,True,
FI00223,Mäntyluoto,61.59,21.512,40,3.6,True,True,
FI00227,Niinisalo,61.8447,22.4819,4,4.6,True,True,
FI00235,Keuruu,62.2553,24.7073,14,1.6,True,True,
FI00237,Petäjävesi,62.257,25.1893,13,3.3,True,True,
FI00239,Vesanka,62.2694,25.5571,7,8.7,True,True,
FI00240,Jyväskylä,62.2415,25.755,60,5.1,True,True,
FI00245,Vaajakoski,62.2476,25.8793,8,2.5,True,True,
FI00246,Lievestuore,62.2599,26.1959,5,3.3,True,False,
FI00248,Vihtavuori,62.3746,25.8924,6,126.6,False,False,
FI00249,Laukaa,62.4228,25.9244,6,3.8,True,True,
FI00251,Suolahti,62.5614,25.8515,5,14.2,True,True,
FI00252,Äänekoski,62.5969,25.7476,15,10.3,True,True,
FI00254,Saarijärvi,62.7001,25.2831,7,15.9,True,True,
FI00256,Kannonkoski,62.9836,25.27,3,52.3,True,True,
FI00257,Keitelepohja,63.1928,25.548,4,19.1,True,True,
FI00258,Pihtipudas,63.3718,25.5563,5,2.9,True,True,
FI00261,Pihlajavesi,62.3462,24.3956,11,5.3,True,True,
FI00263,Myllymäki,62.5248,24.281,8,9.4,True,True,
FI00264,Inha,62.5507,24.1461,8,24.1,True,True,
FI00265,Ähtäri,62.5533,24.064,16,2.8,True,True,
FI00267,Kaskinen,62.3811,21.23,6,41.2,True,True,
FI00268,Närpiö,62.4682,21.364,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
FI00271,Teuva,62.475,21.7423,3,24.0,True,True,
FI00272,Kauhajoki,62.4599,22.2116,1,4135.4,False,False,
FI00274,Koskenkorva,62.688,22.4624,11,33.3,True,True,
FI00276,Jalasjärvi,62.4725,22.9543,12,3.9,True,True,
FI00280,Seinäjoki asema,62.792,22.8442,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
FI00283,Tuuri,62.6054,23.7223,13,6.5,True,True,
FI00284,Alavus,62.6178,23.6004,13,6.6,True,True,
FI00285,Niinimaa,62.6423,23.4206,3,0.5,True,True,
FI00288,Vaasa,63.0978,21.6218,9,8.8,True,True,
FI00291,Vaskiluoto,63.0891,21.5642,12,0.7,True,True,
FI00293,Laihia,62.9901,22.0034,12,18.7,True,False,
FI00294,Tervajoki,63.0008,22.1715,5,1.2,True,True,
FI00295,Isokyrö,62.9511,22.3948,8,3.1,True,False,
FI00296,Ylistaro,62.9178,22.5327,2,1.5,True,False,
FI00298,Lapua,62.9713,23.0151,9,26.4,True,True,
FI00299,Kauhava,63.0996,23.0353,21,3.3,True,True,
FI00300,Härmä,63.2343,22.8766,8,17.1,True,True,
FI00302,Voltti,63.2862,22.8244,3,6.8,True,False,
FI00303,Jepua,63.4084,22.6553,6,6.1,True,False,
FI00305,Pännäinen,63.5954,22.7904,13,25.4,True,True,
FI00306,Pietarsaari,63.6743,22.7147,18,15.3,True,True,
FI00308,Alholma,63.7068,22.6953,7,72.4,True,True,
FI00309,Kolppi,63.6276,22.8983,5,4.3,True,False,
FI00311,Kruunupyy,63.7216,23.0341,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
FI00312,Kokkola,63.8344,23.1311,75,22.7,True,True,
FI00315,Ykspihlaja tavara,63.8386,23.0831,1,140.4,False,True,
FI00316,Kälviä,63.864,23.4932,13,3.6,True,True,
FI00317,Kannus,63.8984,23.9154,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
FI00318,Eskola,63.9149,24.1514,6,19.5,True,False,
FI00319,Sievi,63.9781,24.2787,18,2.8,True,True,
FI00320,Ylivieska,64.0719,24.5406,63,6.5,True,True,
FI00322,Oulainen,64.2695,24.821,27,6.8,True,True,
FI00328,Nivala,63.9364,24.9608,8,6.9,True,True,
FI00330,Haapajärvi,63.7545,25.3344,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
FI00331,Pyhäsalmi,63.6829,25.9826,13,4.0,True,True,
FI00334,Vihanti,64.4845,24.9936,10,2.7,True,True,
FI00335,Raahe,64.6834,24.4906,7,122.0,False,True,
FI00336,Tuomioja,64.6083,25.0279,14,14.2,True,True,
FI00337,Ruukki,64.6604,25.0982,11,5.6,True,True,
FI00338,Liminka,64.8102,25.4239,7,2.4,True,False,
FI00339,Oulu Tuira,65.0287,25.475,5,21.3,True,True,
FI00340,Hausjärvi tavara,60.7854,25.015,16,0.8,True,True,
FI00342,Haukipudas,65.1956,25.4071,13,14.4,True,True,
FI00343,Ii,65.3188,25.4419,11,11.9,True,True,
FI00346,Simo,65.6631,25.0608,5,9.1,True,False,
FI00347,Kemi,65.7367,24.5744,20,5.3,True,True,
FI00351,Tornio asema,65.8458,24.1639,22,9.0,True,True,
FI00356,Pello,66.7847,23.9934,9,5.5,True,True,
FI00358,Kolari,67.3487,23.8363,9,15.9,True,True,
FI00360,Laurila,65.7968,24.5341,10,4.7,True,False,
FI00361,Tervola,66.0818,24.7723,11,9.4,True,True,
FI00362,Koivu,66.1698,25.2068,4,2.7,True,True,
FI00363,Muurola,66.3709,25.3751,9,10.7,True,True,
FI00364,Rovaniemi,66.4977,25.7053,33,20.6,True,True,
FI00366,Misi,66.6179,26.6872,7,8.7,True,True,
FI00367,Kemijärvi,66.7243,27.4037,10,5.5,True,True,
FI00370,Oulu asema,65.0124,25.4861,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
FI00375,Muhos,64.8054,25.992,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
FI00376,Utajärvi,64.7589,26.4136,10,2.1,True,True,
FI00377,Vaala,64.558,26.8427,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
FI00378,Kivesjärvi,64.4689,27.4715,6,4.8,True,False,
FI00379,Paltamo,64.4006,27.8222,7,5.0,True,True,
FI00382,Maanselkä,63.8822,28.4994,4,9.4,True,True,
FI00383,Vuokatti,64.1475,28.2739,22,1.8,True,True,
FI00385,Otanmäki,64.112,27.0924,13,7.0,True,True,
FI00386,Murtomäki,64.0644,27.5796,8,8.5,True,False,
FI00387,Kajaani,64.2197,27.7384,35,4.5,True,True,
FI00390,Kontiomäki,64.3382,28.1147,20,18.9,True,True,
FI00391,Ristijärvi,64.4882,28.1855,5,2.1,True,False,
FI00392,Hyrynsalmi,64.6838,28.4627,9,7.3,True,True,
FI00393,Pesiökylä,64.9262,28.5695,6,3.2,True,True,
FI00394,Ämmänsaari,64.887,28.8905,7,19.4,True,True,
FI00400,Pieksämäki asema,62.3013,27.1675,24,5.5,True,True,
FI00402,Haapakoski,62.4524,27.1755,5,20.5,True,False,
FI00404,Suonenjoki,62.6237,27.1245,14,20.5,True,True,
