osm_id,name,type,ref,lat,lon
node/21577407,Tervajoki,halt,Tk,63.0008527,22.1709382
node/21577622,Seinäjoki,station,Sk,62.792281,22.8438297
node/25474663,Helsinki,station,Hki,60.1720965,24.9412486
node/25475074,Pasila,stop,10,60.1989884,24.9324426
node/25475082,Pasila,stop,8,60.1990336,24.9327527
node/25477046,Ilmala,station,H0078,60.207675,24.9212947
node/25495181,Ilmala,stop,3,60.2075649,24.9214844
node/26110406,Kupittaa,station,Kut,60.4502738,22.297115
node/26413982,Kauklahti,stop,1,60.1893895,24.600179
node/26414390,Masala,station,Mas,60.1586558,24.539142
node/26414528,Jorvas,stop,1,60.1366456,24.5097668
node/26430078,Tuomarila,stop,1,60.2061541,24.6807327
node/26430225,Koivuhovi,station,Kvh,60.2070123,24.7022998
node/26432517,Kauniainen,station,Kni,60.2119238,24.7308896
node/50818752,Herttoniemi,station,HN,60.194569,25.030231
node/51074268,Kulosaari,station,KS,60.1888358,25.0081192
node/51334955,Vuosaari,station,VS,60.2071929,25.1424866
node/51335241,Rastila,station,RS,60.2053626,25.1215783
node/59594747,Puotila,station,PT,60.2147116,25.0930778
node/60289871,Kera,station,Kea,60.2165545,24.7556506
node/76388216,Pasila,station,Psl,60.1986779,24.9334219
node/92560933,Huopalahti,station,H0079,60.2183372,24.8935031
node/146450892,Ruoholahti,station,RL,60.1632015,24.9155624
node/166747734,Kolari,station,Kli,67.3490087,23.8360687
node/181290123,Kirkkonummi,stop,1,60.1196698,24.4380175
node/194566310,Lapua,station,Lpa,62.9712834,23.0142929
node/201698443,Ylivieska,station,Yv,64.0719538,24.5406515
node/201792230,Nivala,station,Nvl,63.9364491,24.9606155
node/201792978,Haapajärvi,station,Hpj,63.7545441,25.3342689
node/201795585,Pyhäsalmi,station,Phä,63.6829168,25.9825275
node/201796802,Kiuruvesi,station,Krv,63.640862,26.6114045
node/205329095,Oulu,station,Ol,65.0113317,25.4843355
node/205364181,Vihanti,station,Vti,64.48452,24.9936325
node/208870597,Lappeenranta,station,Lr,61.0480613,28.1951689
node/242767409,Kauhava,station,Kha,63.0995714,23.035284
node/242767521,Jakobstad-Pedersöre,station,Pnä,63.5955906,22.7907495
node/242996458,Kajaani,station,Kaj,64.2197028,27.7384919
node/243010327,Kontiomäki,station,Kon,64.3382641,28.1143371
node/244494454,Siilinjärvi,station,Sij,63.0750568,27.6665498
node/251738389,Kemi,station,Kem,65.7367256,24.5743024
node/253082543,Vuonislahti,station,Vsl,63.1527871,29.9932478
node/256071142,Joensuu,station,Jns,62.6000931,29.7770726
node/257940983,Kitee,station,Kit,62.1427737,30.0490202
node/259004650,Jyväskylä,station,Jy,62.2414552,25.7549839
node/259805915,Lieksa,station,Lis,63.3184159,30.0155438
node/275032200,Harjavalta,station,Hva,61.310056,22.1322805
node/282470583,Rovaniemi,station,Roi,66.498013,25.7049674
node/289200166,Tervola,station,Trv,66.0816764,24.7721595
node/292809487,Kuopio,station,Kuo,62.8973231,27.6811701
node/298770117,Varkaus,station,Var,62.3122879,27.8737413
node/299321049,Savonlinna,station,Sl,61.8689071,28.8882903
node/299321484,Retretti,halt,Ree,61.8032873,29.2941732
node/299321520,Lusto,halt,Lus,61.800622,29.3219264
node/299321631,Punkaharju,station,Pun,61.7611511,29.3823527
node/299322046,Parikkala,station,Par,61.5585758,29.5030789
node/312846419,Joutseno,station,Jts,61.1216049,28.4934108
node/316233521,Kokemäki,station,Kki,61.2541995,22.3033505
node/339320597,Pasila,stop,1,60.1991778,24.9339974
node/339689173,Pasila,stop,9,60.1990238,24.9326784
node/339861453,Kilo,station,Kil,60.2179166,24.7824059
node/354041984,Vainikkala,station,Vna,60.8634759,28.3049253
node/392940601,Itäkeskus,station,IK,60.2099882,25.0773613
node/413044742,Pieksämäki,station,Pm,62.301252,27.1675271
