osm_id,name_osm,type_osm,ref_osm,lat_osm,lon_osm,nearest_op_uri,nearest_op_id,nearest_op_name,nearest_distance_m
node/5012528924,Tolsa,stop,2,60.1186729,24.473116,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c7b00edee6cfb0125dd4ee853a47f25f1bf99eb0,FI00830,Tolsa,200.8
node/3703494188,Tolsa,stop,1,60.1187117,24.4730654,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c7b00edee6cfb0125dd4ee853a47f25f1bf99eb0,FI00830,Tolsa,201.2
node/418089207,Rautatientori,station,RT,60.1703844,24.9398457,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/75e30f016623b3ee18dec3d2e8439d7996f8cace,FI00001,Helsinki asema,207.0
node/5403677503,Rautatientori,stop,H0019,60.1702606,24.9404669,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/75e30f016623b3ee18dec3d2e8439d7996f8cace,FI00001,Helsinki asema,209.7
node/5403677504,Rautatientori,stop,H0018,60.1704934,24.9388663,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/75e30f016623b3ee18dec3d2e8439d7996f8cace,FI00001,Helsinki asema,223.7
node/11832561857,Hillosensalmi,stop,,61.1951505,26.7878495,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4143aad09d0db1e0b2d611fbdcc9ae4da3f313e6,FI00988,Hillosensalmi,239.2
node/4248989440,Pasila autojuna-asema,station,Pau,60.206189,24.9317255,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d971ecf17658662ad42921cc090a58c53b5675a6,FI01328,Pasila autojuna-asema,248.5
node/765967240,Hillosensalmi,station,Hls,61.1953165,26.7878203,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4143aad09d0db1e0b2d611fbdcc9ae4da3f313e6,FI00988,Hillosensalmi,257.3
node/4364527726,Aalto-yliopisto,station,OTA,60.1844626,24.8235709,,,,
node/530585221,Aalto-yliopisto (M),stop,E0003,60.1843509,24.8245271,,,,
node/5320321630,Aalto-yliopisto (M),stop,E0004,60.1845717,24.8229186,,,,
node/9574731673,Aalto-yliopisto (M),station,,60.1844209,24.8273015,,,,
node/9574731678,Alberganesplanadi,station,,60.2143263,24.810835,,,,
node/10171507774,Espoonlahti,stop,E0020,60.1496441,24.6544857,,,,
node/10171507775,Espoonlahti,stop,E0019,60.1491274,24.6549779,,,,
node/10173426020,Espoonlahti,station,,60.1493914,24.6547265,,,,
node/10132487357,Finnoo,station,,60.1530493,24.7118863,,,,
node/10132487358,Finnoo,stop,E0014,60.1530018,24.7112573,,,,
node/10132487359,Finnoo,stop,E0013,60.1531054,24.7124977,,,,
node/418089197,Hakaniemi,station,HT,60.1804807,24.9501704,,,,
