start,end
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ae946325c3d15b86996eda50356d5789cd6dca76,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d244a000b737ec7d0357863fec907427e0da6036
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e777608d06ad7d502b249297488b2a68096fc9f4,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9ee33ac5abfa2abc2a6f41333e18f1e919a9088e
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/12cd042b70456198e03c45c69e966da887ec4c95,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e777608d06ad7d502b249297488b2a68096fc9f4
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/baa4fee0e43a50cca5c991347d0c5ab79a2c32c2,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6cbe415dcc9cf6b3edbdb86947ae064eb46f5450
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/35076ab98c99a29c88d31d6218388bee9ddf57c1,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ae946325c3d15b86996eda50356d5789cd6dca76
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fdabc0a2d2d71ffa4cbe929a9f7949884573647a,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0c46fb59e6de2bfb29408f7544f7d043bb255f89
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0c46fb59e6de2bfb29408f7544f7d043bb255f89,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/35076ab98c99a29c88d31d6218388bee9ddf57c1
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4b9c32e9b7040ae46f5fbba24b0815c36b94db77,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/06864c9a1fe11710fac9140b6964cfed4414699e
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/188e7aac35631ae0fd72d11860b2c7f3928b80be,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fbe8e8648bf633c01299ef9b0714c84a0d11c3f2
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e059bf71d059c404adbda5662da51da457178461,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ba2867cdcfd3ba2df2dfab8629467f229ca12bbb
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/36c44740d70d9e49886809af63db97a4e1618966,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e5c14183bfd8ea74b5d5a0bfd1d1eb47416decc9
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/758f7853a511d0613eed48319f6bd21b836c15b3,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/02f07f88acffb643762d160d6be3816f7732d30b
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7b471f6bc5b035a810e8337c71fb585157d9cb30,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c31b772b7597cb5f71a055bff067d8c3f2f60f1b
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/413b685cccb671f9fc61b65dc12c9d24419e2846,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ee1baa125d0c63fb81bc134abab58aa112a6992d
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/978ce7e7d7c73931cbe9a4c4e7b5911793bc4a46,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4a58ba8d993bb738122fcf1e19edaf486826179e
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4f5040eb7f52f160a8b74c05d6c3a93e0d95b486,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/49d51f0674372bd38f13df598027bb94627231ec
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ec2ebdeffbba0bdde0668f0d3762d838c341659c,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/50e1bc1c733ec760502531dff4e29102297d253f
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ee1baa125d0c63fb81bc134abab58aa112a6992d,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3b5696bb3328d547b199c026dc3a3c92628a6574
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/041ad8d91759326b915afd859c9dfc2203589efc,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f31576db26beccb0c96836b63d00dee96f5331b4
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/18d3ad06696f6fdde6106a54ef365d47be4a066a,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b3cdf17195460fc9c678d458389a6ee7d5eb291d
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a0efaef224157cee1196fafe94344dc5e549f39b,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7b536bac892a2512b45920572ece47cf34f426f4
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ea3bba7c70f465109197427e3e7d5b0190e41100,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c7b6488f9650832deffbf72c15bdf8bfc03170a1
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1525d533460efed9938a7c40f98182df269ee243,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5d374f410cc91825e1b3c0690d462e026925a04b
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ec534b1dcb9366f0660f6deccce6328be5dabde4,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/67f76286ffdbe2fbb72cd58782ca902572e9bfb8
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f435dad6de00f28c0cf76c1b8b6edb3d1e714fc4,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a0efaef224157cee1196fafe94344dc5e549f39b
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/57d036aaca78f3e69127be44e1c1797d3c4a63aa,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4295e6b420f4fde95dd905e31d36ee2de014bfdb
