id,name,lat,lon,uri,country,distance_to_border_m
FR0000006798,Faisceau Impair,46.1967081,6.231697,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6d42ce8b1a9cba79853cff72d637b1871e362e62,http://publications.europa.eu/resource/authority/country/FRA,39.32
FR0000006512,Faisceau Pair,46.2022215,6.2413361,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/71e99ee59e9cdd53b36e78ff00fb8a36ae6bc96c,http://publications.europa.eu/resource/authority/country/FRA,55.95
FR0000007837,Faisceau impair,44.655924,-1.1598379,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/06b6f82014936d658fe01ae488d9c38eb6ba175f,http://publications.europa.eu/resource/authority/country/FRA,1408.36
FR0000016259,Fin de ligne,47.2902884,-2.5071166,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/39cf519f07f9d4fff26b8b73e37d87033f611779,http://publications.europa.eu/resource/authority/country/FRA,2827.36
FR0000014931,Accès à Faisceau des Flamands,49.6551254,-1.5987556,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5832bb04c571b5f9bf0526df9f50af4930c732eb,http://publications.europa.eu/resource/authority/country/FRA,211.83
FR0000004173,Les Deux Jumeaux,43.369909,-1.7643639,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/714c6afbe027884e1d04f5cebe703cc512771a4f,http://publications.europa.eu/resource/authority/country/FRA,102.29
FR0000003695,Kerhostin,47.536172,-3.1365709,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/74659103d4d2ca949e320fa3fb2ee96dfc3caec1,http://publications.europa.eu/resource/authority/country/FRA,1087.95
FR0000004205,Batz-sur-Mer,47.2809487,-2.4790175,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/788bd9364c5b0b8eed83bcee144701b7c333e6c4,http://publications.europa.eu/resource/authority/country/FRA,1540.89
FR0000015919,Fin de ligne,46.1595088,-1.2392849,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/899775fadb54c275f4b875af7006aadc423f15bb,http://publications.europa.eu/resource/authority/country/FRA,1606.47
FR0000010789,Accès à CCIC Quai des Mielles n°2,49.6552533,-1.6044444,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9c95dd1cf34343be15227c1c3694bac9a88b0813,http://publications.europa.eu/resource/authority/country/FRA,392.14
FR0000002519,Les Sables-Blancs,47.5752193,-3.1324566,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/acb9de25725cf258f1d3dbd74bb80144d27fe4a0,http://publications.europa.eu/resource/authority/country/FRA,242.97
FR0000002893,Le Pouliguen,47.2826115,-2.4332902,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c432b8aa16e9b06795bb8bda0248c17bb32d3cc1,http://publications.europa.eu/resource/authority/country/FRA,37.89
FR0000008707,Faisceau Pair V6 àV20,47.2864127,-2.5044254,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d25d911acaab4c50585a021d44d5f15e564c6e74,http://publications.europa.eu/resource/authority/country/FRA,2788.4
FR0000000768,539000-1/539507-1,46.1599545,-1.2217174,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ee2a4e7fa0c8c38afdaf4a00e13d80199b3c94cb,http://publications.europa.eu/resource/authority/country/FRA,252.81
FR0000004997,Penthièvre,47.5578625,-3.1330777,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f58aed4aa60d50249d918951c4fab75a83a68d68,http://publications.europa.eu/resource/authority/country/FRA,1858.46
FR9900009790,Accès à Faisceau impair,44.6592515,-1.1668044,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1007085d15da449b065d649caae43fb9b4b6e170,http://publications.europa.eu/resource/authority/country/FRA,2075.19
FR9900010021,Fin de ligne,44.6596559,-1.1680752,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2f32ab5185320a2fca6eb274296d7d012cb4d34f,http://publications.europa.eu/resource/authority/country/FRA,2183.44
FR9900009792,Accès à Faisceau impair,44.656984,-1.1608754,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/93bcea8e0c963e34db39b652c88233bfdacf5319,http://publications.europa.eu/resource/authority/country/FRA,1544.96
FR9900010053,Technical change,44.6590863,-1.166063,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f799bda3c3810012d3897eb692b093d80da779b7,http://publications.europa.eu/resource/authority/country/FRA,2016.7
EU00017,Frontière FR-DE (Bantzenheim - Neuenburg),47.8143,7.5464,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/dcb6eafc549b0e7b8e0400fb7943f4331386ec07,http://publications.europa.eu/resource/authority/country/FRA,108.15
EU00228,Limite SNCF RESEAU - EuroTunnel,51.01718,1.50182,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4c21c33fdd23a5a67c5f1d1fde9f4d89c9653df3,http://publications.europa.eu/resource/authority/country/FRA,17603.36
FR0000005112,Le Verdon,45.54945,-1.0652281,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4b177e1a416b3dbd27df4a26656d397c85816a31,http://publications.europa.eu/resource/authority/country/FRA,5085.98
FR0000003551,Arcachon,44.6588328,-1.1652405,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9186a7144528aabbba35ce5b25b502a14ddc31ba,http://publications.europa.eu/resource/authority/country/FRA,1947.18
FR0000004662,Le Croisic,47.2899804,-2.5069045,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c3af3623551bea515e4f41c14b0a4d820a1f9f6d,http://publications.europa.eu/resource/authority/country/FRA,2824.39
FR0000004063,Pointe-de-Grave,45.5670541,-1.0658295,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ca8bb68f5bf093f8be2aac86036f0125492e08c6,http://publications.europa.eu/resource/authority/country/FRA,6216.11
EU00015,Frontière FR-DE (Lauterbourg - Wörth),48.9752,8.1954,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/06d54bf22142e2aaa98c1fec916df86fa619bfa8,http://publications.europa.eu/resource/authority/country/FRA,125.24
EU00014,Frontière FR-DE (Wissembourg - Winden),49.0271,7.9788,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ecd9992ade05b2e834f71a8969bb55ef114e3c78,http://publications.europa.eu/resource/authority/country/FRA,173.17
FR0000002652,Juan-les-Pins,43.5710483,7.1116178,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0f10e74c581e6275f54207926882971c3f46c4d4,http://publications.europa.eu/resource/authority/country/FRA,361.14
FR9900001049,Fin de ligne exploitée,47.5979936,7.5836909,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2440d8efa814b4bfbdcf336d569c5f5a8fe9bf9c,http://publications.europa.eu/resource/authority/country/FRA,51.3
