id,name,lat,lon,osm_elements,min_distance_m,within_threshold,osm_type_compatible,error
EU00010,Frontière FR - DE (Apach - Perl),49.469,6.3696,14,4.4,True,True,
EU00011,Frontière FR-DE (Bouzonville - Hemmersdorf),49.336,6.5911,5,5.1,True,True,
EU00012,Frontière FR - DE (Forbach - Saarbrucken),49.214,6.9442,7,2.6,True,True,
EU00013,Frontière FR - DE (Sarreguemines - Hanweiler),49.1119,7.0573,11,7.0,True,True,
EU00014,Frontière FR-DE (Wissembourg - Winden),49.0271,7.9788,11,3.1,True,True,
EU00015,Frontière FR-DE (Lauterbourg - Wörth),48.9752,8.1954,3,6.6,True,True,
EU00016,Frontière FR - DE (Strasbourg-Kehl),48.5756,7.801,21,6.5,True,True,
EU00017,Frontière FR-DE (Bantzenheim - Neuenburg),47.8143,7.5464,5,7.6,True,True,
EU00083,Frontière FR-BE (Wannehain - Antoing),50.5720246,3.2784511,9,6.2,True,True,
EU00084,Frontière FR-BE (Tourcoing - Mouscron),50.7220695,3.1961674,10,1.3,True,True,
EU00085,Frontière FR-BE (Baisieux - Froyennes),50.6174356,3.2636772,6,4.8,True,True,
EU00086,Frontière FR-BE (Feignies - Quévy),50.3288424,3.9083749,8,28.3,True,True,
EU00087,Frontière FR-BE (Jeumont - Erquelines),50.3027051,4.1091807,14,2.3,True,True,
EU00088,Frontière FR-BE (Longwy - Aubange),49.5474178,5.8128487,10,3.1,True,True,
EU00099,Frontière FR - LU (Mont St Matin - Pétange),49.5433,5.8106,5,4.1,True,True,
EU00100,Frontière FR-LU (Audun-le Tiche - Esch-sur-Alzette),49.4859,5.9688,4,10.5,True,True,
EU00102,Frontière FR - LU (France-Luxembourg),49.4720532,6.1078419,6,0.8,True,True,
EU00119,Frontière FR - ES (Hendaye - Irun),43.35065,-1.78589,78,3.6,True,True,
EU00120,Frontière FR - ES (Cerbère - Port Bou),42.43494,3.1597,6,10.7,True,True,
EU00122,Frontière FR-ES (Latour de Carol-Enveitg - Puigcerdà),42.44716,1.91449,4,54.9,True,True,
EU00126,Frontière FR - IT (Menton - Ventimille),43.78537,7.52957,10,4.3,True,True,
EU00127,Frontière FR-IT (Modane - Bardonecchia),45.13757,6.68342,2,2467.5,False,True,
EU00128,Frontière FR-IT (Vievola - Limone Piemonte),44.15268,7.56981,3,1.9,True,True,
EU00129,Frontière FR-IT (Breil-sur-Roja - Olivetta - S. Michele),43.89028,7.53092,5,4.6,True,True,
EU00130,Frontière FR - CH (Pougny-Chancy - La Plaine),46.177452,5.990589,6,1.7,True,True,
EU00132,Frontière FR - CH (Les Longevilles - Vallorbe),46.713594,6.347762,3,0.4,True,True,
EU00133,Frontière FR-CH (Pontarlier - Les Verrières),46.89917,6.45899,3,2.1,True,True,
EU00134,Frontière FR - CH (Morteau - Le Locle-Col-des-Roches),47.050231,6.716949,4,2.9,True,True,
EU00135,Frontière FR - CH (Delle - Boncourt),47.502777,7.012894,8,2.9,True,True,
EU00138,Frontière FR - CH (Saint-Louis - Basel St. Johann),47.577565,7.567592,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
EU00228,Limite SNCF RESEAU - EuroTunnel,51.01718,1.50182,0,,False,,
FR0000000001,Bif direction Bray-Dunes,51.0217199,2.373297,6,4.0,True,True,
FR0000000002,Bif 228000/229000,49.5709933,3.6345008,28,1.7,True,True,
FR0000000004,Bif de Louailles,47.8466282,-0.3325084,6,118.9,False,True,
FR0000000005,Bif 550000/559000,47.8026762,1.071472,20,2.5,True,True,
FR0000000006,Bif 015000/013000,48.4421322,4.5869556,2,637.0,False,False,
FR0000000007,Bif de Calais,50.8884844,1.8191482,9,42.9,True,True,
FR0000000008,Bif 586000/655000 (Médoquine),44.8170803,-0.5978988,12,3.9,True,True,
FR0000000009,Bif 574000/524000,46.6806321,0.2448742,4,47.0,True,False,
FR0000000010,Bif 272000/272316,48.9116933,2.3522442,169,4.5,True,True,
FR0000000011,Bif 830000/883000,46.2970675,4.8197075,46,4.9,True,True,
FR0000000012,Bif 335300/335304,48.9509873,2.0808358,12,1.1,True,True,
FR0000000013,Bif 081000/205000,49.2746105,4.0415584,51,0.5,True,True,
FR0000000014,Bif 538000/500000,46.3140031,-0.4588426,41,1.9,True,True,
FR0000000015,Bif 340000/335304,48.9499924,2.0791476,16,14.8,True,True,
FR0000000016,Bif 379000/390000,49.3542327,0.0880805,17,2.3,True,True,
FR0000000019,Bif 750000/770000,46.5585244,3.3382747,59,8.0,True,True,
FR0000000021,Bif de Lambersart,50.6532349,3.0215053,10,3.8,True,True,
FR0000000023,Bif 570000/985000,48.7669507,2.4109358,18,4.5,True,True,
FR0000000024,Bif 312502/312504,50.7168918,1.5778307,3,114.5,False,False,
FR0000000025,Bif 001000/051000,47.8371869,5.9004971,17,5.1,True,True,
FR0000000026,Bif 232000/232306,49.2223442,2.8541526,3,407.9,False,False,
FR0000000027,Bif de Nevers (Saincaize),46.9352678,3.0672474,24,1.3,True,True,
FR0000000029,Bif 570000/619000,45.2212277,0.0241517,12,57.6,True,False,
FR0000000030,Bif 286000/286610,50.4676415,2.8686785,41,21.2,True,True,
FR0000000031,Bif 800311/800316/913000,44.7954193,4.7791779,9,1.7,True,True,
FR0000000032,Bif 272000/259000,49.5036245,2.4292017,24,2.3,True,True,
FR0000000033,1000/34300/842000,47.8828659,5.334096,11,14.5,True,True,
FR0000000034,Bif 963000/961300,48.9099626,2.3205316,55,36.7,True,True,
FR0000000035,Bif 334000/366000,48.987451,1.7075067,88,6.5,True,True,
FR0000000036,Bif 242000/250000,50.047449,3.45151,47,16.5,True,True,
FR0000000037,Bif 925000/926000,43.917308,5.0471916,28,22.8,True,True,
FR0000000039,Bif de Périgueux (Agen),44.2053838,0.6317462,15,1.6,True,True,
FR0000000040,Bif 370000/365000,49.4135745,1.0385112,4,1.0,True,True,
FR0000000041,Bif 070000/081000,48.9600964,4.3424731,61,9.9,True,True,
FR0000000042,Bif de la Plumasserie Nord,48.0047473,0.1764073,23,1.1,True,True,
FR0000000043,Bif 001000/020000,48.1119341,5.1094901,14,1.3,True,True,
FR0000000044,Bif de Viroflay V1,48.8072365,2.1822889,5,3.3,True,True,
FR0000000045,Bif 242000/242316,50.0592967,3.4655821,5,74.0,True,False,
FR0000000046,Bif 830000/830641,44.8784815,4.8734854,62,7.3,True,True,
FR0000000047,Bif 568000/501300/568106,44.8461842,-0.5541865,4,28.0,True,False,
FR0000000050,Bif 752356/830000,44.2942639,4.6998558,4,7.7,True,True,
FR0000000053,Bif 750000/906000,45.5945133,4.7699471,49,6.0,True,True,
FR0000000054,Bif 990000/963306,48.9580917,2.3094239,21,10.8,True,False,
FR0000000055,Bif de Cagnard (Valence),44.9383199,4.8954397,14,4.0,True,True,
FR0000000056,Bif 650000/668000,43.0767631,0.5792559,34,11.9,True,True,
FR0000000057,Bif 750000/750521,46.0582734,4.0536201,14,82.2,True,False,
FR0000000058,Bif Ussel (Limoges),45.8840959,1.3417543,16,5.1,True,True,
FR0000000059,Bif 005000/226320,48.96779,2.7315134,5,66.3,True,True,
FR0000000061,Jct 340000/342000,49.3173452,1.1716727,28,11.5,True,True,
FR0000000062,Bif 259000/261000,49.8076746,2.7987362,18,2.9,True,True,
FR0000000064,Bif 790000/792000,44.7317243,3.8590151,17,3.6,True,True,
FR0000000065,Bif 722000/723000,44.5128624,3.2528232,9,5.7,True,True,
FR0000000066,Bif de Grasse (Cannes),43.5490423,6.9891715,14,4.6,True,True,
FR0000000067,Bif 284000/283300,50.4151276,2.8748821,6,11.8,True,False,
FR0000000070,Bif 292000/292611,50.6391304,3.0061148,55,11.0,True,True,
FR0000000071,Bif du Pont de Sallumines,50.4156199,2.8656917,11,20.6,True,True,
FR0000000072,Bif de Grigny,48.6710815,2.3934082,13,2.8,True,True,
FR0000000073,Jct 830900/860000,47.3047783,5.0303697,61,8.3,True,True,
FR0000000074,Bif 720000/722000,45.1250008,2.9834767,48,0.5,True,True,
FR0000000076,Bif 019000/021299,48.804162,4.976297,1,336.8,False,False,
FR0000000077,Jct 973000/975000,48.8782336,2.3230989,230,5.1,True,True,
FR0000000078,Bif de Bois-Robert,48.7986465,2.0734362,71,12.8,True,True,
FR0000000079,Bif 621000/621306,45.1960408,0.6970702,9,56.0,True,False,
FR0000000080,Bif 664000/665000,43.1462247,-0.4569499,7,2.1,True,True,
FR0000000081,Bif 705000/707000,46.2982938,2.74672,31,8.4,True,True,
FR0000000082,Bif 340000/343000,49.2370395,1.2257353,28,5.6,True,True,
FR0000000083,Bif de Rac de St-Georges Ouest,47.9847936,0.1639854,31,3.6,True,True,
FR0000000084,Bif de Ste-Anne,48.7545572,-0.0418258,9,2.3,True,True,
FR0000000086,Bif 525000/594000,47.3542612,0.6750951,13,3.2,True,True,
FR0000000087,Jct 830000/830900,47.3045615,5.0304217,65,22.2,True,True,
FR0000000089,Bif de Courtalain,48.0863637,1.1159337,19,1.9,True,True,
FR0000000090,Bif 229000/229306,48.9308957,2.4269385,58,17.1,True,True,
FR0000000091,Bif 191300/099000/192000,49.0941693,6.1729421,78,1.5,True,True,
FR0000000092,Bif 020000/020606,48.6538189,4.9165885,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
FR0000000095,Bif 606606/606611,45.8836704,1.2785622,9,1.8,True,True,
FR0000000096,Bif 957000/957311,48.8920454,2.4743016,41,4.0,True,True,
FR0000000097,Bif du Prado Voie 2,43.2975575,5.405696,41,11.8,True,True,
FR0000000098,Bif 584000/588506,45.2208188,-0.7552377,2,176.8,False,False,
FR0000000100,Jct 366000/430000,49.0708109,-0.0686691,39,7.4,True,True,
FR0000000101,Bif 267000/267606,50.5837309,3.1243869,3,4.2,True,False,
FR0000000102,Bif 110000/110306,48.573601,7.7158912,20,5.1,True,True,
FR0000000103,Bif de Vénissieux,45.7145325,4.8589194,25,4.5,True,True,
FR0000000104,Bif Rac Nord de Mâcon,46.2689929,4.7963426,15,4.6,True,True,
FR0000000105,570611-1/570616-1,47.39,0.75,94,86.0,True,True,
FR0000000106,928106-1/928616-1,43.4920998,5.3695216,6,117.5,False,False,
FR0000000107,Bif 365000/365501,49.4386215,1.079266,49,0.3,True,True,
FR0000000108,Bif de Lyon (Grenay),45.6397752,5.0857807,12,7.6,True,True,
FR0000000111,Jct 973000/975000,48.9060483,2.2714479,36,7.0,True,True,
FR0000000112,Bif 070000/070908,48.8734317,2.5985517,45,17.1,True,True,
FR0000000113,Bif 562300/563300,47.382688,0.7159585,88,1.6,True,True,
FR0000000114,Bif 242000/242661,50.2518823,3.9124606,14,14.3,True,True,
FR0000000115,Bif Rac de Cheval Blanc,43.7936458,5.0534705,11,2.9,True,True,
FR0000000116,Bif de St Berthevin (420000/408370),48.0840472,-0.8333023,27,15.5,True,True,
FR0000000117,Bif Rac Côté Hirson,49.7661298,4.7200771,13,1.6,True,True,
FR0000000118,Bif de Leval-Est,50.1851914,3.8360239,21,7.0,True,True,
FR0000000119,Bif des Vallées,48.9136662,2.2570243,19,6.3,True,False,
FR0000000120,Bif 340000/340641,49.4946267,0.1338141,72,13.7,True,True,
FR0000000122,Bif de Périgueux (Brive),45.1507949,1.5132013,95,2.9,True,True,
FR0000000123,Bif 341300/341311,49.4966743,0.1711592,40,2.1,True,True,
FR0000000125,Bif 272000/307000,50.2797474,2.7684621,106,16.9,True,True,
FR0000000126,Bif de Évin,50.4461551,3.0306953,19,25.7,True,True,
FR0000000127,Bif 441000/442502,48.6459165,-2.0001568,34,2.8,True,True,
FR0000000128,677306-1/677306-2,43.1807631,2.9844961,6,54.8,True,True,
FR0000000129,Bif 752000/768300,47.6976743,4.0702269,8,16.9,True,True,
FR0000000131,Bif 070000/019000,48.8237764,4.9851436,35,8.9,True,True,
FR0000000132,Bif 784000/796000,45.5101348,4.2821289,20,1.3,True,True,
FR0000000133,Bif 431000/431310,47.6771784,1.0011063,9,2.4,True,True,
FR0000000134,Bif de Fampoux,50.2991699,2.879845,13,14.2,True,True,
FR0000000135,Bif de Sainghin-Sud,50.5574888,3.1185256,17,1.2,True,True,
FR0000000136,Bif 695000/695606,46.3671615,2.5933182,14,4.5,True,True,
FR0000000137,Bif 860000/860608/860606,47.2883041,5.0285575,40,72.2,True,True,
FR0000000138,Bif de La Voute,44.7697443,4.824558,14,16.4,True,True,
FR0000000139,Bif 570000/598000,47.0056414,0.5978001,9,4.9,True,True,
FR0000000140,Bif 286000/286608,50.4374727,2.8586429,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
FR0000000141,Bif Racc 005341 / 090000,48.9798519,6.0275173,12,3.6,True,True,
FR0000000142,Bif 019000/021300,48.804162,4.976297,1,336.8,False,False,
FR0000000144,Bif 267000/253000,50.3573112,3.5158837,40,4.4,True,True,
FR0000000145,Bif 420000/443000,48.2157732,-2.1157571,17,36.3,True,True,
FR0000000146,Bif Fretin Nord Sud,50.5845277,3.1413245,12,10.6,True,True,
FR0000000148,Bif 830000/861300,47.2951991,5.0278677,66,3.9,True,True,
FR0000000149,Bif de Courbevoie,48.9026755,2.2609824,22,12.1,True,True,
FR0000000152,Bif 790000/798000,45.1596677,3.4960846,22,13.9,True,True,
FR0000000153,Bif des Alliers,45.6407265,0.1339044,17,4.3,True,True,
FR0000000154,Bif 830311/955000,48.8279564,2.3866636,25,9.7,True,True,
FR0000000155,Bif 800000/813000,43.9308947,4.5590257,4,74.9,True,False,
FR0000000156,Bif 621000/716000,45.2551353,1.761652,32,9.2,True,True,
FR0000000157,Bif 242000/242610,49.6115061,3.2249944,27,10.4,True,True,
FR0000000158,Bif d'Eauplet,49.4252076,1.1070288,29,1.1,True,True,
FR0000000159,Bif 226310/226320,48.9291126,2.735326,11,5.7,True,True,
FR0000000160,Bif de Sassegnies,50.1888939,3.8235917,12,11.9,True,True,
FR0000000161,Bif 301000/272301,50.2986065,2.8214853,19,14.6,True,True,
FR0000000162,Bif 070000/139300,48.6059004,7.7272918,43,37.1,True,True,
FR0000000163,Bif 450000/450608,47.4983808,-0.5231425,15,8.4,True,True,
FR0000000165,Jonction 002000/226318,48.7330426,2.7857871,7,7.6,True,True,
FR0000000167,Bif 850000/862310,47.2939127,5.0471675,31,3.0,True,True,
FR0000000168,Bif 070000/070908,48.8762929,2.6249459,45,13.3,True,True,
FR0000000169,Bif 509000/450000,47.8913234,0.020821,9,28.6,True,True,
FR0000000170,Bif 395000/403300,48.6636073,0.166463,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
FR0000000171,Bif 042000/056300,48.2039383,6.4328865,3,309.6,False,False,
FR0000000172,Bif 570000/621000,45.0375873,-0.1299503,46,2.7,True,True,
FR0000000173,Bif 502300/570000,44.8433696,-0.5406472,4,1.4,True,False,
FR0000000174,Bif 797311/800000,45.2890196,4.7931367,16,0.7,True,True,
FR0000000175,Bif 785000/798000,45.1427386,3.7347819,13,5.0,True,True,
FR0000000176,Bif 001000/847000,47.6338285,6.1023185,6,29.1,True,False,
FR0000000179,Bif 722000/725000,44.3217647,3.0579353,19,6.3,True,True,
FR0000000180,Bif 229000/230000,48.932035,2.504528,17,22.2,True,True,
FR0000000181,Bif Longueau Poste 2,49.8896684,2.3162157,108,7.5,True,True,
FR0000000183,Bif 304000/304603,51.0028473,2.3135624,62,23.4,True,True,
FR0000000184,Bif Chagny (Dijon),47.2956346,5.0279949,62,18.9,True,True,
FR0000000185,Bif 470000/473000,47.6816022,-3.0099924,12,2.5,True,True,
FR0000000186,Bif 242000/242616,49.8346644,3.2865832,48,8.8,True,True,
FR0000000187,Bif 900000/900903,45.304532,6.3489413,5,78.7,True,False,
FR0000000188,Bif 935903/935905,43.3938122,4.8113824,2,153.8,False,False,
FR0000000189,Bif 696000/695000,46.3408716,2.5915314,15,2.6,True,True,
FR0000000190,Bif de la Plumasserie Sud,47.9969465,0.1724625,25,5.0,True,True,
FR0000000191,Bif 760000/760306,46.9051565,4.7498987,40,16.1,True,True,
FR0000000192,Bif 991300/991301/991302 (Bif Est de Gagny),48.8739247,2.5307058,21,8.1,True,True,
FR0000000193,Bif 431000/553000,48.8214338,2.296691,34,3.3,True,True,
FR0000000194,Bif de la VME n°2 de Woippy,49.165391,6.1562226,47,16.9,True,True,
FR0000000195,Bif 682000/690000,47.0952278,2.3856938,66,0.3,True,True,
