osm_id,name,type,ref,lat,lon
node/10703312,Lyon-Saint-Exupéry TGV,stop,,45.7210276,5.0758462
node/12386545,Lamballe,station,LAM,48.4658798,-2.5112218
node/12386941,Rennes,stop,,48.1032483,-1.6717874
node/12387024,Noyal - Acigné,stop,,48.1188229,-1.5278362
node/12387217,Vitré,stop,,48.1225218,-1.211841
node/12387295,Saint-Pierre-la-Cour,stop,,48.1135919,-1.0253019
node/12387316,Port-Brillet,stop,,48.1106648,-0.9740809
node/12387352,Le Genest,stop,,48.0967888,-0.8854837
node/12387408,Laval,stop,,48.0763386,-0.7609119
node/12388528,Châtillon-Montrouge,stop,,48.8108097,2.3015874
node/12388534,Malakoff - Rue Étienne Dolet,station,,48.8151929,2.2973418
node/13800157,Le Puy-en-Velay,station,LPU,45.042729,3.8925667
node/13801697,Avignon-Centre,stop,,43.9417653,4.8052728
node/13801745,Sausset-Les-Pins,stop,,43.3329715,5.1100604
node/13801762,La Couronne Carro,stop,,43.3399286,5.0517219
node/13801789,Lyon-Perrache,stop,,45.7482226,4.8255307
node/13801832,Saint-Fons,stop,,45.7056112,4.8522622
node/14472440,Aregno,halt,,42.6106534,8.8736794
node/14472445,Algajola,station,,42.6083787,8.8603704
node/14472468,Sant'Ambroggio,halt,,42.6015543,8.8388322
node/14472480,A Marina di Sant’Ambrosgiu,halt,,42.5979681,8.8260414
node/14472521,Calvi E Padule,halt,,42.5561914,8.7650356
node/15256287,Le Bourget,station,LBT,48.9308009,2.4257459
node/15261627,Laigneville,stop,,49.2925935,2.4493406
node/15261630,Liancourt - Rantigny,stop,,49.3247596,2.4455652
node/15261649,Saint-Just-en-Chaussée,stop,,49.5036439,2.4291917
node/17401813,Lille Europe,stop,,50.6393131,3.0753018
node/20842381,Lyon Part-Dieu,stop,,45.7605453,4.8601192
node/20974992,Douai,stop,,50.3718161,3.0903364
node/21309171,Roubaix,stop,,50.6957568,3.1630343
node/21310852,Gentilly,stop,2,48.8161403,2.3405461
node/21310901,Bourg-la-Reine,stop,1,48.7792085,2.3118803
node/21313664,Carry-le-Rouet,stop,,43.3366644,5.1536115
node/21314459,Rive-de-Gier,stop,,45.5244393,4.6064629
node/21355350,La Levade,halt,LLE,44.2286296,4.0102954
node/21473677,Miramas,stop,,43.5810675,4.9994704
node/21600199,Alaï,stop,,45.7518874,4.7718217
node/21600217,Tassin,stop,,45.7617443,4.758589
node/22123858,Chaponost,stop,,45.6981829,4.7642265
node/24559225,Nice Riquier,stop,,43.7058324,7.2905117
node/24947460,Gare Lille Flandres,stop,,50.6374689,3.0710152
node/25269422,Valence-Ville,stop,,44.9279843,4.8934633
node/25313126,Les Flachères,station,FLS,45.7774415,4.7540906
node/25313821,Écully la Demi-Lune,stop,,45.7657199,4.7791167
node/25314318,Tassin,stop,,45.7616434,4.7585595
node/25314370,Le Méridien,stop,,45.7685096,4.7484922
node/25337611,Gorge de Loup,stop,5040,45.7664422,4.8055028
node/25395773,Tain l'Hermitage - Tournon,stop,,45.0723046,4.8397682
node/25455021,Brignais,stop,,45.6737515,4.7638663
node/25615132,Hettange-Grande,stop,,49.407803,6.1567226
node/25635150,Sainte-Lizaigne,stop,,47.0028904,2.0301448
node/25635209,Saint-Sulpice-Laurière,stop,,46.0467474,1.4760493
node/25637985,Gignac-Cressensac (Lot),stop,,45.0146324,1.4831182
node/26641790,Cherbourg,stop,,49.6334628,-1.6211702
node/26717576,Carentan,stop,,49.3022762,-1.2449668
node/26720594,Lison,stop,,49.2270004,-1.0503369
node/26720775,Audrieu,stop,,49.216355,-0.5960085
node/26720906,Caen,stop,,49.1766198,-0.3473916
node/26721276,Pont Cardinet,stop,,48.8895077,2.3152622
node/26721469,Frénouville - Cagny,stop,,49.1409882,-0.2596883
node/26742369,Houilles Carrières-sur-Seine,stop,,48.9203502,2.1854362
node/26742385,Achères Grand Cormier,stop,,48.9552489,2.09262
node/26742398,Villennes-Sur-Seine,stop,,48.9394597,1.9995955
node/26742403,Vernouillet Verneuil,stop,,48.9813405,1.9830937
node/26742419,Épône - Mézières,stop,,48.9632678,1.8083487
node/26747141,Avignon TGV,stop,,43.9217055,4.7860229
node/26766619,Cherbourg,stop,,49.6333647,-1.6212004
node/26824135,Gare de Lyon,station,PLY,48.8446832,2.3737743
node/26824779,Les Laumes Alésia,stop,,47.5433041,4.4626211
node/26825030,Lantenay,halt,LWP,47.3351085,4.860963
node/26825284,Collonges,stop,2,47.2212588,5.2653505
node/26825369,Orchamps,halt,ORA,47.1500962,5.659147
node/26825379,Ranchot,halt,RNH,47.1525066,5.7246631
node/26986284,Puteaux,stop,1,48.8826061,2.2329351
node/27016524,,stop,,46.0046591,5.028711
node/27181752,Le Val d'Or,stop,1,48.8563909,2.2165957
node/27232842,Bécon-les-Bruyères,stop,,48.9052798,2.2688689
node/27233097,Asnières-sur-Seine,station,973000,48.905901,2.2834758
node/27233126,Clichy-Levallois,station,973000,48.8975882,2.2973511
node/27331437,Cannes-la-Bocca,stop,,43.5487873,6.9871165
node/27331580,Golfe-Juan Vallauris,stop,,43.5664013,7.0736327
node/27331722,Antibes,stop,,43.5859644,7.1193753
node/27331723,Antibes,stop,,43.5859502,7.1194218
node/27333521,Cagnes-sur-Mer,stop,,43.6577654,7.148342
node/27333522,Cagnes-sur-Mer,stop,,43.6577389,7.1483997
node/27333931,Nice Saint-Augustin,station,NIA,43.6684958,7.2106118
node/27362238,Les Sablons,station,,48.8809365,2.2722281
node/27362240,Argentine,stop,2,48.87515,2.2906706
node/27362249,George V,stop,,48.8720617,2.3004148
node/27362251,Franklin D. Roosevelt,station,,48.8690339,2.3099266
node/27362257,Concorde,stop,,48.8661988,2.3244166
node/27362258,Tuileries,station,,48.8645194,2.3296312
node/27362260,Louvre - Rivoli,stop,,48.8608027,2.3411235
node/27371862,Châtelet,station,,48.8587782,2.3474106
node/27371867,Saint-Paul,station,,48.8553844,2.3604068
node/27371876,Bastille,stop,,48.8519877,2.3686653
node/27371900,Porte de Vincennes,stop,,48.8473335,2.4080861
node/27507375,Meaux,station,MEA,48.9573337,2.8734872
node/27507428,Changis - Saint-Jean,stop,,48.9591464,3.0253523
node/27527366,Hochfelden,stop,,48.7552235,7.5722188
node/27527376,Wilwisheim,stop,,48.7459644,7.5075631
node/27527380,Dettwiller,stop,,48.7518606,7.4648815
node/27527471,Réding,stop,,48.7424061,7.0971444
node/27527481,Nancy,stop,,48.6897316,6.1741172
node/27527507,Champigneulles,stop,,48.7350983,6.1691162
node/27527555,Frouard,stop,B,48.7554359,6.1445696
node/27527648,Dombasle-sur-Meurthe,stop,,48.6233505,6.343364
node/27527684,Mont-sur-Meurthe,stop,,48.5599545,6.4496464
node/27527698,Lunéville,stop,A,48.587871,6.4970758
node/27528035,Vitry-le-François,stop,,48.7177837,4.5876486
node/27528083,Revigny,stop,,48.8239047,4.9856341
node/27528122,Toul,stop,,48.6793382,5.8804718
node/27528417,Sarrebourg,stop,,48.7387563,7.0519971
node/27528511,Saverne,stop,,48.7447488,7.3619434
node/27529178,Commercy,stop,,48.7659988,5.5887797
node/27529231,Foug,halt,FUG,48.679265,5.7912761
node/27557168,Mandelieu-la-Napoule,station,MPV,43.5241835,6.9414938
node/27585604,Orly Ville,stop,,48.7418638,2.4028534
node/27604417,Fréjus,station,FRJ,43.4319194,6.7329012
node/29065832,Sans Souci,stop,5091,45.747584,4.8652467
node/29065834,Guillotière,stop,5044,45.7553541,4.8428428
node/29065835,Vieux Lyon - Cathédrale Saint-Jean,stop,5095,45.7601928,4.8259681
node/29065837,Monplaisir - Lumière,stop,5083,45.7455214,4.8713767
node/29065839,Bellecour,stop,5002,45.7575745,4.8331247
node/29065840,Garibaldi,stop,5181,45.7516219,4.853488
node/29065842,Saxe - Gambetta,stop,5092,45.753283,4.8466842
node/29066747,Valmy,stop,5094,45.7745978,4.8054708
node/29066748,Lyon Vaise,stop,,45.7803015,4.8034302
node/29066749,Grange Blanche,stop,5041,45.7429973,4.8788802
node/29075624,Laennec,stop,5062,45.7383722,4.8865793
node/29075625,Cordeliers,stop,5021,45.7633083,4.8358281
node/29075626,Mermoz - Pinel,stop,5082,45.7305576,4.8873009
node/29075627,Hôtel de Ville - Louis Pradel,stop,5046,45.7672702,4.8360565
node/29076107,Parilly,stop,5084,45.7195177,4.8875525
node/29163412,Jean Macé,stop,,45.7460317,4.842387
node/29163413,Debourg,stop,,45.7310667,4.8334756
node/29557929,Talence-Médoquine,halt,,44.8157558,-0.6022962
node/29588070,Marcel Sembat,station,,48.8336468,2.2435931
node/29757530,O Burgo-Santiago,stop,,43.3179425,-8.3686348
node/29784692,Betanzos-A Infesta,stop,,43.2708376,-8.2259993
node/29805512,Mouans-Sartoux,station,MUU,43.6204545,6.974252
node/29809208,Curtis,stop,,43.1272797,-8.1432221
node/29818312,Lugo,stop,,43.0153618,-7.5523386
node/29818831,Sarria,stop,,42.7841956,-7.4190137
node/29867720,Croix-Paquet,stop,5222,45.7710097,4.8361796
node/29867721,Croix-Rousse,stop,5223,45.7745025,4.8318708
node/30125364,Cannes,stop,,43.5542077,7.0202235
node/30283098,Saint-Hilaire - Saint-Nazaire,stop,,45.0714632,5.2438489
node/30283114,Saint-Marcellin,stop,,45.1504339,5.3230383
node/30283153,Grenoble Universités - Gières,stop,,45.1849805,5.7847193
node/30283234,Échirolles,stop,,45.1531223,5.71887
node/30283294,Saint-Égrève-Saint-Robert,stop,,45.2357172,5.6710964
node/30283364,Poliénas,stop,,45.2561737,5.4737547
node/30283367,Moirans,stop,,45.3220266,5.5816962
