osm_id,name_osm,type_osm,ref_osm,lat_osm,lon_osm,nearest_op_uri,nearest_op_id,nearest_op_name,nearest_distance_m
node/8988182795,Gare Montparnasse,stop,19,48.8408524,2.3193082,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/39581646ac36be0925614043d8875d0171a4fac4,FR0000016313,Paris-Montparnasse,200.1
node/8988182794,Gare Montparnasse,stop,20,48.840872,2.3192689,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/39581646ac36be0925614043d8875d0171a4fac4,FR0000016313,Paris-Montparnasse,200.9
node/9581546172,Gare Montparnasse,stop,6,48.8403446,2.3202917,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/39581646ac36be0925614043d8875d0171a4fac4,FR0000016313,Paris-Montparnasse,201.4
node/9581546173,Gare Montparnasse,stop,5,48.8403244,2.3203306,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/39581646ac36be0925614043d8875d0171a4fac4,FR0000016313,Paris-Montparnasse,202.3
node/5632794627,Sarcelles - Saint-Brice,stop,,48.997137,2.3687405,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d2fb0b4ddb1803c2c1363677bafa72acaafe3077,FR0000002152,Sarcelles-St-Brice,203.3
node/8988182793,Gare Montparnasse,stop,21,48.8409314,2.3191521,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/39581646ac36be0925614043d8875d0171a4fac4,FR0000016313,Paris-Montparnasse,203.6
node/476644665,Pont Supérieur,station,,50.6443814,3.0138888,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/984b5572d39ddc61b13ddfe777fff9ac33aa51b5,FR9900001543,Lomme,203.6
node/8988182792,Gare Montparnasse,stop,22,48.8409538,2.3191105,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/39581646ac36be0925614043d8875d0171a4fac4,FR0000016313,Paris-Montparnasse,204.8
node/5346965459,Courbevoie,stop,,48.8991697,2.2504595,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a615a584c55c3cfcc26fa8a683f0d616c997d437,FR0000004709,Courbevoie,204.9
node/9581546174,Gare Montparnasse,stop,4,48.8402643,2.3204496,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/39581646ac36be0925614043d8875d0171a4fac4,FR0000016313,Paris-Montparnasse,205.5
node/4549964959,Massy-TGV,stop,,48.7259975,2.2613964,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7ea7cddaf8d6535311498b8788c4dabafd6a498a,FR0000006913,Faisceau Impair 51 à 65,205.8
node/9581546175,Gare Montparnasse,stop,3,48.8402478,2.3204815,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/39581646ac36be0925614043d8875d0171a4fac4,FR0000016313,Paris-Montparnasse,206.4
node/5632794628,Sarcelles - Saint-Brice,stop,,48.997154,2.3688859,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d2fb0b4ddb1803c2c1363677bafa72acaafe3077,FR0000002152,Sarcelles-St-Brice,206.6
node/9315748060,Vendenheim,station,VHM,48.6657397,7.7181672,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1d9f539481545b53db35f42287b1951ecac380f7,FR0000006768,Faisceau Vendenheim V3 à V11,207.7
node/4179293082,Rambouillet,stop,,48.6446679,1.8333441,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7942caf7f90febbd0629fc06a0e5a9f760bd2526,FR0000003024,Rambouillet,207.8
node/2676780114,Chaville Rive Droite,stop,2,48.8137098,2.1891363,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d3899626dc85d9638dcf76b350bef06d29815d27,FR0000003815,Chaville-Rive-Droite,208.0
node/8988182791,Gare Montparnasse,stop,23,48.8410101,2.3190027,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/39581646ac36be0925614043d8875d0171a4fac4,FR0000016313,Paris-Montparnasse,208.1
node/4319729962,Rambouillet,stop,,48.6445464,1.8335179,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7942caf7f90febbd0629fc06a0e5a9f760bd2526,FR0000003024,Rambouillet,208.6
node/29163412,Jean Macé,stop,,45.7460317,4.842387,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0b9ae0d3c1e125e2de092d34d0388770a5f1e715,FR0000003071,Lyon-Jean-Macé,208.8
node/1279432104,Paris Gare du Nord,stop,,48.8807115,2.3545549,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1060890b35a816a1d79a70a7fb3a3ae703ab306c,FR0000002805,Paris-Nord-Surface,209.0
node/942696090,Gare Montparnasse,stop,24,48.8410292,2.3189651,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/39581646ac36be0925614043d8875d0171a4fac4,FR0000016313,Paris-Montparnasse,209.3
node/5258544306,La Barre - Ormesson,stop,,48.9656098,2.3176694,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c82633b142b7497c5f5857e1499d8f2dd29ce4dd,FR0000002201,La Barre-Ormesson,209.7
node/2319490592,Moûtiers - Salins - Brides-les-Bains,stop,,45.48724,6.5290243,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e2f9c500153505d283152cea5004a1dc155786e2,FR0000003593,Moûtiers-Salins-Brides-les-Bains,209.8
node/5848340218,Rambouillet,stop,,48.6444973,1.8335989,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7942caf7f90febbd0629fc06a0e5a9f760bd2526,FR0000003024,Rambouillet,210.0
node/11385378069,Massy-TGV,stop,,48.7259753,2.2614892,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7ea7cddaf8d6535311498b8788c4dabafd6a498a,FR0000006913,Faisceau Impair 51 à 65,210.5
node/3549746249,Villaines,halt,Transilien H,49.0798796,2.3515146,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5f70e820e7266c19c39273232f346bc34edba7dd,FR0000004930,Villaines,211.5
node/1958267861,Bellegarde,stop,E,46.1100487,5.8240179,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b606dd60553f1f734a822b8b8330e671cb6d3107,FR0000004554,Bellegarde,211.9
node/2056389331,Bellegarde,stop,,46.1100206,5.8240494,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b606dd60553f1f734a822b8b8330e671cb6d3107,FR0000004554,Bellegarde,212.0
node/2625006892,Paris Gare du Nord,stop,,48.8807209,2.3545081,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1060890b35a816a1d79a70a7fb3a3ae703ab306c,FR0000002805,Paris-Nord-Surface,212.3
node/1227173606,Verneuil-sur-Serre,stop,,49.6486825,3.6677193,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/127916347ec5f52f7b05b5da98992f87ab72e215,FR0000002452,Verneuil-sur-Serre,214.1
node/11385321968,Massy-TGV,stop,,48.7259376,2.2614888,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7ea7cddaf8d6535311498b8788c4dabafd6a498a,FR0000006913,Faisceau Impair 51 à 65,214.4
node/6372521785,Chevaleret,stop,,48.8350849,2.3685496,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a7a0dd0ad914d7ee3078f2619acf1b3287c2ac0c,FR0000006583,UPM Ivry- Masséna (Technicentre PRG),216.3
node/4838859687,Isles - Armentières - Congis,stop,,48.9992016,3.0095019,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/32591e8734019f738ffddb175e5f38c8c54eb96f,FR0000002301,Isles-Armentières,217.9
node/8582230548,Quai de la Gare,stop,,48.8371778,2.3731656,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a7a0dd0ad914d7ee3078f2619acf1b3287c2ac0c,FR0000006583,UPM Ivry- Masséna (Technicentre PRG),218.6
node/3190883103,Châtelet - Les Halles,station,,48.8616374,2.3470441,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/482d426fd6f71ed7a35f85b21ca5588c66a412eb,FR0000022990,981000-1/981000-2,218.7
node/5241721212,Écouen - Ézanville,stop,,49.023899,2.3609377,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/92ef255f3f388f7ad2a74fbec14feeb237e7d057,FR0000004618,Écouen-Ézanville,218.8
node/4549964958,Massy-TGV,stop,,48.7259103,2.2615563,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7ea7cddaf8d6535311498b8788c4dabafd6a498a,FR0000006913,Faisceau Impair 51 à 65,219.1
node/264491320,Porte de Charenton,station,,48.8322315,2.3990408,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d82dc30c874985801dcb9739744a0ade0697f54f,FR0000006241,Technicentre Sud- Est Européen,219.7
