start,end
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ec12b79fe3f3e33041c0520b2a68af7b513ae0f8,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/be44c6224760eb88b35e712e043536cdbb7b8ce2
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/58564f468a1350c62c4ad537c3e3d8fbd99a9668,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0b333da3d90be97131bceebf35c44a001bca198b
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7531187020e2f0103f22d4ac0c12526ad3ed0a4e,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/88ee7c30f8ff0ab6fc4ae4345834abb2d3d47d7f
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2f7b08042ab662d29776c865be946d9c3e824ecf,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/19c6745e14d8cf4ead4ba93a1383cf18fa127e09
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ad0ae5a9489ba338a6b8c50e88fee9fe67413622,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9a07a604ede35f43c4334980382d1bb8f06c5dfb
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4785d845a126f983353acc1a4354d1e878013d4f,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0a277a093545b7e127901eca37e58c24361e0dee
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a557909abe14a048b904745dd9e2932653d646d3,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bc5f0da4f93fd63a7b8a277cb1e283e551170705
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4e0bee5f4af85c543468ee0707603f8d7eee2a50,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/acf52006b7a644068cd8fde1c54a173bfbcf1d5a
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e98a603adf169518726d69517074b7f6ef109411,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/72ed984035ae97e5b326d986017c3fe4dea81595
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9ba249708e2f21ad7404a7e69b14550151fd4563,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9d235c59140eac0582c3c653785e18e7c5e8ddef
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c56707ef13733765b33c2bea6f0573e753650351,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/83cc813b601f61149f3769526ce6383b82b9407c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d50f125b1ee8c4b5daa638d801ea7cfc6bef59b0,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/37b210e4dafc97a669ef72ff2009d96625f05032
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f361d294e655744437c67bfff49a170fa8d47229,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/00cd2970964eed14eb2bb42efd0bcf767774ebce
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9d235c59140eac0582c3c653785e18e7c5e8ddef,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/da2fd5528296001fc2a887c02c3034d64f40a212
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0a277a093545b7e127901eca37e58c24361e0dee,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/678d1e2ed6511b154f5cdbc3db3e1474d6b082e4
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8bdd2c0a7365d3f9ef5a3cb1fcec12ca485205f3,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9ba249708e2f21ad7404a7e69b14550151fd4563
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/87b638f548f7d6966260d43840b5efa20a98f335,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ee6d5f6112c5f558ebd405ed27cca0533190e9e9
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/001fd95fd1f85325a94084635867a271e8ca065b,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ff243407e640da6f0d1c16c91cd4c0a0fd0e7398
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/141fb59efc961e3162851e4a15cf8d9a02a56434,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4785d845a126f983353acc1a4354d1e878013d4f
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a557909abe14a048b904745dd9e2932653d646d3,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1545c36af8d5fa5d48cbf78ab86db6f8ef80f502
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/54b123215fba519710cfe4b1df16a47dfcb621ad,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a557909abe14a048b904745dd9e2932653d646d3
