id,name,lat,lon,osm_elements,min_distance_m,within_threshold,osm_type_compatible,error
DE000AA,Hamburg-Altona,53.55257,9.934626,125,3.5,True,True,
DE000AA,Hamburg-Altona,53.55257,9.934626,125,3.5,True,True,
DE000AB,Hamburg-Blankenese,53.564148,9.813748,31,3.1,True,True,
DE000AB,Hamburg-Blankenese,53.564148,9.813748,31,3.1,True,True,
DE000AE,Hamburg-Eidelstedt,53.611801,9.875298,25,45.7,True,False,
DE000AE,Hamburg-Eidelstedt,53.611801,9.875298,25,45.7,True,False,
DE000AF,Flensburg,54.773973,9.436017,43,9.6,True,True,
DE000AF,Flensburg,54.773973,9.436017,43,9.6,True,True,
DE000AH,Hamburg Hbf,53.55364,10.006622,239,12.6,True,True,
DE000AH,Hamburg Hbf,53.55364,10.006622,239,12.6,True,True,
DE000AJ,Jübek,54.563248,9.396777,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
DE000AJ,Jübek,54.563248,9.396777,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
DE000AK,Kiel Hbf,54.314884,10.131362,58,5.0,True,True,
DE000AK,Kiel Hbf,54.314884,10.131362,58,5.0,True,True,
DE000AL,Lübeck Hbf,53.867466,10.669915,89,4.0,True,True,
DE000AL,Lübeck Hbf,53.867466,10.669915,89,4.0,True,True,
DE000AM,Maschen Rbf,53.42146,10.033421,50,3.6,True,False,
DE000AN,Neumünster,54.076356,9.979856,74,6.7,True,True,
DE000AN,Neumünster,54.076356,9.979856,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
DE000AO,Bad Oldesloe,53.805329,10.382475,64,17.0,True,True,
DE000AO,Bad Oldesloe,53.805329,10.382475,64,17.0,True,True,
DE000AP,Pinneberg,53.655291,9.797362,38,5.8,True,True,
DE000AP,Pinneberg,53.655291,9.797362,38,5.8,True,True,
DE000AR,Rendsburg,54.313089,9.656317,16,5.1,True,False,
DE000AR,Rendsburg,54.313089,9.656317,16,5.1,True,False,
DE000AS,Sottrum,53.101269,9.250039,27,9.8,True,True,
DE000AS,Sottrum,53.101269,9.250039,27,9.8,True,True,
DE000AY,Husby,54.764421,9.57512,13,7.1,True,True,
DE000AY,Husby,54.764421,9.57512,13,7.1,True,True,
DE000BC,Calau (Niederlausitz),51.73817,13.979592,35,4.9,True,True,
DE000BC,Calau (Niederlausitz),51.73817,13.979592,35,4.9,True,True,
DE000BE,Erkner                            S-Bahn,52.42865,13.751661,48,15.8,True,True,
DE000BE,Erkner                            S-Bahn,52.42865,13.751661,48,15.8,True,True,
DE000BL,Berlin Hauptbahnhof - Lehrter Bahnhof,52.534488,13.36066,46,18.3,True,False,
DE000BL,Berlin Hauptbahnhof - Lehrter Bahnhof,52.534488,13.36066,46,18.3,True,False,
DE000BP,Plessa,51.470891,13.616824,15,5.0,True,True,
DE000BP,Plessa,51.470891,13.616824,15,5.0,True,True,
DE000BT,Teichland,51.818634,14.423787,15,2.4,True,True,
DE000BT,Teichland,51.818634,14.423787,15,2.4,True,True,
DE000BV,Vetschau,51.789124,14.083006,22,21.4,True,True,
DE000BV,Vetschau,51.789124,14.083006,22,21.4,True,True,
DE000DA,Dresden-Altstadt,51.043446,13.716012,145,5.3,True,False,
DE000DA,Dresden-Altstadt,51.043446,13.716012,145,5.3,True,False,
DE000DC,Chemnitz Hbf,50.839914,12.929977,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
DE000DC,Chemnitz Hbf,50.839914,12.929977,164,0.3,True,True,
DE000DD,Dresden-Dobritz,51.011774,13.808618,42,5.4,True,True,
DE000DD,Dresden-Dobritz,51.011774,13.808618,42,5.4,True,True,
DE000DF,Dresden-Friedrichstadt,51.055044,13.712244,109,2.3,True,False,
DE000DF,Dresden-Friedrichstadt,51.055044,13.712244,109,2.3,True,False,
DE000DG,Görlitz,51.146788,14.978989,107,34.5,True,True,
DE000DG,Görlitz,51.146788,14.978989,107,34.5,True,True,
DE000DH,Dresden Hbf,51.040908,13.731935,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
DE000DH,Dresden Hbf,51.040908,13.731935,149,3.7,True,True,
DE000DJ,Johanngeorgenstadt,50.437446,12.728834,35,6.0,True,True,
DE000DJ,Johanngeorgenstadt,50.437446,12.728834,35,6.0,True,True,
DE000DL,Löbau (Sachs),51.099421,14.671914,75,4.0,True,True,
DE000DL,Löbau (Sachs),51.099421,14.671914,75,4.0,True,True,
DE000DM,Dresden Mitte,51.056105,13.724491,192,3.1,True,True,
DE000DM,Dresden Mitte,51.056105,13.724491,192,3.1,True,True,
DE000DN,Dresden-Neustadt,51.06595,13.740588,197,2.2,True,True,
DE000DN,Dresden-Neustadt,51.06595,13.740588,197,2.2,True,True,
DE000DP,Plauen (Vogtl) ob Bf,50.505819,12.130422,97,16.9,True,True,
DE000DP,Plauen (Vogtl) ob Bf,50.505819,12.130422,97,16.9,True,True,
DE000DR,Riesa,51.309818,13.287268,111,2.2,True,True,
DE000DR,Riesa,51.309818,13.287268,111,2.2,True,True,
DE000DW,Werdau Bogendreieck,50.710917,12.37962,15,25.5,True,False,
DE000DZ,Zittau,50.90452,14.805785,133,7.5,True,True,
DE000DZ,Zittau,50.90452,14.805785,133,7.5,True,True,
DE000EA,Lennestadt-Altenhundem,51.104819,8.071752,51,13.7,True,True,
DE000EA,Lennestadt-Altenhundem,51.104819,8.071752,51,13.7,True,True,
DE000EE,Essen Hbf,51.451335,7.013882,116,1.9,True,True,
DE000EE,Essen Hbf,51.451335,7.013882,116,1.9,True,True,
DE000EG,Gelsenkirchen Hbf,51.504719,7.102384,102,7.0,True,True,
DE000EG,Gelsenkirchen Hbf,51.504719,7.102384,102,7.0,True,True,
DE000FB,Bebra,50.969184,9.797681,131,9.8,True,True,
DE000FB,Bebra,50.969184,9.797681,131,9.8,True,True,
DE000FD,Darmstadt Hbf,49.872457,8.629388,91,2.4,True,True,
DE000FD,Darmstadt Hbf,49.872457,8.629388,91,2.4,True,True,
DE000FF,Frankfurt (Main) Hbf,50.107204,8.662646,168,4.1,True,True,
DE000FF,Frankfurt (Main) Hbf,50.107204,8.662646,168,4.1,True,True,
DE000FG,Gießen,50.57909,8.663128,126,15.3,True,True,
DE000FG,Gießen,50.57909,8.663128,126,15.3,True,True,
DE000FH,Hanau Hbf,50.121055,8.929417,155,7.1,True,True,
DE000FH,Hanau Hbf,50.121055,8.929417,155,7.1,True,True,
DE000FK,Kassel Hbf,51.318554,9.489933,111,31.7,True,True,
DE000FK,Kassel Hbf,51.318554,9.489933,111,31.7,True,True,
DE000FL,Limburg (Lahn),50.384299,8.062562,76,11.0,True,True,
DE000FL,Limburg (Lahn),50.384299,8.062562,76,11.0,True,True,
DE000FO,Offenbach (Main) Hbf,50.09922,8.760785,58,1.0,True,True,
DE000FO,Offenbach (Main) Hbf,50.09922,8.760785,58,1.0,True,True,
DE000FW,Wiesbaden Hbf,50.055571,8.249787,1,200.1,False,False,
DE000FW,Wiesbaden Hbf,50.055571,8.249787,1,200.1,False,False,
DE000HA,Altenbeken,51.766705,8.942775,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
DE000HA,Altenbeken,51.766705,8.942775,102,11.9,True,True,
DE000HB,Bremen Hbf,53.083199,8.813585,245,3.5,True,True,
DE000HB,Bremen Hbf,53.083199,8.813585,245,3.5,True,True,
DE000HC,Celle,52.617484,10.061286,125,3.9,True,True,
DE000HC,Celle,52.617484,10.061286,125,3.9,True,True,
DE000HD,Delmenhorst,53.052756,8.629463,24,5.9,True,True,
DE000HD,Delmenhorst,53.052756,8.629463,24,5.9,True,True,
DE000HE,Emden Hbf,53.369063,7.195096,221,5.7,True,True,
DE000HE,Emden,53.369063,7.195096,221,5.7,True,True,
DE000HF,Fallersleben,52.423167,10.710331,24,2.8,True,False,
DE000HF,Fallersleben,52.423167,10.710331,24,2.8,True,False,
DE000HG,Göttingen,51.55442,9.92385,93,12.4,True,False,
DE000HG,Göttingen,51.55442,9.92385,93,12.4,True,False,
DE000HH,Hannover Hbf,52.377452,9.742207,218,3.4,True,True,
DE000HH,Hannover Hbf,52.377452,9.742207,218,3.4,True,True,
