osm_id,name_osm,type_osm,ref_osm,lat_osm,lon_osm,nearest_op_uri,nearest_op_id,nearest_op_name,nearest_distance_m
node/2053632752,Falkenberg (Elster),stop,6,51.5832603,13.2469968,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/04b418a872e753498019860ac3ec93eeaa015fa1,DE98588,"Falkenberg unt Bf W 17, W 415",200.1
node/1435253988,Glauchau-Schönbörnchen,stop,1,50.8221378,12.5022498,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4faea1c488ca494fe412ec8cd507e306bfd48f2f,DE0DGLS,Glauchau-Schönbörnchen,200.1
node/2577245240,Kaiserslautern Hauptbahnhof,stop,,49.4354236,7.766186,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/845905fc837239f731d0ee31ff7013063910757c,DE00SKL,Kaiserslautern Hbf,200.1
node/6708283865,Flughafen Terminal A/B,halt,,51.2794199,6.7663263,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9a7dc8d94a464e38ef0e51eb5e0dadd3ec5d92c1,DE00KDF,Düsseldorf Flughafen Terminal,200.3
node/2577245238,Kaiserslautern Hauptbahnhof,stop,,49.4352378,7.7662774,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/845905fc837239f731d0ee31ff7013063910757c,DE00SKL,Kaiserslautern Hbf,200.5
node/670559487,Dortmund Hbf,stop,,51.5172074,7.4569569,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a8f306ac12e0568f2fad7ae0b61b5edd6c59053f,DE00EDO,Dortmund Hbf,200.8
node/904158186,Fürth Jakobinenstraße,station,1,49.4682341,11.0004841,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d21d473e0f7efdf9105349326f8b82a435234b9e,DENF  G,Fürth (Bay) Gbf,200.8
node/402589279,Karlsruhe Hauptbahnhof,stop,4,48.9937234,8.4018652,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c7648e0a887647291342054d66e7206c8acbea3c,DE000RK,Karlsruhe Hbf,201.5
node/2495169058,Magdeburg Hauptbahnhof,stop,9,52.1288372,11.6256498,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5bab525d9bc94b8dcdf6c874e4053b2e7d45f5e4,DE000LM,Magdeburg Hbf,201.6
node/443853476,Güsen,stop,2,52.335449,11.979075,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/36fb186d948b3a6c71fd6b41327d46ddb0f0a5bc,DE0LGSN,Güsen (Kr Genthin),201.7
node/3528978123,Rott (Inn),stop,,47.9881319,12.1362088,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fd4e01691ae1d702494d337417ebfa7b5ff70e1b,DE00MRT,Rott (Inn),201.9
node/2577245245,Kaiserslautern Hauptbahnhof,stop,,49.4355354,7.7661156,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/845905fc837239f731d0ee31ff7013063910757c,DE00SKL,Kaiserslautern Hbf,202.0
node/3528978124,Rott (Inn),stop,,47.9881427,12.1361316,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fd4e01691ae1d702494d337417ebfa7b5ff70e1b,DE00MRT,Rott (Inn),202.1
node/4782165832,Remscheid-Lüttringhausen,stop,1,51.2152045,7.2426809,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d08c55cda318cc221d5ab113fa6de69dca15f7c5,DE0KRLU,Remscheid-Lüttringhausen,202.2
node/3398516896,Münster-Amelsbüren,station,EAML,51.8839894,7.5989563,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ed88d2ed0af0b35c2a2b8265b3bbb5d12732e714,DE0EAML,Münster-Amelsbüren,202.3
node/2441182954,Hauptbahnhof,stop,1,48.1393801,11.5603671,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5da06dbaac3cac86756147c3e5110a863c17a8cc,DE000MH,München Hbf,202.6
node/4050294302,Aachen-Rothe Erde,station,KARE,50.770064,6.1161849,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4c8c8d39ea91f5d64c5e3469a4ebd3b7ba0c4c6d,DE96180,"Aachen-Rothe Erde, Gl 14, W 3",202.8
node/2577245249,Kaiserslautern Hauptbahnhof,stop,,49.4355802,7.7660908,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/845905fc837239f731d0ee31ff7013063910757c,DE00SKL,Kaiserslautern Hbf,202.8
node/12361035773,Fürth Jakobinenstraße,stop,,49.4682823,11.0005081,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d21d473e0f7efdf9105349326f8b82a435234b9e,DENF  G,Fürth (Bay) Gbf,203.1
node/2528445111,Koblenz Hbf,stop,109,50.3490583,7.587599,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b89432880b1298ba3c9b355b0fe47bccb2be29cc,DE00KKO,Koblenz Hbf,203.1
node/73736211,Harras,stop,1,48.1168324,11.5379444,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9faeb53cbfe081b3993edb3964173b4c13ec97d3,DE0MHAR,München Harras,203.3
node/5096600672,Mainz-Marienborn,stop,,49.9604592,8.2228567,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/56b2806d1e70aec5bc88c779f76ad5f05bcd425b,DE0FMMB,Mainz-Marienborn,203.9
node/258938008,Flughafen Terminal A/B,stop,1,51.2794576,6.7662715,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9a7dc8d94a464e38ef0e51eb5e0dadd3ec5d92c1,DE00KDF,Düsseldorf Flughafen Terminal,204.1
node/2665022802,Hauptbahnhof,stop,3,48.1400084,11.5612674,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5da06dbaac3cac86756147c3e5110a863c17a8cc,DE000MH,München Hbf,204.2
node/452497915,Mainz-Marienborn,station,FMMB,49.9604596,8.2228921,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/56b2806d1e70aec5bc88c779f76ad5f05bcd425b,DE0FMMB,Mainz-Marienborn,204.2
node/2500604016,Harras,station,,48.1168742,11.5380616,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9faeb53cbfe081b3993edb3964173b4c13ec97d3,DE0MHAR,München Harras,204.3
node/2577245253,Kaiserslautern Hauptbahnhof,stop,,49.4356559,7.766049,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/845905fc837239f731d0ee31ff7013063910757c,DE00SKL,Kaiserslautern Hbf,204.5
