osm_id,name,type,ref,lat,lon
node/97819323,Μοναστηράκι,stop,Πειραιά,37.9758884,23.7249306
node/139717883,Κορινός,stop,,40.3162915,22.5777293
node/144715968,Αερινό,station,,39.3319261,22.7604695
node/152941813,Νεραντζιώτισσα,stop,Πειραιά,38.0447488,23.7925123
node/155705963,Αυλίδα,stop,Αθήνα,38.4044558,23.6033397
node/155706004,Καλοχώρι-Παντείχι,stop,,38.3893073,23.5931559
node/155708452,Αυλίδα,stop,Χαλκίδα,38.4044464,23.6033835
node/155891790,Σφενδάλη,stop,,38.2354047,23.7844183
node/155927732,Οινόφυτα,stop,,38.3069654,23.6338955
node/155927790,Οινόη,stop,,38.321712,23.6098045
node/155927792,Οινόη,stop,,38.3230172,23.609077
node/205461659,Άγιος Παντελεήμων,stop,1,40.7268101,21.7458073
node/207640549,,stop,,40.7465553,22.8319767
node/250702349,Μέγαρο Μουσικής,station,,37.9790317,23.7530087
node/250702355,Ευαγγελισμός,station,,37.9761258,23.7471036
node/250759865,Αγίας Σοφίας,stop,,40.6347428,22.9465518
node/250760279,Νέος Σιδηροδρομικός Σταθμός,stop,,40.6440069,22.9287922
node/250760280,Δημοκρατίας,stop,,40.6410295,22.9345002
node/250760283,Βενιζέλου,stop,,40.6370299,22.9421677
node/250920014,Πανεπιστήμιο,station,,37.9803554,23.7330199
node/250929833,Περισσός,stop,Πειραιά,38.0325103,23.7444403
node/251082983,Βικτώρια,station,,37.9930729,23.7302665
node/251083098,Αττική,stop,,37.9995293,23.7228229
node/251083102,Σταθμός Λαρίσης,station,,37.9922822,23.7207199
node/251083112,Μεταξουργείο,station,,37.9858525,23.7213796
node/287460889,Βελεστίνο,stop,,39.3912406,22.7589981
node/295529622,Βεύη,stop,,40.7731383,21.5706615
node/296331195,Πύργος,stop,1,37.6761893,21.4354119
node/296343143,Ολυμπία,station,,37.6456407,21.6266157
node/300806334,Βεύη,station,,40.7731688,21.5706693
node/301068611,Διδυμότειχο,stop,,41.3520883,26.5113144
node/308841776,Ξάνθη,station,,41.1238904,24.8929027
node/360017697,Μεταμόρφωση,stop,1,38.0600674,23.7562064
node/360188772,ΚΑΤ,stop,,38.0655462,23.8039695
node/361456404,Αεροδρόμιο,station,,37.9369769,23.9448074
node/364329621,Άγιος Στέφανος,stop,,38.1403696,23.8591873
node/368164861,Αυλώνας,stop,,38.2505382,23.6956698
node/434845521,Άνω Γατζέα,station,,39.3220972,23.0940377
node/457129115,Πάτρα,stop,,38.2499107,21.7350246
node/460405367,Δουκίσσης Πλακεντίας,station,,38.0239919,23.8325494
node/492938281,Εθνική Άμυνα,station,,37.999184,23.7844745
node/518535675,Άγιος Δημήτριος,station,,37.9404334,23.7407042
node/540411705,Άνω Λεχώνια,stop,,39.3254708,23.0538411
node/626786830,Σεπόλια,station,,38.0026101,23.7140398
node/638386566,Ελαιώνας,station,,37.9877639,23.6933664
node/638707500,Άγιος Αντώνιος,station,,38.006104,23.6997301
node/833386358,Ασπρόπυργος,station,,38.0810562,23.6042741
node/850935197,Κεραμεικός,station,,37.9787426,23.7109568
node/851631431,Αιγάλεω,station,,37.9914389,23.6818223
node/936622796,Άνω Λιόσια,station,,38.0707654,23.7098471
node/936622962,Άνω Λιόσια,stop,,38.0706893,23.7099901
node/936668220,Μεταμόρφωση,stop,2,38.0603471,23.7549222
node/936804010,Κηφισίας,stop,1,38.041921,23.8040729
node/936804085,Ηράκλειο,stop,1,38.0568003,23.7721113
node/936804329,Κηφισίας,stop,2,38.042363,23.8030044
node/936804332,Ηράκλειο,station,,38.0572045,23.7713656
node/936804379,Ηράκλειο,stop,2,38.0575444,23.7706495
node/936804443,Νερατζιώτισσα,stop,1,38.0447682,23.7941064
node/936882777,Δουκίσσης Πλακεντίας,stop,,38.0248014,23.8339306
node/937378118,Παλλήνη,stop,1,38.0054925,23.8696405
node/937378162,Παλλήνη,stop,4 Προς Δημοτικό Θέατρο,38.0046071,23.8700746
node/937378270,Παλλήνη,stop,2,38.00551,23.8697588
node/937892783,Παιανία-Κάντζα,stop,1,37.9839819,23.8698255
node/937892866,Παιανία-Κάντζα,stop,Αεροδρόμιο,37.9849428,23.8700731
node/937892944,Παιανία-Κάντζα,stop,Δημοτικό Θέατρο,37.9849186,23.8702007
node/939121389,Κορωπί,stop,2,37.9133547,23.895645
node/939521334,Νεραντζιώτισσα,stop,Κηφισιά,38.0455338,23.793425
node/957178130,Άνω Πατήσια,station,,38.0238389,23.7360222
node/957178135,Πευκάκια,station,,38.0371241,23.7501217
node/957178165,Νέα Ιωνία,station,,38.0414993,23.7549034
node/957178291,Νέα Ιωνία,stop,Πειραιά,38.0413999,23.7543061
node/957178322,Περισσός,station,,38.0328448,23.7447123
node/957182417,Άγιος Ελευθέριος,station,,38.0200358,23.7317451
node/957182474,Κάτω Πατήσια,station,,38.0119232,23.7286475
node/960915736,Άγιος Νικόλαος,stop,Πειραιά,38.0069954,23.7276817
node/960915823,Άγιος Νικόλαος,stop,Κηφισιά,38.0069859,23.7277292
node/966323235,Κηφισιά,stop,,38.0733906,23.8081192
node/966702938,Δεκέλεια,stop,Θεσσαλονίκη-Χαλκίδα,38.099754,23.7801125
node/969213440,Αχαρνές,stop,,38.0802632,23.7428874
node/985941841,,stop,,41.3703787,23.361379
node/987485685,Ρουφ,station,,37.973633,23.7039652
node/988420951,Ρέντης,stop,2,37.9623809,23.6682798
node/1005304990,Θησείο,stop,,37.9766852,23.7205356
node/1005305034,Θησείο,stop,,37.9769903,23.7196752
node/1024902125,Ταύρος-Ελευθέριος Βενιζέλος,stop,,37.9625102,23.7037122
node/1030023833,Σιδηροδρομικό Κέντρο Αχαρνών,stop,,38.067505,23.7376759
node/1035624076,Ξινό Νερό,stop,,40.6914094,21.6338908
node/1236148123,Αγία Παρασκευή,station,,38.0171296,23.8124844
node/1236161917,Χολαργός,station,,38.0049099,23.7947085
node/1236192762,Χαλάνδρι,station,,38.0217116,23.8207549
