start,end
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cba9c3a61ebd1c8d23a83851e92bb5ccb44a8476,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8c8b5bacfce46d410c1497d0f47d8936fb859131
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/afd17ed43e620e633e6839fe25100f5dbb0e0465,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/09cd626d2e62843eb10322f59624b96edbd3cf73
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1870de217721daabbbfbc4777e6e78b220a095f0,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/aeb9495c156720f35a4eaaae1fe498621e8c7db7
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ca00aa688f3bfbea75d52f7ef1bfbe27d3e138b3,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/659c7224e66762b9290607bcc319f8f41bce826a
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9acce5c253b1a43eef6a2ec4de878accf28062ba,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1870ee8adb1da7e1c52818dd465705e6fa706d98
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0d15c17439a2917b17abd57ed91c6436def70ccc,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8942dd5449577c8b4d0c048157e0a88c6c5aaead
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9052a0270dd7515ac89736e5ba5e45b68523d530,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/840a98fffe8903c775454cf20bb3204d7651da06
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0418c7104ac489a040d832dc35025bb9d6349687,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7239b6eb2f2587165f0dd791a6d2d3173c44b644
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ba73abd8fb5642ff305440c843ee77ef834aa430,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0b2d1de54852765c7cb50f0721b3175a4c648ee8
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f7f025b2e14359f3fa6f032ff9e36e7c919de96b,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/57937704c608e48ba8cd04fd1c2d634da65eaee9
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/20d5dbbdf04bec1f78453a5cb9e331d5eea0ae3b,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0e91c2bb7ecec1557883bc13f3d416a46ecc08e6
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/460faf48f5444a99f417d5058b3c6ac75ce9269b,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/db9a4f8ea0dc1221b00c1a620fe0963099877d9e
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e7ae1ba06cac87895a6431540324e7429f96c7d5,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/be8b5a63eebebc0a5fbcb13b2e640101b9d14641
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/04310dd7d9387829b352f53b4bfbaca36e0db3fc,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1ae08a5ece9b4c7e4be064c41f783b625f2beb3e
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ca19e81e944e94eb9ffc17310c60bba869a9e32a,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/80544218ca3f743e84ba44dd26f1ab0004827404
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/874c127862122c2b8bd8608edcecc9719e1c7a7d,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4a06492236c65693bced1263c6d37eef9d02d0e9
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/695d681ed03e29da4f78847810b90e2877ee3dcd,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8c69172865ce470c69b5483ea02345bcded079e4
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/14fbca1181648c984825975781a5eb13ec16426b,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9c17e290de0f5c7aa0dfa742b9de769464b50de2
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d69a94846968f85e822c26402c33e0086faa5702,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b930612d8e107ccc00021bbdffada0008033cf0d
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/858bd1affcac404862d5f39feb72a9660f67fbec,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/48dca992db9b35880eb567060258c366fa411e52
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cbaf28b8abd52ee989dff3f85514a8c9947a4a05,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cc7e4e7535881f870bee4098b4c129ba06960ec9
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0af8c299dedaaa9ed042ef97f91fb057ed21dbcd,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/006434d2c5319a45325e2fd5e5cedd7f6140b08d
