id,name,lat,lon,osm_elements,min_distance_m,within_threshold,osm_type_compatible,error
EU00103,Sopron oh.,47.7136868,16.54136,3,0.3,True,True,
EU00104,Ágfalva oh.,47.6989655,16.4940757,13,0.1,True,True,
EU00105,Nickelsdorf-Hegyeshalom,47.9384856,17.0954082,21,0.0,True,True,
EU00106,Pamhagen oh.,47.6882187,16.8839494,7,1.2,True,True,
EU00107,Harka oh.,47.6267713,16.6248597,7,0.5,True,True,
EU00108,Szentgotthárd oh.,46.9504875,16.2461343,4,0.1,True,True,
EU00164,Sátoraljaújhely-Slovenské Nové Mesto št. hr.,48.38981,21.66948,6,82.5,True,True,
EU00165,Hidasnémeti-Čaňa št. hr.,48.52877,21.26256,4,90.3,True,True,
EU00166,Bánréve-Lenartovce št. hr.,48.3018,20.33859,8,42.7,True,True,
EU00167,Somoskőújfalu-Fiľakovo št. hr.,48.16836,19.82116,5,89.2,True,True,
EU00168,Nógrádszakál-Malé Straciny št. hr.,48.16365,19.51302,5,81.0,True,True,
EU00169,Ipolytarnóc-Lučenec št. hr.,48.24626,19.63834,5,87.3,True,True,
EU00170,Szob-Štúrovo št. hr.,47.82362,18.85269,23,11.2,True,True,
EU00171,Komárom-Komárno št. hr.,47.75657,18.0879,3,76.4,True,True,
EU00172,Rajka oh.,48.01373,17.17945,5,0.5,True,True,
EU00185,Őriszentpéter-Hodoš,46.81974,16.34172,8,65.9,True,True,
EU00192,Eperjeske-Соловка,48.37405,22.25738,5,19.0,True,True,
EU00193,Záhony-Чоп,48.41547,22.18605,5,92.6,True,True,
EU00194,Biharkeresztes-Oradea,47.124529,21.792944,3,77.8,True,True,
EU00195,Kötegyán-Salonta,46.760782,21.487366,5,148.9,False,True,
EU00196,Lőkösháza-Curtici,46.409703,21.252697,8,2.0,True,True,
EU00197,Nyírábrány-Valea lui Mihai,47.525013,22.031618,6,69.0,True,True,
EU00198,Ágerdőmajor-Berveni,47.769806,22.435682,3,39.8,True,True,
EU00199,Kelebia-Суботица / Subotica,46.16952,19.63273,8,94.8,True,True,
EU00200,Röszke-Хоргош / Horgoš,46.23042,20.00099,0,,False,,
EU00201,Botovo-Gyékényes,46.24703,16.94493,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
EU00202,Beli Manastir-Magyarboly,45.79834,18.55795,4,89.1,True,True,
EU00203,Kotoriba-Murakeresztur,46.35918,16.85202,5,36.6,True,True,
HU5500455,Győr pvh. 8+34 szelvény,47.679528,17.627888,65,5.8,True,True,
HU5500463,Győr pvh. VI+15 szelvény,47.679085,17.627265,34,10.0,True,True,
HU5500489,Csorna pvh. (357+67),47.604333,17.257311,20,34.6,True,True,
HU5500539,Záhony határ vágányfonódás-elágazás,48.412153,22.187988,11,8.5,True,False,
HU5500547,Eperjeske vágányfonódás-elágazás,48.353273,22.146607,17,13.0,True,False,
HU5500554,Eperjeske határ vágányfonódás-elágazás,48.362199,22.208997,26,14.0,True,False,
HU5500562,Eperjeske-Rendező vágányfonódás-elágazás,48.354328,22.16051,21,14.2,True,False,
HU5501016,Budapest-Déli,47.499392,19.025541,98,17.4,True,True,
HU5501024,Budapest-Kelenföld,47.465242,19.019214,101,7.4,True,True,
HU5501032,Budaörs,47.447736,18.964968,45,3.0,True,True,
HU5501057,Biatorbágy,47.479868,18.834463,17,3.9,True,True,
HU5501065,Herceghalom,47.493993,18.743265,21,4.3,True,True,
HU5501081,Bicske,47.48431,18.618453,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
HU5501099,Szár mh.,47.485256,18.527292,14,12.0,True,True,
HU5501107,Szárliget,47.518135,18.496306,16,4.5,True,True,
HU5501115,Felsőgalla,47.551726,18.448528,13,25.6,True,False,
HU5501123,Alsógalla mh.,47.563245,18.424584,14,11.6,True,True,
HU5501131,Tatabánya,47.586636,18.392211,49,9.5,True,True,
HU5501149,Vértesszőlős mh.,47.618854,18.376331,16,29.7,True,True,
HU5501156,Tóvároskert mh.,47.646846,18.347864,15,36.1,True,True,
HU5501164,Tata,47.663686,18.327568,12,4.4,True,True,
HU5501172,Almásfüzitő,47.725472,18.26175,65,5.8,True,True,
HU5501180,Almásfüzitő felső,47.731247,18.217987,16,58.5,True,True,
HU5501198,Szőny mh.,47.735598,18.177109,11,11.7,True,True,
HU5501214,Komárom-Rendező,47.748603,18.125389,36,4.1,True,False,
HU5501222,Komárom,47.749733,18.113977,49,8.8,True,True,
HU5501230,Ács,47.716747,18.004685,22,5.6,True,True,
HU5501248,Nagyszentjános,47.705685,17.871894,17,3.6,True,True,
HU5501255,Győrszentiván,47.688811,17.745944,15,5.9,True,True,
HU5501263,Győr-Gyárváros mh.,47.684431,17.664926,35,4.4,True,True,
HU5501271,Győr-Rendező,47.685718,17.645142,50,3.0,True,False,
HU5501289,Győr,47.682267,17.63494,33,8.1,True,True,
HU5501296,Gönyű,47.730667,17.767985,10,11.4,True,False,
HU5501305,Abda mh.,47.690749,17.540904,9,18.7,True,True,
HU5501313,Öttevény,47.719915,17.489265,15,9.0,True,True,
HU5501321,Lébény-Mosonszentmiklós,47.755688,17.425291,16,3.2,True,True,
HU5501339,Kimle-Károlyháza,47.804479,17.341988,14,5.6,True,True,
HU5501347,Mosonmagyaróvár,47.850655,17.266308,35,6.7,True,True,
HU5501354,Levél mh.,47.889839,17.192161,5,8.6,True,True,
HU5501362,Hegyeshalom,47.913554,17.147639,69,12.4,True,True,
HU5501404,Óbuda,47.569233,19.031748,30,11.8,True,True,
HU5501408,Aranyvölgy mh.,47.5735,19.0182,8,3.0,True,True,
HU5501412,Üröm mh.,47.580699,19.002091,9,23.3,True,True,
HU5501420,Solymár,47.596187,18.949466,15,16.8,True,True,
HU5501428,Szélhegy mh.,47.601413,18.928236,15,8.3,True,True,
HU5501433,Vörösvárbánya mh.,47.610687,18.912504,9,5.1,True,True,
HU5501438,Pilisvörösvár,47.614358,18.902314,13,18.0,True,True,
HU5501440,Őrhegy A elágazás,47.623752,18.888744,9,25.0,True,False,
HU5501442,Őrhegy B elágazás,47.62095,18.871006,8,7.9,True,False,
HU5501446,Klotildliget mh.,47.637756,18.846415,4,11.1,True,True,
HU5501453,Piliscsaba,47.638232,18.829452,16,28.3,True,True,
HU5501457,Magdolnavölgy mh.,47.647827,18.818419,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
HU5501461,Pilisjászfalu mh.,47.656076,18.79654,12,4.9,True,True,
HU5501487,Leányvár,47.687875,18.771946,11,11.3,True,True,
HU5501495,Dorog,47.723536,18.732546,13,17.1,True,True,
HU5501503,Esztergom-Kertváros,47.742848,18.717816,18,18.4,True,True,
HU5501511,Esztergom,47.777913,18.743452,32,6.8,True,True,
HU5501537,Dunaalmás mh.,47.733,18.326383,3,6.1,True,True,
HU5501545,Neszmély,47.734307,18.345209,8,8.6,True,True,
HU5501552,Süttő,47.761174,18.454878,16,8.0,True,True,
HU5501560,Piszke mrh.,47.75309,18.477836,8,13.9,True,True,
HU5501578,Lábatlan,47.752043,18.514952,27,7.6,True,True,
HU5501586,Eternitgyár mh. ipvk.,47.755554,18.529894,12,8.6,True,True,
HU5501594,Nyergesújfalu felső mh.,47.762359,18.540661,3,14.1,True,True,
HU5501602,Nyergesújfalu,47.76109,18.561481,6,0.0,True,True,
HU5501628,Tokod,47.734905,18.674565,28,4.1,True,True,
HU5501685,Lovasberény rh.,47.303645,18.559234,14,33.5,True,False,
HU5501743,Környe,47.542942,18.333512,25,10.6,True,True,
HU5501750,Kecskéd alsó mh.,47.52035,18.316631,5,12.9,True,True,
HU5501768,Oroszlány,47.487043,18.309065,18,11.5,True,True,
HU5501784,Kecskéd mh.,47.52986,18.298038,4,13.6,True,True,
HU5501792,Dad mh.,47.522983,18.227834,2,16.1,True,False,
HU5501800,Szák-Szend mh.,47.516916,18.187264,3,10.6,True,False,
