osm_id,name,type,ref,lat,lon
node/25546152,Pécs,station,PS,46.0663656,18.2253315
node/25925507,Szatina-Kishajmás,halt,,46.2017664,18.0834535
node/25925540,Bodolyabér,halt,,46.200004,18.1290108
node/26746770,Batthyány tér,stop,,47.5071525,19.0394089
node/27175073,Sátoraljaújhely,stop,,48.3858892,21.6576038
node/29530083,Péterhida-Komlósd,halt,,46.006831,17.3576897
node/30082680,Rákoshegy,stop,,47.4692713,19.2423087
node/32642563,Ceglédbercel-Cserő,stop,,47.2102838,19.6872239
node/33122622,Balatonszentgyörgy,stop,,46.6924957,17.288887
node/33122966,Balatonberény,stop,,46.7137023,17.3168926
node/33123111,Máriaszőlőtelep,stop,,46.7027029,17.4111821
node/33123126,Balatonfenyves,stop,,46.7134339,17.4827951
node/33123162,Fonyód,station,FO,46.7500962,17.5578146
node/33123282,Balatonboglár,stop,,46.7760797,17.6471745
node/33123428,Balatonlelle,stop,,46.7874032,17.694259
node/33123450,Balatonlelle felső,stop,,46.7948759,17.7205812
node/33123460,Balatonszemes,stop,,46.8121836,17.7770742
node/33123473,Balatonföldvár,stop,,46.8534021,17.8799758
node/33123779,Zamárdi,halt,,46.8799049,17.9448381
node/33123786,Zamárdi felső,stop,1,46.8864703,17.9715039
node/33123799,Balatonszéplak felső,stop,,46.8973955,18.0159286
node/33123807,Siófok,stop,,46.9079242,18.0536084
node/33127897,Tab,station,,46.7340954,18.0414685
node/33470679,Barcs felső,halt,,45.9583398,17.4862097
node/50819911,Nagyszentjános,stop,,47.7053737,17.870652
node/50821993,Ács,stop,,47.7170093,18.0044296
node/50822607,Kópháza,halt,,47.6326347,16.6369876
node/50824861,Sopronkövesd,halt,,47.5474364,16.7486149
node/50825206,Lövő,station,,47.509619,16.777372
node/50825376,Újkér,halt,,47.4582115,16.7867796
node/56620192,Aquincum,stop,,47.5663001,19.0473576
node/59844005,Békásmegyer,stop,,47.5985529,19.0550449
node/59844306,"Budakalász, Lenfonó",stop,,47.6216559,19.0468961
node/59844541,Pomáz,stop,,47.6431469,19.0322301
node/59844757,Pannóniatelep,stop,,47.65244,19.0651899
node/59845043,Filatorigát,stop,,47.5517794,19.0463788
node/59845051,Kaszásdűlő,stop,,47.5564687,19.0450949
node/59845094,Csillaghegy,stop,,47.5859343,19.0448983
node/59845687,Tímár utca,stop,,47.5343927,19.045067
node/59846844,Szépvölgyi út,stop,,47.5270464,19.0400889
node/59865785,Szentisvántelep,stop,,47.6291275,19.0431703
node/59967395,Rómaifürdő,stop,,47.5761295,19.048643
node/60024618,Üröm,stop,,47.5805619,19.0023264
node/60146620,Felsőgöd,stop,,47.7058586,19.1435626
node/60267259,Szabadságliget,stop,,47.626093,18.8933553
node/60267365,Piliscsév,stop,,47.6739225,18.7911819
node/60269240,Dorog,stop,,47.7235927,18.7327676
node/60462905,Bicske,stop,,47.4841787,18.617494
node/60497044,Százhalombatta,stop,,47.3225016,18.8989955
node/60498455,Nagylók,station,SF,46.9792223,18.6356096
node/60688546,Dunakeszi-Gyártelep,stop,,47.642835,19.1346375
node/60964558,Háros,stop,,47.4117081,19.0336707
node/60964559,Budatétény,stop,,47.4060445,19.0189639
node/60964560,Barosstelep,stop,,47.3987412,18.9890737
node/60964561,Nagytétény-Diósd,stop,3,47.3982247,18.9730485
node/60964562,Érdliget,stop,,47.3913588,18.9396227
node/60964563,Érd felső,stop,,47.3812533,18.9226244
node/60964564,Tárnok,stop,,47.3653012,18.8734765
node/60964566,Baracska,stop,,47.29829,18.7548156
node/60964567,Pettend,stop,,47.2621097,18.7123779
node/60964568,Kápolnásnyék,stop,,47.2456059,18.6930326
node/60964570,Velencefürdő,stop,,47.2183431,18.6475381
node/60964571,Gárdony,stop,,47.2061264,18.6246708
node/60964572,Agárd,stop,,47.1977351,18.6049158
node/61086169,Maroshegy,stop,,47.1589506,18.4064757
node/61086193,Szabadbattyán,stop,,47.1054451,18.3883007
node/61086232,Polgárdi-Ipartelepek,station,,47.0791007,18.3150117
node/61086242,Polgárdi,station,,47.0695946,18.2839065
node/61086251,Füle,halt,,47.0501055,18.2560376
node/61086267,Balatonfőkajár felső,halt,,47.0310963,18.2144557
node/61086286,Csajág,station,C,47.0336265,18.1862057
node/61086296,Balatonakarattya,halt,,47.0173089,18.167721
node/71480953,Sárpentele,stop,,47.1688781,18.3610808
node/71481036,Várpalota,station,VP,47.1945772,18.1488969
node/71481181,Öskü,halt,,47.1598268,18.0746887
node/71481263,Hajmáskér-Újtelep,halt,,47.1477348,18.0392465
node/71481373,Veszprém,station,J,47.1189646,17.9114044
node/71526160,Városlőd-Kislőd,station,VA,47.1343841,17.6318064
node/71526236,Ajka,station,AK,47.1059403,17.5728618
node/71526268,Ajka-Gyártelep,halt,,47.0967711,17.5551869
node/73838428,Boba,station,OA,47.1829415,17.1911812
node/73838441,Kemenespálfa,halt,,47.1391719,17.1828723
node/73838548,Nemeskeresztúr,station,,47.0936286,17.1837149
node/73838600,Rigács,halt,,47.060389,17.1993095
node/73838664,Ukk,station,UK,47.0407602,17.1964864
node/73838697,Gógánfa,halt,,47.0209554,17.207714
node/73838717,Nyírlak,halt,,46.9976888,17.2472456
node/73838746,Sümeg,station,,46.9809783,17.2708382
node/73838764,Sümegi Bazaltbánya,station,,46.9523105,17.292559
node/73838803,Uzsa,station,,46.9203022,17.3316351
node/73838831,Uzsabánya alsó,halt,,46.8982449,17.3453594
node/73838860,Lesencetomaj,station,LE,46.8757443,17.3787385
node/73838925,Zalagyömörő,halt,,47.0108477,17.2208848
node/73838931,Jánosháza,station,JH,47.1154602,17.1716421
node/77881793,Csittényhegy,halt,,47.0252386,18.1375165
node/77882377,Aszófő,stop,1,46.925557,17.8331286
