start,end
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c583be3c6394551244a4416ada69f4a8603e13f4,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/62a4f00c1e01649773031d990495a0ada5ed0a84
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bb82d4ce8ef0b1a31a8fbe7240f3f14f7a91db84,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f7d9906812957d280f07f6c0dda9bb3d260b2e1e
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/24cb3bc7bd4215d609bc7561142c9014e5e3782b,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8832fcf003d6fb9a96ce22ee2e31b19ad47a2210
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ac41fa5c27bed68257dd6838a35e5f1f951a1722,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/db02db2f4ade005899c316cad4181b6bf64794ad
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b11d0f8e75987858516c2a94360dbc11b8e9dd43,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b7be45a4717d60606813b1c3acb7e197e3195dca
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/81d78cf7b1bde5202dc203bf94ad2de2c630b8d3,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/815db5b9445a999fcd9c71c7067184f50ae2b931
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f8a175b7281633a1e40668c8587fe75dd2f1cc70,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b9ae23fb5f692c0bf47ec82a187af879d1ba6ea3
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/187892f25be7588501df2f50ef403bd52902a21d,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6d3ae9e3b466e7a5450e53fe4e5462475ad2ff90
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d2818b697a6c34ee9d919a25e53d8cdc7fdccf16,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c524294eb6b6df4a3140f357e5f1d3f80b124116
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a3fdff48c7cc2b835da6329da27d05756fbd74a1,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5e2de39b0d1ccf031872d7ee03922cc661364f71
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1a0ae9bb091ba264f5ce50296f3d4b1e36c02586,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/aa3281b98d499cbd4ad3f2ac200558ef4c41d920
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/41bcceda7b9221be30c67cfb488f8e5192982c52,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/af0f10d89f1d4001287cb3d8b5eebd2afdf4a8e6
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5e5d4234a3a03abf14e8d9dec02a5e1755e41d78,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d3be9a3668984486ce0aa48fe08a24964b28ae0e
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e734f24c59aa32c7846c7e84e172581a9922b499,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9afa59b429237f8b62cfad1f2eaf357b155eff0c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0d570c9a3ac8fea3bc24c23ed82b59a4177ed31b,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3fbe3326d7ec5e7a9c6f52e156b6b04ae63f9aff
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/86631c2e24c23290b7fe45ef327bd475e3fe9af1,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/56a2a42460f8eaea2a5081a7f8b0a7829ec8781e
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fdab1be9aaee92229a307e5cc5f4a5673e648d30,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/41e4cd53ffb9fc52dab827a6601f7815569d7700
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3a5010934890627f32c2c8026648b8117050b662,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6a3c254ae9b6dfb99a2003a970d10ac106a318cb
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0db2797e5515f1f3cf4fc9445e3535bd6eb2b6e6,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/42b65569a53d7781489a61f38d7e751d55e0abc5
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6d3ae9e3b466e7a5450e53fe4e5462475ad2ff90,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c815e2db897057bbf893c5328efc2eb40731fa92
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ee41bbf06df6db0b6548610aaa4f6f2cca2445fb,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bb82d4ce8ef0b1a31a8fbe7240f3f14f7a91db84
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9bbeb1510a2b516f33159434ecb2e065811aa120,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/539d67f4eea720b7f0a800cbe7b488bb8a41e953
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e018c3bda18c26e139f555a6e30317f61d6ae0bf,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9b5edfcd2bf9d472290f805d5b20551061b6c5a5
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4ab83d233468d9328ae19a6b1175bca5b28df396,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/225b11aa83a006db8c0b2ead2ce58660979f581c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7cb58de40f0e88be5241a855b65a9722d3deb82e,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1dee314f4795ea14319e4cd3d19ccc1b3b54bab9
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/55d0b5f8d87a02aa990bf5f7d7993c5a66e33600,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7d51655357e4c01969b9f73b3f16a5cda36a1ee3
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4c07a60dc8e24bf6a07145341e8c6ce3c4b7735f,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/90485c4bcba26d500e09b8e8fc692ef742939190
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5342ddbbf681c5c93113e9052c010148084975d5,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/81d78cf7b1bde5202dc203bf94ad2de2c630b8d3
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4ab83d233468d9328ae19a6b1175bca5b28df396,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/925fe71218552540e8c4be0cd531a7140544a9c5
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/aa8f4bb8a7b97ccb16dd160549c8262110e12458,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/94223caba39fc14ac8540884a749dd28b9111e01
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c3106cb8085c4d0f6c0488c649f1e75e35441a34,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/763055f21950a1154f1ae80e4043a0d210baf5fc
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e2e04fbef7e545431c34ef14dabff723eef2e772,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/51ce77a635c2a4ae6c729bb237512ba8579df489
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0b561757b5999065dfc366b01bd8e8d36d6e51bd,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e734f24c59aa32c7846c7e84e172581a9922b499
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/aa8f4bb8a7b97ccb16dd160549c8262110e12458,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/706335620075b360f4ee9f8b64412c73efcfd679
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/988c5435a0ad891270f89a99b34b13c419dc725c,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/20e3b0b255a35c15364839f4decf1edabf17d1e3
