id,name,lat,lon,uri,country,distance_to_border_m
IE+OP2,Howth Junction & Donaghmede Station,53.391577,-6.155249,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1843f708bc372866bcd6beacbb8b8f374d20680c,http://publications.europa.eu/resource/authority/country/IRL,142.16
IE+OP65,Kilcoole Station,53.106957,-6.0408455,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/470775d878d5e0558f0479a6b25635e7a48a0f81,http://publications.europa.eu/resource/authority/country/IRL,421.03
IE+OP73,Rosslare Europort Station,52.251161,-6.3379258,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8621380b86bb8ea384b4272027cd813d0dd45d57,http://publications.europa.eu/resource/authority/country/IRL,494.16
IE+OP56,Dun Laoghaire Mallin Station,53.294863,-6.1343223,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9f329adb1c22908aaf47455dbd0777e655f1d929,http://publications.europa.eu/resource/authority/country/IRL,250.77
IE+OP64,Greystones Station,53.144016,-6.0607445,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b53db90199ea3570db4270cebce57f9893c93a76,http://publications.europa.eu/resource/authority/country/IRL,230.74
IE+OP36,Skerries Station,53.574018,-6.118735,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b881887272903cc7b3a5d765283c14727271f951,http://publications.europa.eu/resource/authority/country/IRL,223.93
IE+OP1,Howth Junction,53.390475,-6.157163,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ca9e5d22f4a6b075b585385fd700960df1d29486,http://publications.europa.eu/resource/authority/country/IRL,112.41
IE+OP3,Bayside Station,53.391349,-6.1352615,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cc3923c7f07e22ad055c0a84ff317ff52960d20e,http://publications.europa.eu/resource/authority/country/IRL,1226.15
IE+OP63,TD 25,53.1473896,-6.0651161,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d505061eae55a899620f066ef865bff066221efd,http://publications.europa.eu/resource/authority/country/IRL,78.95
IE+OP59,Dalkey Station,53.275757,-6.1030818,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d8d823ef314c455eb96708db8cb4cc49a1ff4a97,http://publications.europa.eu/resource/authority/country/IRL,806.57
IE+OP57,Sandycove & Glasthule Station,53.288211,-6.127034,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e515cc288994a5aae9d037d77b3f099074d7ecda,http://publications.europa.eu/resource/authority/country/IRL,170.32
IE+OP4,Sutton Station,53.39195,-6.1157196,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f45e16fc6ec1890959466a984a7dedfc89f7fe50,http://publications.europa.eu/resource/authority/country/IRL,670.97
