id,name,lat,lon,osm_elements,min_distance_m,within_threshold,osm_type_compatible,error
IE+OP1,Howth Junction,53.390475,-6.157163,30,1.6,True,True,
IE+OP10,Newcomen Junction,53.356782,-6.2441376,20,11.3,True,False,
IE+OP100,Dromod,53.859129,-7.9163557,16,3.8,True,True,
IE+OP101,TD 43,53.8660547,-7.922826,3,5.7,True,False,
IE+OP102,TD 44,53.9334568,-8.101249,5,3.6,True,False,
IE+OP103,Carrick on Shannon Station,53.938334,-8.1068738,10,7.0,True,True,
IE+OP104,TD 45,53.9401773,-8.1218368,2,3.7,True,False,
IE+OP105,TD 46,53.969222,-8.2939245,1,17.9,True,False,
IE+OP106,Boyle Station,53.967682,-8.3046782,11,6.3,True,True,
IE+OP107,TD 47,53.9671451,-8.3191953,3,41.7,True,False,
IE+OP108,TD 48,54.077622,-8.5156171,1,650.1,False,False,
IE+OP109,Ballymote Station,54.088312,-8.5207838,8,15.1,True,True,
IE+OP11,North Strand Junction,53.358655,-6.2407104,30,14.9,True,False,
IE+OP110,TD 49,54.0895741,-8.5215113,9,37.5,True,True,
IE+OP111,Collooney Station,54.186556,-8.494963,4,6.2,True,True,
IE+OP112,TD 50,54.2600818,-8.4921582,1,250.8,False,False,
IE+OP113,Sligo MacDiarmada Station,54.272121,-8.4833842,19,6.5,True,True,
IE+OP114,Park West Station,53.333897,-6.3791402,15,28.6,True,True,
IE+OP115,TD 83,53.3359449,-6.3539726,5,32.3,True,False,
IE+OP116,TD 82,53.3355601,-6.3589235,8,60.0,True,False,
IE+OP117,Cherry Orchard Station,53.334004,-6.3784605,14,5.6,True,True,
IE+OP118,Clondalkin Fonthill Station,53.333389,-6.4061394,12,4.2,True,True,
IE+OP119,Adamstown Station,53.336065,-6.4691766,16,7.9,True,True,
IE+OP12,East Wall Yard Junction,53.351396,-6.2324176,35,5.8,True,False,
IE+OP120,Hazelhatch Station,53.322368,-6.5239876,14,12.8,True,True,
