id,name,lat,lon,osm_elements,min_distance_m,within_threshold,osm_type_compatible,error
EU00114,CONFINE ITALO/AUSTRIACO LT ARNBACH,46.74025,12.37123,8,1.2,True,True,
EU00115,CONFINE ITALO/AUSTRIACO LT STEINACH TIR.,47.0067,11.5074,108,16.3,True,True,
EU00116,CONFINE ITALO/AUSTRIACO LT THOERL-MAGLER,46.53482,13.64054,22,3.3,True,True,
EU00126,CONFINE ITALO/FRANCESE LT MENTON,43.78537,7.52957,10,4.3,True,True,
EU00127,CONFINE ITALO/FRANCESE LT MODANE,45.13757,6.68342,2,2467.5,False,True,
EU00128,CONFINE ITALO/FRANCESE LT VIEVOLA,44.15268,7.56981,3,1.9,True,True,
EU00129,CONFINE FRANCESE/ITALIANO LT BREIL ROYA,43.89028,7.53092,5,4.6,True,True,
EU00149,CONFINE ITALO/SLOVENO LT VRTOJBA,45.92315,13.6269,9,0.7,True,True,
EU00150,CONFINE ITALO/SLOVENO LT STANJEL,45.72324,13.81084,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
EU00151,CONFINE ITALO/SLOVENO LT SEZANA,45.68757,13.83348,8,1.8,True,True,
EU00152,CONFINE ITALO/SVIZZERO LT RANZO,46.1037,8.756673,4,4.5,True,True,
EU00153,CONFINE ITALO/SVIZZERO LT ISELLE,46.27094,8.09526,10,32.8,True,True,
EU00154,CONFINE ITALO/SVIZZERO LT MO1,45.8305,9.0346,114,8.1,True,True,
EU00155,CONFINE ITALO/SVIZZERO LT MO2,45.8304,9.0352,95,5.8,True,True,
EU00156,CONFINE SVIZZERA/ITALIA LT STABIO,45.838169,8.9110284,4,53.3,True,False,
IT00001,VILLADOSSOLA,46.063386,8.2643311,7,34.4,True,True,
IT00002,PALLANZENO,46.0435364,8.2606703,6,5.8,True,True,
IT00003,PIEDIMULERA,46.0243528,8.2612532,3,3.6,True,True,
IT00004,PIEVE VERGONTE,46.0097847,8.2763234,15,2.5,True,True,
IT00005,BIVIO/PC SESIA,45.3386571,8.4418047,15,8.8,True,True,
IT00006,ORNAVASSO,45.9702952,8.4159174,6,2.1,True,True,
IT00007,GRAVELLONA TOCE,45.9340574,8.4283759,14,5.0,True,True,
IT00008,OMEGNA-CRUSINALLO,45.8981367,8.4139565,4,3.0,True,True,
IT00010,OMEGNA,45.8717926,8.4133106,14,4.6,True,True,
IT00011,PETTENASCO,45.8204943,8.4068263,4,4.1,True,True,
IT00012,ORTA MIASINO,45.7958633,8.4212377,7,2.7,True,True,
IT00014,BOLZANO NOVARESE,45.759356,8.4407745,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
IT00015,GOZZANO,45.7444396,8.4408896,9,3.8,True,True,
IT00016,BORGOMANERO,45.7010488,8.4681091,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
IT00017,CRESSA FONTANETO,45.6463248,8.498445,5,15.0,True,True,
IT00018,SUNO,45.6204344,8.5193622,4,6.7,True,True,
IT00019,MOMO,45.5746409,8.5568987,11,2.2,True,True,
IT00020,CALTIGNAGA,45.519118,8.5916536,7,9.3,True,True,
IT00021,VIGNALE,45.4789555,8.6131479,18,3.6,True,True,
IT00022,VAPRIO D'AGOGNA,45.5990857,8.5368787,3,16.7,True,True,
IT00023,Novara Nord,45.4520825,8.6250307,112,6.3,True,True,
IT00024,QUADRIVIO ZAPPATA,45.0514859,7.6560392,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
IT00025,BIVIO PRONDA,45.0638415,7.609164,10,11.8,True,True,
IT00026,BIVIO CROCETTA,45.0580918,7.6555844,13,24.3,True,True,
IT00027,BIVIO CASTELROSSO,45.2018713,7.9328532,5,3.7,True,True,
IT00028,DEV. ESTR. MONCALIERI SANGONE,45.0060743,7.6680371,16,25.6,True,False,
IT00029,BIVIO MADONNA DELL'OLMO,44.4140755,7.5462249,9,37.8,True,False,
IT00030,GARBAGNA,45.3855523,8.6662845,13,8.1,True,True,
IT00031,VESPOLATE,45.3515198,8.6719594,7,0.7,True,True,
IT00032,BORGO LAVEZZARO,45.3187865,8.7032474,5,3.3,True,True,
