start,end
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9121931a4889cfdb70fe9c3d9e38c39ced12f47e,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b923ffaa196a8cceb7c8fbd24d17b585da220763
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8b006da25743aed524aaa09a6284248e146a84a1,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e492bec657a2d1b85e1de88197360be5b120d08e
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2c84488f8e1ae4ca0365ee8a9748cc8138d66ac2,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8cd66617ee23e63acbccb7ad96ed86ce51ad6555
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/91219f815d54f14fd34214d045a815c8726c44d9,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9be8442425c8893973fce53a8dbc49fbb2ab80e8
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cae7345a0572029b2916f7d958f44ace358dd356,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/49c561f9337cc34c60e2d28b597e803f3cf6785f
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/33c1ffc91b98e76746ee61fdc124b5892ad3b18e,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a45a498dff2c8e1156d74c89c2b6b70c30c61dd2
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/91219f815d54f14fd34214d045a815c8726c44d9,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2c84488f8e1ae4ca0365ee8a9748cc8138d66ac2
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a45a498dff2c8e1156d74c89c2b6b70c30c61dd2,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/33820d8900d9e416872d2e4aef93113a9e0f7d15
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e492bec657a2d1b85e1de88197360be5b120d08e,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7aa2a5e3bef5934cf159744ec7842cf5297022c6
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9be8442425c8893973fce53a8dbc49fbb2ab80e8,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/dd6b07e23b4e2e39d57f02a477f75f3a161fc487
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/822e3a378a5e53cab32295a34fee8d0f94ff6e38,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/52a145611faf7ab9096d0882c9d07887c51699cd
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b923ffaa196a8cceb7c8fbd24d17b585da220763,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f8f1ef046bda35fbaff4ecf6110c64f1b1d7b3b3
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5924751aaa751f91c3fd41020cfa37d0a5384d64,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9cdc4b01c41c7755829748f7d31282b6ed658b33
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/10e5a50a10953cbea02343be26b35ff3c6851fb9,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8b006da25743aed524aaa09a6284248e146a84a1
