osm_id,name,type,ref,lat,lon
node/26842969,Ziemeļblāzma,stop,,57.0359061,24.114864
node/26890152,Saulkalne,halt,,56.8495096,24.4358742
node/27132663,Alotene,halt,,56.6331407,25.5850916
node/33326581,Jaunolaine,halt,,56.8064878,23.9844623
node/34032910,Sigulda,station,,57.1531642,24.8555149
node/60660175,Līgatne,station,,57.1842749,25.0239619
node/60660250,Lode,station,,57.3882564,25.4143294
node/60660342,Inčukalns,station,,57.096265,24.68654
node/60660343,Vangaži,station,,57.0785113,24.5872763
node/60660344,Krievupe,station,,57.0645733,24.508867
node/60660345,Garkalne,station,,57.0468866,24.4144193
node/60679278,Pūre,station,,57.0623734,22.895926
node/60679281,Kandava,station,,57.0830655,22.821207
node/60679285,Sabile,station,,57.1314915,22.6518553
node/60679289,Stende,station,,57.1436556,22.538545
node/60679295,Līči,station,,57.1786125,22.4200404
node/60679336,Usma,station,,57.2502096,22.1705211
node/60679362,Ugāle,station,,57.2819829,22.0123895
node/60683721,Saurieši,station,,56.9170668,24.3620015
node/60684756,,stop,,56.6867181,25.9758379
node/60684780,Mārciena,stop,,56.7716908,26.0969078
node/61846939,Līvbērze,station,,56.7027427,23.4632631
node/180285876,Gulbene,station,,57.1830868,26.7659153
node/180289941,Birze,stop,,57.2022753,26.8018425
node/180302702,Vējiņi,stop,,57.3590757,27.0313555
node/185614111,Krāslava,station,,55.9253138,27.1455513
node/194292068,Indra,station,,55.8763825,27.5412545
node/246519725,Zolitūde,halt,,56.9492348,24.0223682
node/252636397,Ventspils-1,station,,57.3916955,21.5927986
node/259077739,Depo,stop,,56.9463063,24.0407684
node/262272927,Egļupe,halt,,57.1073552,24.7409638
node/268563799,Ķīšupe,stop,,57.2866494,24.433182
node/268563803,Skulte,station,,57.3337572,24.4640594
node/283359950,Kārsava,station,,56.8155132,27.6941018
node/290688772,Krāce,station,,56.2727444,27.0502838
node/292129048,Melturi,stop,,57.2075558,25.2344135
node/361488465,Muzejs,station,,57.3864137,21.5346975
node/380321127,Pludmale,halt,,57.3877778,21.5327743
node/428937629,Džūkste,halt,,56.8076006,23.3340858
node/443688901,Iecava,station,,56.6286451,24.2348401
node/443688911,Misa,station,,56.5918102,24.3933524
node/443688930,Garoza,station,,56.6505589,23.9495704
node/447643520,Rumbula,halt,,56.8839755,24.2518884
node/466344712,Dalbe,halt,,56.741648,23.8754681
node/467091568,Kalngale,halt,,57.0860163,24.1516988
node/467137247,Aizkraukle,stop,,56.6227309,25.2744724
node/467137248,Kaibala,halt,,56.7031751,24.8887286
node/467137251,Dārziņi,halt,,56.8701703,24.2807169
node/467137252,Gaisma,halt,,56.8940575,24.2320485
node/467137257,Vagonu parks,halt,,56.9428123,24.155184
node/467137258,Ķegums,halt,,56.7420497,24.725227
node/478939686,Ikšķile,halt,,56.8395343,24.5061429
node/480843792,Valmiera,station,,57.5219786,25.4403565
node/482112794,Ogre,stop,,56.815819,24.6021975
node/482112822,Ogre,stop,,56.8158482,24.6018432
node/573215794,Daugava,station,,56.5380115,25.7194893
node/717658583,Jāņamuiža,station,,57.3439226,25.3394989
node/840772245,Alūksne,stop,,57.4123147,27.0454271
node/927243562,Kalns,station,,57.376082,21.5484954
node/976576847,Vagonu parks,stop,,56.9442583,24.1561591
node/976576898,Vagonu parks,halt,,56.9442948,24.1560975
node/1029248351,Torņakalns,stop,,56.9334049,24.0896948
node/1097818655,Ziemeļblāzma,stop,,57.0358441,24.1147902
node/1288285230,Paparde,halt,,57.3070224,26.997171
node/1288285670,Dunduri,stop,,57.2930144,26.97536
node/1288285690,Stāmeriene,halt,,57.2358958,26.8830165
node/1319751401,Saulkrasti,stop,,57.2695531,24.426876
node/1386389051,Sece,station,,56.5100984,25.3681127
node/1386389199,Menta,station,,56.5384549,25.0979531
node/1410180271,Meitene,station,,56.408743,23.6770716
node/1427507094,Taurkalne,station,,56.5615773,24.9356912
node/1427507098,Lāčplēsis,station,,56.575738,24.7928115
node/1427507162,Vecumnieki,station,,56.5903529,24.5371837
node/1497220017,Daudzeva,station,,56.5084274,25.2443181
node/1497353160,Sēlpils,station,,56.5258262,25.6176323
node/1635780581,Vagonu parks,stop,,56.9427901,24.1552214
node/1636687673,Asari,stop,,56.9573219,23.6911366
node/1636687684,Dzintari,stop,,56.9739459,23.8232908
node/1636687692,Kūdra,stop,,56.9286119,23.5457325
node/1636687709,Pumpuri,stop,,56.9600419,23.7385906
node/1636687720,Jaundubulti,stop,,56.9610423,23.7586573
node/1636688628,Dubulti,stop,,56.9694571,23.7766579
node/1636688642,Dubulti,stop,,56.9698746,23.7770567
node/1636688807,Majori,stop,,56.971218,23.7971669
node/1636688821,Majori,stop,,56.9712245,23.7976296
node/1636688923,Priedaine,stop,,56.9714203,23.8879737
node/1636689006,Priedaine,stop,,56.9719916,23.8866065
node/1636689136,Lielupe,stop,,56.981424,23.8717789
node/1636689234,Lielupe,stop,,56.9826848,23.8685573
node/1638215611,Sloka,stop,,56.9473794,23.6181437
node/1638215612,Sloka,stop,,56.947325,23.6182448
node/1638292391,Asari,stop,,56.9572343,23.6911074
