id,name,lat,lon,osm_elements,error,min_distance_m,within_threshold,osm_type_compatible
EU00142,Valstybes siena,54.26487,23.22999,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
EU00145,Valstybes siena,56.36361,23.65876,3,,3.6,True,True
EU00146,Valstybes siena,55.94445,26.04576,3,,10.9,True,True
EU00147,Valstybes siena,55.70351,26.46777,13,,6.1,True,True
EU00148,Valstybes siena,56.37945,22.62039,4,,7.9,True,True
EU00250,Valstybes siena,54.594567,25.757498,10,,1.2,True,True
EU00251,Valstybes siena,54.264018,25.353265,5,,1.6,True,True
EU00252,Valstybes siena,54.640139,22.747429,21,,2.5,True,True
EU00253,vals siena ,55.09157,21.887514,3,,68.6,True,False
LTAkmene,Akmene,56.196012,22.695635,17,,24.7,True,True
LTAlkiskiai,Alkiskiai,56.264267,22.855245,4,,40.9,True,False
LTAlksnenai,Alksnenai,54.709849,23.134906,7,,33.4,True,True
LTAlvitas,Alvitas,54.654902,22.873943,3,,18.6,True,True
LTAlytus,Alytus,54.398893,23.9818,5,,30.9,True,False
LTBP248,Blokuojamasis postas 248 ,55.9918387,22.7840829,5,,12.5,True,True
LTBP278,Blokuojamasis postas 278 ,55.9850685,22.3126149,6,,13.2,True,True
LTBP344,Blokuojamasis postas 344 ,55.9297896,21.3478406,6,,36.6,True,True
LTBP344 ,Blokuojamasis postas 344 ,55.9297896,21.3478406,6,,36.6,True,True
LTBagotoji,Bagotoji,54.727325,23.339864,5,,4.7,True,True
LTBaisogala,Baisogala,55.6308793,23.7545334,9,,5.2,True,True
LTBajorai,Bajorai,55.8716546,21.2220847,7,,6.7,True,True
LTBaltamiski,Baltamiskis,54.762037,24.880963,8,,3.7,True,True
LTBerbuliske,Berbuliskes,54.707589,23.462701,6,,2.0,True,True
LTBezdonys,Bezdonys,54.8053,25.521362,3,,29.7,True,True
LTBudvieciai,Budvieciai,54.615352,23.413254,6,,2.8,True,True
LTBugeniai,Bugeniai,56.364439,22.160334,15,,10.2,True,False
LTBygailiai,Bygailiai,55.7707251,24.6505223,3,,14.1,True,True
LTDarbenai,Darbenai,56.014172,21.240298,6,,7.2,True,True
LTDotnuva,Dotnuva,55.4036449,23.8732654,11,,3.8,True,True
LTDraugyste,Draugystes st.,55.6456,21.197089,31,,22.8,True,False
LTDukstas,Dukstas,55.519784,26.324852,9,,21.7,True,True
LTDurpynas,Durpynas,55.822675,23.512699,16,,0.7,True,True
LTDuseikiai,Duseikiai,55.978134,22.460419,3,,3.4,True,True
LTETD1,El.tr.depas 1 (Turmantas),54.699649,25.445975,18,,11.3,True,True
LTETD2,El.tr.depas2 (Kena),54.693481,25.450408,8,,1.8,True,True
LTGaiziunai,Gaiziunai,55.038812,24.327798,15,,38.4,True,True
LTGarliava,Garliava,54.811706,23.90498,10,,11.8,True,True
LTGerkonys,Gerkonys,55.562193,26.358148,3,,14.5,True,True
LTGimbogala,Gimbogala,55.7256265,23.6643982,5,,8.1,True,True
LTGiruliai,Giruliai,55.769053,21.0953082,7,,10.5,True,True
LTGubernija,Gubernija,55.956144,23.310329,37,,11.9,True,False
LTGudziunai,Gudziunai,55.524913,23.7913445,6,,14.9,True,True
LTGustonys,Gustonys,55.7445532,24.1604294,11,,11.7,True,True
LTIgnalina,Ignalina,55.338573,26.163419,14,,18.2,True,True
LTJasiunai,Jasiunai,54.452665,25.280808,7,,25.2,True,True
LTJiesia,Jiesia,54.819049,23.91868,21,,10.0,True,False
LTJonaitiski,Jonaitiskiai,55.81647,23.41,7,,26.0,True,True
LTJonava,Jonava,55.093383,24.275827,35,,12.6,True,True
LTJoniskis,Joniskis,56.231058,23.599184,14,,6.1,True,True
LTJuodsiliai,Juodsiliai,54.580831,25.266529,4,,67.4,True,True
LTJure,Jure,54.758752,23.595374,9,,2.7,True,True
LTKaisiadory,Kaisiadorys,54.86306,24.46232,26,,3.1,True,True
LTKalnenai,Kalnenai,54.9891,24.179698,8,,8.5,True,False
LTKalote,Kalote,55.7865736,21.1252203,11,,3.6,True,True
LTKalvarija,Kalvarija,54.442797,23.252596,8,,24.7,True,True
LTKalviai,Kalviai,54.396855,24.7456582,7,,3.1,True,True
LTKarciupis,Karciupis,54.915895,24.145997,7,,3.5,True,True
LTKariotiske,Kariotiskes,54.67524,25.005927,9,,2.4,True,True
LTKarsakiski,Karsakiskis,55.7707898,24.5345613,2,,46.2,True,True
LTKaugonys,Kaugonys,54.814917,24.713278,11,,12.1,True,True
LTKaunas,Kaunas,54.886291,23.931978,55,,6.1,True,True
LTKazluRuda,KazluRuda,54.748738,23.500268,40,,12.6,True,True
LTKedainiai,Kedainiai,55.308189,23.977971,16,,7.0,True,True
LTKena,Kena,54.639931,25.689372,18,,42.9,True,True
LTKidarai,Kidarai,54.39514,25.281855,2,,8.2,True,True
LTKirtimai,Kirtimai,54.63444,25.274186,16,,20.4,True,True
LTKlaipeda,Klaipeda,55.721276,21.134879,50,,36.6,True,True
LTKlepociai,Klepociai,54.4508164,24.7786622,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
LTKretinga,Kretinga,55.8868874,21.2292071,15,,5.8,True,True
LTKretingale,Kretingale,55.8348221,21.1799923,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
LTKulupenai,Kulupenai,55.962493,21.475497,6,,2.2,True,True
LTKupiskis,Kupiskis,55.8262486,24.9920837,8,,1.7,True,True
LTKursenai,Kursenai,56.034788,22.982248,2,,30.3,True,True
LTKutiskiai,Kutiskiai,55.8324723,23.4761119,9,,2.1,True,True
LTKuziai,Kuziai,55.979177,23.120942,6,,61.8,True,True
LTKybartai,Kybartai,54.641229,22.757774,37,,16.0,True,True
LTKyviskes,Kyviskes,54.670606,25.518657,23,,9.1,True,True
LTLaba,Laba,55.7442855,23.9207936,1,,4338.0,False,False
LTLabuciai,Labuciai,55.744112,23.9853121,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
LTLazdenai,Lazdenai,54.74905,24.941935,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
LTLentvaris,Lentvaris,54.6447976,25.0469793,21,,3.2,True,True
LTLieplauke,Lieplauke,55.9715512,22.0992833,11,,3.5,True,True
LTLivintai,Livintai,54.934978,24.350821,2,,336.8,False,False
LTLobiniai,Lobiniai,55.417172,26.221008,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
LTLuksiai,Luksiai,55.22102,24.084915,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
LTMankiskiai,Mankiskiai,55.843802,23.4368535,4,,22.2,True,True
LTMarcinkony,Marcinkonys,54.0525212,24.4078789,18,,1.2,True,True
LTMarijampol,Marijampole,54.557494,23.364595,31,,17.5,True,True
LTMatuizos,Matuizos,54.2747398,24.6862152,18,,7.9,True,True
LTMauruciai,Mauruciai,54.781677,23.767799,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
LTMazeikiai,Mazeikiai,56.312347,22.33992,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
LTMeskuiciai,Meskuiciai,56.054635,23.476444,7,,19.0,True,True
LTMickunai,Mickunai,54.720111,25.497537,5,,2.7,True,True
LTMiskiniai,Miskiniai,54.5959267,24.9426498,5,,3.5,True,True
LTMockava,Mockava,54.328396,23.355498,32,,18.7,True,True
LTN.Vilnia,Naujoji Vilnia,54.693762,25.409002,12,,28.1,True,True
LTOrouostas,Orouostas,54.6426384,25.2765465,4,,4.0,True,True
