osm_id,name,type,ref,lat,lon
node/31436595,Vokė,halt,,54.6334843,25.1282698
node/31436983,Vilnius,stop,,54.6696134,25.285775
node/31451531,Lentvaris,station,,54.6449966,25.0470605
node/31451565,Valkininkai,station,,54.3523155,24.7202066
node/31451577,Matuizos,station,,54.2747567,24.6860969
node/31451593,Varėna,station,,54.2093718,24.5747343
node/31522434,Wilkasy Niegocin,halt,,54.0195735,21.7379982
node/55333877,Kariotiškės,halt,,54.6752097,25.0059503
node/55338309,Lazdėnai,halt,,54.7490312,24.9420118
node/55338381,Žasliai,station,,54.8363945,24.5887434
node/55338421,Pravieniškės,station,,54.9017033,24.2208195
node/57185713,Pakenė,halt,,54.6516186,25.6054468
node/57185717,Kena,station,,54.6395564,25.6892109
node/60799929,Jonava,station,,55.0935136,24.2758581
node/66887277,Bezdonys,station,,54.8050898,25.5210766
node/66887310,Pabradė,station,,54.974288,25.7599857
node/71215047,Pabališkiai,halt,,54.7742103,23.6936286
node/71215051,Jūrė,station,,54.7587503,23.5954933
node/91092243,Laba,halt,,55.7443053,23.912197
node/99172829,Klaipėda,station,,55.7211079,21.1357899
node/99177936,Dūseikiai,station,,55.978104,22.4604133
node/159923469,Jašiūnai,station,,54.4528357,25.2805506
node/159923505,Беняконі,station,,54.2455245,25.3530628
node/253334051,Nowy Młyn,halt,,54.0674758,21.3243196
node/257188896,Palemonas,station,,54.914457,24.0609598
node/271036651,Бярэзаўцы,halt,,54.0000503,25.711348
node/271037336,Рудня,halt,,54.98772,26.1648212
node/271038193,Гавуці,halt,,54.4961319,26.2697394
node/271038592,Беласельскі,halt,,54.4567264,26.4568122
node/273461433,Bebruliškė,halt,,54.7076242,23.4628004
node/286545064,Гвардейск,station,,54.6358052,21.0688539
node/296385684,Marcinkonys,station,,54.0525296,24.4078258
node/298335144,Žeimiai,station,,55.1502507,24.182724
node/301943955,Sausiai,halt,,54.7010609,24.9935237
node/301944395,Vievis,station,,54.7794142,24.8121874
node/301945169,Pavenčiai,station,,55.9791356,22.9357532
node/306065639,Тышкевічы,halt,,54.3540425,26.8595182
node/306065647,Даманаўскі,halt,,54.4210106,26.8799797
node/306065648,Красны Беражок,halt,,54.4619377,26.8882148
node/306065717,Фестывальны,halt,,54.301057,26.8841427
node/306066060,Каледзіно,station,,54.2992167,26.8107075
node/306066218,Шыпулічы,halt,,54.2180701,26.5216733
node/306066250,Асанаўскі,halt,,54.331637,26.7306502
node/306066255,Пруды,station,,54.3662671,26.6610268
node/306066293,Багданаў,station,,54.171179,26.1538741
node/306066299,Мількаўшчына,halt,,54.1813117,26.2577714
node/306066302,Лістапады,halt,,54.2181599,26.3691563
node/306067375,Гутна,station,,53.917463,25.3649248
node/306067414,Воранава,halt,,54.154772,25.3013416
node/306067423,Бастуны,station,,54.0783835,25.2937648
node/306067451,Кірʼянаўцы,halt,,53.9549482,25.5085818
node/306067499,Гаўя,stop,,53.9782661,25.652398
node/306067525,Лабачы,halt,,54.0330735,25.8341734
node/306067534,Даўгердзішкі,halt,,54.0908375,25.9656452
node/306067663,Гуды,station,,53.9583248,25.2653804
node/306068550,Залессе,station,,54.4212686,26.5410659
node/306068556,Маладзёжны,halt,,54.4717814,26.4057678
node/306068696,Скірсціны,halt,,54.5533384,26.0026034
node/306068713,Гудагай,station,2100024,54.5966739,25.8927469
node/306068754,Яхімаўшчына,halt,,54.1211229,26.0211309
node/310251328,Trakai,stop,,54.628913,24.9377156
node/360353202,Marijampolė,station,,54.5574686,23.3648622
node/420356700,Senieji Trakai,station,,54.612835,24.9797532
node/436354512,Švenčionėliai,station,,55.1638143,25.993477
node/450582470,Šilutė,stop,,55.3471399,21.4842652
node/465618871,Płociczno Tartak,station,,54.0206951,22.9830599
node/475195003,Kazlų Rūda,station,,54.7486442,23.4995587
node/489362763,Заскавічы,halt,,54.3899963,26.5967016
node/570118106,Paneriai,station,,54.6297422,25.1770585
node/582535727,Zervynos,halt,,54.1097081,24.4876797
node/617011895,Troškūnai LG,station,,55.5896938,24.9022356
node/617014502,Vašuokėnai,station,,55.6254102,24.8520195
node/617014920,Surdegis,station,,55.6584791,24.793386
node/617014928,Raguvėlė,halt,,55.6824132,24.7080323
node/617015186,Taruškos,station,,55.7310201,24.5492035
node/669898510,Ignalina,stop,,55.3384563,26.1636218
