osm_id,name_osm,type_osm,ref_osm,lat_osm,lon_osm,nearest_op_uri,nearest_op_id,nearest_op_name,nearest_distance_m
node/3161755455,Radžiūnai,halt,,55.7694748,24.8863707,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/28c29d3b7ac3f1316c516c052adf9d135ad21c40,LTRadziunai,Radziunai,216.7
node/3163122649,119 км,halt,,55.0722446,21.7834965,,,,
node/5042691344,119 км,stop,,55.0722563,21.7835066,,,,
node/2001432532,1252 км,halt,,54.6331619,20.9821141,,,,
node/11635799398,1252 км,stop,,54.6331446,20.9821102,,,,
node/11635799399,1252 км,stop,,54.6331793,20.9821179,,,,
node/9904435379,524. kilometrs,station,,55.9376524,26.5724734,,,,
node/5763093316,Aglona,station,,56.1782441,26.8907303,,,,
node/1934806645,Anykščiai,station,,55.5325841,25.1085855,,,,
node/1934888969,Bajoriškiai,station,,55.7013429,24.6478397,,,,
node/3318695009,Bartny Dół,halt,,53.9992655,23.0539004,,,,
node/2387656696,Binduga,halt,,54.0129082,23.0118783,,,,
node/9091369525,Bičionys,station,,55.5219037,25.2082133,,,,
node/2180372580,Blizna,halt,,53.9063577,23.0149969,,,,
node/11085342143,Blizna,stop,,53.9063735,23.01496,,,,
node/7795520033,Daugavpils,stop,,55.8747094,26.5282348,,,,
node/7800844381,Daugavpils,station,,55.8746957,26.5283553,,,,
node/8759654071,Dituva,stop,,55.5822247,21.2833445,,,,
node/9093722258,Dituva,halt,,55.5822335,21.2832954,,,,
node/9659279545,Gavys,halt,,55.3335888,26.1488986,,,,
node/1826748640,Giżycko,station,Go,54.0314031,21.7777295,,,,
node/8758725035,Gružeikiai,stop,,55.6276087,21.2496101,,,,
node/9093722259,Gružeikiai,halt,,55.6275968,21.2495749,,,,
node/2157570192,Górowo,halt,Gr,53.9594808,20.9844821,,,,
node/7795520061,Jersika,stop,,56.2545644,26.2102678,,,,
node/7800852785,Jersika,station,,56.2545557,26.2103137,,,,
node/12352264620,Joniškėlio geležinkelio stotis,station,,56.0277266,24.1757355,,,,
node/3200261326,Kaišiadorys,stop,,54.8635999,24.4584218,,,,
node/12102803777,Kaišiadorys,stop,,54.8635162,24.4583576,,,,
node/10702315254,Kolno,halt,,53.9942554,20.9914908,,,,
node/10777611822,Korsze,stop,,54.1722185,21.1365445,,,,
node/10777611823,Korsze,stop,,54.1719666,21.1373613,,,,
node/10777611824,Korsze,stop,,54.1720594,21.1366031,,,,
node/12103352190,Korsze,station,Ko,54.1722675,21.1368948,,,,
node/12349102009,Korsze,stop,,54.1730975,21.1353268,,,,
node/12349102010,Korsze,stop,,54.1730034,21.135253,,,,
node/12349102011,Korsze,stop,,54.172557,21.1367612,,,,
node/3318648525,Krusznik,halt,,53.9899643,23.0932002,,,,
node/3568624529,Kukorai,halt,,55.4629697,21.4526512,,,,
node/12625858114,Kukorai,stop,,55.4629702,21.4525,,,,
