osm_id,name,type,ref,lat,lon
node/25609667,Cents-Hamm,station,Cs,49.6150126,6.1659779
node/25611441,Berchem,stop,,49.5427228,6.1336836
node/25611779,Bettembourg,stop,2,49.5160743,6.1013625
node/25725304,Munsbach,stop,2,49.6303911,6.2685599
node/25923526,Noertzange,station,Nz,49.5080338,6.050847
node/25923528,Noertzange,stop,,49.5083472,6.0534729
node/31768297,Luxembourg,stop,,49.5998322,6.134439
node/63098653,Mamer Lycée,stop,2,49.6184238,6.0297638
node/64696119,Dudelange-Burange,stop,,49.4922028,6.0861902
node/64696141,Dudelange-Usines,stop,2,49.4726605,6.0794895
node/75368914,Mersch,stop,,49.7517605,6.1104283
node/75368929,Lintgen,stop,,49.7215062,6.1227038
node/75371137,Ettelbruck,stop,,49.8472809,6.106653
node/75372363,Michelau,stop,,49.8966727,6.0922668
node/75374339,Goebelsmühle,stop,,49.9210285,6.0534545
node/246131086,Paradiso,stop,Pr,49.9653593,5.9531451
node/269302075,Tétange,stop,,49.477404,6.0349256
node/269302083,Kayl,station,Ka,49.4857436,6.0353974
node/269403470,Kleinbettingen,stop,1,49.6438187,5.9162566
node/271414570,Differdange,stop,1,49.5225262,5.8916266
node/271416677,Belvaux-Soleuvre,stop,2,49.5151207,5.9258879
node/271417454,Belval-Lycée,stop,,49.5014816,5.9345052
node/271417570,Belval-Rédange,stop,1,49.5031151,5.9237122
node/291882814,Bois de Rodange,halt,,49.5390765,5.841179
node/309119391,Walferdange,stop,,49.6619317,6.1363499
node/322101351,Bertrange-Strassen,stop,1,49.6128586,6.060416
node/358887607,Capellen,stop,1,49.6383985,5.9823856
node/364174351,Pétange,station,,49.553493,5.8770383
node/420756851,Drauffelt,station,Df,50.0168584,6.0072032
node/427106616,Troisvierges,stop,1,50.1195439,5.9902235
node/443135663,Heisdorf,stop,,49.6751756,6.1394298
node/443220175,Dommeldange,stop,,49.6344854,6.1363909
node/453411967,Mamer Lycée,stop,1,49.6184018,6.0297166
node/453510693,Bertrange-Strassen,stop,2,49.6128859,6.0604415
node/471809787,Colmar-Berg,stop,,49.8149463,6.1013182
node/471809789,Kautenbach,stop,2,49.9484502,6.0224138
node/540034380,Differdange,stop,2,49.5225174,5.8916741
node/540275866,Oberkorn,stop,2,49.5107461,5.8909439
node/540286638,Belvaux-Soleuvre,stop,1,49.515089,5.9258744
node/540592185,Belval-Rédange,stop,2,49.5031318,5.9237578
node/540592226,Belval-Lycée,stop,,49.5015145,5.9345048
node/647713512,Noertzange,stop,,49.5083141,6.0534805
node/676794145,Goebelsmühle,stop,,49.9209937,6.0534198
node/701021535,Wellen(Mosel),stop,2,49.6724281,6.4408667
node/701033573,Wellen(Mosel),stop,3,49.6724294,6.4411109
node/701037462,Wellen(Mosel),station,SWN,49.6724399,6.4410331
node/701059360,Temmels,halt,STS,49.6884034,6.4622899
node/701072665,Wincheringen,stop,2,49.609099,6.4073923
node/701093635,Wehr (Mosel),stop,1,49.5864,6.37684
node/701094172,Nennig,station,SNE,49.5388196,6.3759049
node/704409331,Rodange,station,R,49.5511046,5.8434572
node/704409333,Lamadelaine,stop,1,49.5534041,5.8608738
node/704409340,Luxembourg,stop,,49.5997315,6.1349146
node/718622775,Dudelange-Centre,stop,,49.4786909,6.0821957
node/733810135,Luxembourg,stop,,49.5997951,6.1346165
node/875782735,Pétange,stop,,49.5534767,5.8767158
node/1015082748,Pétange,stop,1,49.5542691,5.8792664
node/1082825332,Manternach,stop,2,49.7064288,6.4229812
node/1082831788,Manternach,stop,1,49.706454,6.4234591
node/1082860547,Mertert,stop,2,49.7031968,6.4796101
node/1089173626,Mertert,stop,1,49.7031465,6.4795893
node/1104551126,Luxembourg,stop,,49.5997834,6.1346704
node/1104551294,Luxembourg,stop,,49.5997467,6.1348465
node/1202059783,Munsbach,stop,1,49.6303968,6.268617
node/1341514800,Troisvierges,stop,,50.1198719,5.9890928
node/1411691251,Sandweiler-Contern,station,Sc,49.5990906,6.2117485
node/1565236368,Fuusbesch,station,,49.5417467,5.868944
node/1573735853,Diekirch,station,Dk,49.8648017,6.1540133
