osm_id,name_osm,type_osm,ref_osm,lat_osm,lon_osm,nearest_op_uri,nearest_op_id,nearest_op_name,nearest_distance_m
node/875782735,Pétange,stop,,49.5534767,5.8767158,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5119b07d2978b1f41c72f6db8a04978b560f9f67,LUP    ,Pétange,203.6
node/420756851,Drauffelt,station,Df,50.0168584,6.0072032,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/40e75e49011f20791e16cbd1142d3a87861218a4,LUDf   ,Drauffelt,227.1
node/3451720939,Besch,stop,1,49.5072688,6.3721599,,,,
node/3451720940,Besch,stop,2,49.507276,6.3722226,,,,
node/3451720941,Besch,halt,SBS,49.5071846,6.3722108,,,,
node/291882814,Bois de Rodange,halt,,49.5390765,5.841179,,,,
node/2858769366,Doihl,halt,,49.5358178,5.8495119,,,,
node/11132145593,Doihl,halt,,49.5360021,5.8494192,,,,
node/4490714231,Fond-de-Gras,station,,49.534911,5.8576847,,,,
node/12504935001,Fond-de-Gras,stop,,49.5350275,5.8577481,,,,
node/11132151397,Fond-de-Gras Gare,stop,,49.5353771,5.8569796,,,,
node/2858769365,Fond-de-Gras Giedel,halt,,49.5343665,5.8625495,,,,
node/1565236368,Fuusbesch,station,,49.5417467,5.868944,,,,
node/12663181949,Lankelz,station,,49.5112872,5.9775585,,,,
node/701094172,Nennig,station,SNE,49.5388196,6.3759049,,,,
node/3869659870,Nennig,stop,1,49.5385679,6.375923,,,,
node/3871401071,Nennig,stop,2,49.538577,6.3757557,,,,
node/12663181948,Nonnewisen,station,,49.5119893,5.9771971,,,,
node/1852234870,Palzem,stop,1,49.56541,6.3711147,,,,
node/3869659872,Palzem,stop,2,49.564944,6.3722017,,,,
node/5070454387,Palzem,halt,SPZ,49.5650771,6.3718879,,,,
node/5276083280,Rout Bréck-Pafendall,station,,49.6188621,6.1360568,,,,
node/701059360,Temmels,halt,STS,49.6884034,6.4622899,,,,
node/3869659893,Temmels,stop,,49.6884291,6.4624475,,,,
node/3871401087,Temmels,stop,,49.6884808,6.4623648,,,,
node/701093635,Wehr (Mosel),stop,1,49.5864,6.37684,,,,
node/1852235073,Wehr (Mosel),stop,2,49.5862885,6.3768735,,,,
node/5070454376,Wehr (Mosel),halt,SWE,49.5863473,6.3768567,,,,
node/701021535,Wellen(Mosel),stop,2,49.6724281,6.4408667,,,,
node/701033573,Wellen(Mosel),stop,3,49.6724294,6.4411109,,,,
node/701037462,Wellen(Mosel),station,SWN,49.6724399,6.4410331,,,,
node/701072665,Wincheringen,stop,2,49.609099,6.4073923,,,,
node/3871401090,Wincheringen,stop,1,49.6089124,6.4070269,,,,
node/5070454373,Wincheringen,station,SWIN,49.6091101,6.4073266,,,,
