uri,sol_id,start,end
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/0275a34dacee34e2f8a31bf4aa0e3fc954282c80,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/Bettembourg-Dudelange-Usines%28Volmerange%29_LUDc%20%20%20_LUDu%20%20%20,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/LUDc%20%20%20,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/LUDu%20%20%20
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/05100e99e82dfc6710e5190bc00bb2ca33351169,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/Luxembourg-Troisvierges-fronti%C3%A8re_LUMc%20%20%20_LUGb%20%20%20,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/LUMc%20%20%20,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/LUGb%20%20%20
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/064aeb93e88bade78b7f51f6acb347bc81fc25a2,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/Ettelbruck-Bissen_LUCu%20%20%20_LUBi%20%20%20,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/LUCu%20%20%20,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/LUBi%20%20%20
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/0684baf12975acd892a8540411f1a709c3ff2306,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/Kautenbach-Wiltz_LUKt%20%20%20_LUMk%20%20%20,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/LUKt%20%20%20,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/LUMk%20%20%20
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/068e110b462794ef646a1d87a5b8adcdf7b8388e,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/Luxembourg-Troisvierges-fronti%C3%A8re_LUEb%20%20%20_LUBd%20%20%20,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/LUEb%20%20%20,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/LUBd%20%20%20
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/09d0fcde8cb136c8f3578da16ba8858f78391ca6,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/Kautenbach-Wiltz_LUPa%20%20%20_LUWz%20%20%20,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/LUPa%20%20%20,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/LUWz%20%20%20
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/0a02fa1b131deaf46f2ba874b25cd11b3d9bbb0f,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/Luxembourg-P%C3%A9tange_LULd%20%20%20_LULh%20%20%20,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/LULd%20%20%20,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/LULh%20%20%20
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/0a0d97da190da7b8036b5573cd5e8dc710e952af,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/Luxembourg-Troisvierges-fronti%C3%A8re_LUPf-K%20_LUDm%20%20%20,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/LUPf-K%20,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/LUDm%20%20%20
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/0bf8bba2e89d9c61a04a64801b3663216056f769,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/Bettembourg-Esch%2FAlzette_LUBt-V%20_LUNz%20%20%20,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/LUBt-V%20,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/LUNz%20%20%20
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/0f1a4d014b9a237c1da52fa4e2fcdec9db246f61,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/Luxembourg-Wasserbillig-fronti%C3%A8reviaSandweiler-Contern_LURt%20%20%20_LUBz%20%20%20,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/LURt%20%20%20,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/LUBz%20%20%20
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/0fffd86f81eb8b7176311a09a6b6bde949dc54c0,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/Luxembourg-Berchem-Oetrange_LUBc-N%20_LUBc-E%20,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/LUBc-N%20,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/LUBc-E%20
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/1016a9994d85ec669db5ccd83b66b68f3e264846,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/Kautenbach-Wiltz_LUMk%20%20%20_LUPa%20%20%20,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/LUMk%20%20%20,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/LUPa%20%20%20
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/11155f23b9ed31b8a90c40c26db7fc3b0faea75f,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/Noertzange-Rumelange_LUNz%20%20%20_LUBb%20%20%20,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/LUNz%20%20%20,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/LUBb%20%20%20
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/12a076079f1e1871a9aeeeedd9c6b5c2d9e39d7e,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/Luxembourg-Troisvierges-fronti%C3%A8re_LUCb%20%20%20_LUSr%20%20%20,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/LUCb%20%20%20,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/LUSr%20%20%20
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/1c84a09f39853a95c8e3093ab895ba61ceb40781,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/Luxembourg-Troisvierges-fronti%C3%A8re_LUTv%20%20%20_EU00095,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/LUTv%20%20%20,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/EU00095
