uri,uri_canonical,id,name,lat,lon,op_type,op_type_label,country,op_type_code,op_type_name
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/09ebf4fc6437d4ed3aafccbc2c345cade2b879e6,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NLAwhva,NLAwhva,Amsterdam Westhaven Aansl.,52.404,4.8405,http://data.europa.eu/949/concepts/op-types/rinf/80,80,http://publications.europa.eu/resource/authority/country/NLD,80,junction
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/96351250da79d88f4962bdf7e74739a7d0554b03,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NLAsdta,NLAsdta,Amsterdam Transformatorweg Aansl.,52.392,4.8662,http://data.europa.eu/949/concepts/op-types/rinf/80,80,http://publications.europa.eu/resource/authority/country/NLD,80,junction
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/acc52469afd0aede08b317807753a0aceb1d2b52,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NLAwhvo,NLAwhvo,Amsterdam Westhaven Opstel,52.4074,4.8325,http://data.europa.eu/949/concepts/op-types/rinf/40,40,http://publications.europa.eu/resource/authority/country/NLD,40,freight terminal
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0be4881e901646adcaed3a60fc703da0f059297a,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NLTnz,NLTnz,Terneuzen,51.3296,3.8253,http://data.europa.eu/949/concepts/op-types/rinf/40,40,http://publications.europa.eu/resource/authority/country/NLD,40,freight terminal
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a1dab8799905ca374294ba8442e3c4aecd70b8d8,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NLSgbr,NLSgbr,Singelgrachtbrug,52.3859,4.8831,http://data.europa.eu/949/concepts/op-types/rinf/110,110,http://publications.europa.eu/resource/authority/country/NLD,110,technical change
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ad4412be404ea69c2e261cc3eb4876c0dbf8abef,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NLSvg,NLSvg,Sas van Gent,51.2255,3.7939,http://data.europa.eu/949/concepts/op-types/rinf/100,100,http://publications.europa.eu/resource/authority/country/NLD,100,shunting yard
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cbf400c1392e1e68e509564b25845dbd34f582bd,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NLZst,NLZst,Amsterdam Zaanstraat,52.3906,4.8692,http://data.europa.eu/949/concepts/op-types/rinf/100,100,http://publications.europa.eu/resource/authority/country/NLD,100,shunting yard
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fb7728612d0acbecd5eb30f0ae873e1d0faa0131,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NLSgra,NLSgra,Singelgracht Aansl.,52.3868,4.8806,http://data.europa.eu/949/concepts/op-types/rinf/40,40,http://publications.europa.eu/resource/authority/country/NLD,40,freight terminal
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3db558aa562873f11b4fc9bb41e40b6eecf1d24b,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NLObpa,NLObpa,Overbrakerpolder aansl.,52.3891,4.8654,http://data.europa.eu/949/concepts/op-types/rinf/120,120,http://publications.europa.eu/resource/authority/country/NLD,120,switch
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4d6819dbce1627a7bf9af99f63f3ad886f3dd765,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NLChv,NLChv,Amsterdam Coenhaven,52.403,4.8426,http://data.europa.eu/949/concepts/op-types/rinf/40,40,http://publications.europa.eu/resource/authority/country/NLD,40,freight terminal
