id,name,lat,lon,osm_elements,min_distance_m,within_threshold,osm_type_compatible,error
EU00001,Nieuweschans Grens,53.18748,7.210411,11,7.7,True,True,
EU00002,Oldenzaal Grens,52.309093,7.040075,8,0.6,True,True,
EU00003,Enschede Grens,52.218058,6.979838,9,4.7,True,True,
EU00004,Zevenaar grens,51.901252,6.13768,8,1.8,True,True,
EU00005,Venlo grens,51.340989,6.192566,6,2.4,True,True,
EU00006,Haanrade grens,50.880347,6.084949,6,1.3,True,True,
EU00089,HSL Breda grens,51.485665,4.734452,5,7.4,True,True,
EU00090,Roosendaal grens,51.46913,4.448921,25,1.6,True,True,
EU00091,Budel grens,51.247263,5.555298,6,1.5,True,True,
EU00092,Maastricht grens,50.880098,5.666877,5,3.9,True,True,
EU00093,Eijsden grens,50.758825,5.703065,14,2.6,True,True,
EU00094,Sas van Gent grens,51.210866,3.79983,7,3.0,True,True,
NLAbr,Brug o/d Arne,51.4998,3.6501,10,1.0,True,True,
NLAc,Abcoude,52.2783,4.9776,14,11.5,True,True,
NLAco,Abcoude overloop,52.2695,4.9855,28,7.8,True,True,
NLAeg,Erasmusgracht aansl.,52.3781,4.8373,50,1.1,True,True,
NLAh,Arnhem Centraal,51.9847,5.9015,151,1.2,True,True,
NLAhb,Arnhem Berg,51.9865,5.8866,123,2.5,True,True,
NLAhbo,Arnhem Berg opstel.,51.9866,5.8853,96,2.5,True,True,
NLAhg,Arnhem Goederenstation,51.9766,5.9349,63,3.7,True,True,
NLAhgons,Arnhem Goederen Opstel NS,51.9761,5.9282,31,33.5,True,True,
NLAhp,Arnhem Velperpoort,51.9852,5.9196,18,10.6,True,True,
NLAhpr,Arnhem Presikhaaf,51.988,5.9438,16,9.4,True,True,
NLAhwa,Arnhem West aansl.,51.9869,5.8773,41,2.5,True,True,
NLAhz,Arnhem Zuid,51.9549,5.8519,18,1.4,True,True,
NLAkl,Arkel,51.8722,4.9931,11,2.9,True,True,
NLAkm,Akkrum,53.0476,5.8432,20,3.0,True,True,
NLAlm,Almere Centrum,52.3751,5.2181,49,9.8,True,True,
NLAlmb,Almere Buiten,52.3943,5.2781,27,3.4,True,True,
NLAlmm,Almere Muziekwijk,52.3677,5.1907,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
NLAlmmo,Almere Muziekwijk Overloop,52.3603,5.1748,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
NLAlmo,Almere Oostvaarders,52.4033,5.3006,75,2.2,True,True,
NLAlmp,Almere Parkwijk,52.3768,5.245,25,2.2,True,True,
NLAmf,Amersfoort Centraal,52.1535,5.371,163,6.3,True,True,
NLAmfga,Amersfoort goed Aansl,52.1588,5.3515,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
NLAmfge,Amersfoort Goederen,52.1526,5.371,52,78.5,True,True,
NLAmfpon,Amersfoort racc. Pon,52.1323,5.4032,5,6.1,True,False,
NLAmfs,Amersfoort Schothorst,52.1744,5.4033,36,2.9,True,True,
NLAmfv,Amersfoort Vlasakkers,52.1478,5.3457,12,4.2,True,True,
NLAmfva,Amersfoort Vlasakkers aansl.,52.1482,5.347,17,3.9,True,True,
NLAmfwwp,Amersfoort Wagen Werkplaats,52.1559,5.3629,117,2.3,True,True,
NLAml,Almelo,52.358,6.654,82,3.3,True,True,
