start,end
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d51e2dca0ddce8792681236bb2ad00a1dd5e4178,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/58f25d5bd616d49552e6b5c64201f1707cf33b8c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/004318c073a2d23513260a57229653f8c67c94ba,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cba61487812cae5bdfbf03b1e4030358e6f0b0e8
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a37cb5e58fc8788ff4d561b472ad3bbd953537b6,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1296c24d5dec3a840c934f0d36171ef5a57bfd92
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4d24ac8f2519eb83c7221c9fb1397125e7712ccc,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f43be1d2b5fd405cbbb1d5d7570de8639d0c831d
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3bd5b30635c2f872e0413f901b22ea11a6155e7a,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cc76633ab0865ba10451b01b8fe2efc9a115423d
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/52962479f763090fe221256086f76940b0d1613d,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cdef7c1a9c76f2c71c9b965a909e2e6c0b534a27
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8aa0bb76bb06b1612cf31fc761d16d4a31bd9b1f,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e6e5abc3f7e23f7618691775affd4a972f9b3017
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/63369614db62cf57a524ed5a63ed8bd487500a56,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0a96c44758e0f20cad1e126d8a7e47c249410e18
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d99e36c9953c16748f81d07cd84e493e50262eed,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/91fc77da69668bc98067c650216f8da88bb51355
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/397a9e0e7d65b0c188b42ca4ea191cbf3edc0d9c,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e0407c0316db03a9433dfcaa12409404e2240df5
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a295723a2b03ed823619b700cedc4bc1cb1c4e30,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f0ff95a7bb709fb90a002fcc716fa92f4fb2d005
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7f6433ba1b3f7855b970637cc19c7ed80df3f74d,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/65a2a2dc4215eda3d6f6566829608bfb0f465965
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/58f25d5bd616d49552e6b5c64201f1707cf33b8c,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fc7254244ea5aaf3ca3768dd07162dd80e30e4c0
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/df9ff60e4b7a9c003939e17636035d59cf6fe591,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6c87207ba75be63d1e03ecb787aba69931517b67
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5da5dbe90119230e63a675f9c6c6d8967c18bda0,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fcbda6e433c12964dbc99ea1fc5717a746da43f6
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ed96a7e47e31a076a5cb60f7253acaf13c402ed8,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/134ea8243235179b10d3476585241199f88f1655
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/679d56fb703ecf94f9af391ac8ff2ef0e56877e7,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/544b3464d4f5db6a38a9afe6cc956eb8dd991856
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6be938ee068f40768498cebee053a9bb8371c30c,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8a6f4f38ee24cf4f09969380a34164ce641ab767
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c33144272fa29d05ddad10aa15f5c408aa42db7a,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f1ad72228da9bb6fdb31443ea4c59d70f01a4ea0
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/42b67ff22f87cb1a35992707c7461e1fa586fc46,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2d880fbf831a0e62ded04c13f09b1b0b90e7dbcf
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f3bb6d3caa3939331b120b8c55d0f71f60d92944,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/48849c3f113865eba73211a31b2b917706f9d6b9
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bb97889cd201fa5b7dbb92e962b3ebf3dd91eec5,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5b15c974e3b7ae2671b5e1139cdac516a2707b0c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/48849c3f113865eba73211a31b2b917706f9d6b9,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7d533d472609b082c5dc87fe8499d232432ecefc
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4f1801baeb6ee2c26235bd9323b611830454dfe6,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/71dc537fd0d36b2ec448ad0f5bba44ca0b893e74
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8dd87b2a735c2379e24317e3530951d6f82edba1,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7c4870ef095a11ec5047ad31bc435be695426b6c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3ce403f5e2e089315d9f508cdfce48ccbb0e6ac8,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/19a2390effbd840ae21a5069445b8437033fe56d
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/11545b7b0208c84a7e7293960835a61851b53d3d,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e395ac31d4e627ab5196e2d144b7eabb58df73f1
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7445ea42dff770f1d3538ba2a66bb0f60ff2f19c,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f8c0e5518f2c38f8df1eccfd5b6ba752dbe9ab97
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/51a2aba7c6b089cc9aa76b383174a11f5ae89081,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/da3151b6edd05d2e9a4377e6d9ec15f6920acfab
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6f3d924c84397fdbc8816a8eb40675dfab23cbe2,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d993ce5636e33896a94544110bd8739bd62e684a
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9afabd3001ecaff9d339eaebd77a30bff25588f0,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8a9f64d620a80673298b1c589d3ae47767d3db61
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e6e819f346bff418fa3c6282e758036fe8d2cb4a,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2b408c37d77c920de626acdcf037816f876532b1
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e395ac31d4e627ab5196e2d144b7eabb58df73f1,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/06b287cf98523281020da30cf0f38bad6059ae3c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1296c24d5dec3a840c934f0d36171ef5a57bfd92,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/84fdae486ba83879f866fdd41b9df836e02df806
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bcb6b4a71005f6d5936574cde927dc5de5423d2e,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8dd87b2a735c2379e24317e3530951d6f82edba1
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/544b3464d4f5db6a38a9afe6cc956eb8dd991856,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ed96a7e47e31a076a5cb60f7253acaf13c402ed8
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2a8ea80ce9c52e3e90366b8ffa0ce410f822af2a,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/88f365770cf25f4e06d7f64030bdf92d37cfbff3
