id,name,lat,lon,osm_elements,min_distance_m,within_threshold,osm_type_compatible,error
NO0010-01000,Oslo S (delstr.) stasjon,59.9103,10.7562,101,0.4,True,True,
NO0020-01003,Lodalen (delstr.) stasjon,59.905,10.7695,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
NO0030-02013,Alnabru skiftestasjon (delstr.) stasjon,59.9355,10.8409,105,0.8,True,False,
NO0040-05002,Loenga stasjon,59.9021,10.7629,61,11.2,True,False,
NO0210-02010,Bryn stasjon,59.9082,10.8187,37,13.4,True,True,
NO0210-02012,Brobekk stasjon,59.9249,10.8343,24,31.8,True,False,
NO0210-02018,Aker stasjon,59.941,10.8617,38,13.5,True,False,
NO0220-02020,Grorud stasjon,59.9499,10.8878,27,1.9,True,True,
NO0220-02040,Lørenskog stasjon,59.9449,10.9455,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
NO0220-02060,Strømmen stasjon,59.9494,11.0019,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
NO0230-02090,Frogner stasjon,60.0233,11.1038,12,62.6,True,True,
NO0230-02100,Lindeberg stasjon,60.0404,11.1291,12,26.7,True,True,
NO0230-02114,Asper stasjon,60.1121,11.1399,4,4.0,True,True,
NO0230-02120,Jessheim stasjon,60.1417,11.1769,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
NO0230-02130,Hauerseter stasjon,60.1853,11.195,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
NO0230-02131,Sand stasjon,60.2188,11.1813,4,3.5,True,True,
NO0230-02140,Dal stasjon,60.2491,11.2029,21,3.4,True,True,
NO0230-02150,Bøn stasjon,60.2923,11.2126,15,1.4,True,True,
NO0270-02070,Lillestrøm stasjon,59.9536,11.0458,65,34.0,True,True,
NO0270-02110,Kløfta stasjon,60.0753,11.1395,10,14.8,True,True,
NO0270-02118,Langeland stasjon,60.123,11.159,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
NO0270-02210,Hellerud stasjon,59.9122,10.8569,7,3.4,True,False,
NO0270-02260,Gardermoen stasjon,60.1938,11.0976,22,22.5,True,True,
NO0280-02160,Eidsvoll stasjon,60.3299,11.2484,39,2.5,True,True,
NO0280-02270,Bekkedalshøgda stasjon,60.2807,11.1608,7,4.5,True,False,
NO0280-02280,Venjar stasjon,60.3019,11.2032,7,49.4,True,False,
NO0300-03030,Fetsund stasjon,59.9272,11.1631,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
NO0300-03040,Roven stasjon,59.9586,11.1969,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
NO0300-03050,Sørumsand stasjon,59.9857,11.2403,19,22.7,True,True,
NO0300-03070,Blaker stasjon,60.0049,11.3012,11,6.4,True,True,
NO0300-03080,RÕnÕsfoss stasjon,60.0292,11.3277,18,4.3,True,True,
NO0300-03090,Haga stasjon,60.0538,11.373,10,9.4,True,True,
NO0300-03110,┼rnes stasjon,60.124,11.465,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
NO0300-03130, Seterstøa stasjon,60.171,11.5672,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
NO0300-03140,DisenÕ stasjon,60.209,11.6423,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
NO0300-03150,Skarnes stasjon,60.2538,11.6806,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
NO0300-03160,Sander stasjon,60.2263,11.8097,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
NO0300-03170,Galterud stasjon,60.1972,11.8811,10,13.2,True,True,
NO0300-03180,Kongsvinger stasjon,60.1876,12.0036,44,1.9,True,True,
NO0310-03200,Åbogen stasjon,60.111,12.1146,11,5.0,True,True,
NO0310-03210,Matrand stasjon,60.0274,12.1245,8,2.2,True,True,
NO0310-03220,Skotterud stasjon,59.9833,12.1206,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
NO0310-03230,Magnor stasjon,59.9514,12.2018,16,3.1,True,True,
NO0400-04050,Kirkenær stasjon,60.4563,12.0608,19,3.6,True,True,
NO0400-04080,Flisa stasjon,60.5988,12.0201,16,2.4,True,True,
NO0400-04110,Braskereidfoss stasjon,60.7231,11.7933,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
NO0510-02010,Bryn - Godstogsporet st.,59.9082,10.8187,37,13.4,True,True,
NO0540-05007,Bekkelaget stasjon,59.8777,10.7765,10,1.8,True,True,
NO0540-05020,Ljan stasjon,59.8533,10.7848,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
NO0540-05035,Holmlia stasjon,59.8375,10.7973,8,30.4,True,False,
NO0540-05040,Kolbotn stasjon,59.811,10.8006,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
NO0540-05054,Myrvoll stasjon,59.7865,10.8004,8,1.6,True,True,
NO0540-05060,OppegÕrd stasjon,59.7651,10.813,7,2.3,True,True,
NO0540-05070,Langhus stasjon,59.7501,10.8368,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
