osm_id,name,type,ref,lat,lon
node/660921,Oslo S,station,03010010,59.9110251,10.7531379
node/24986362,Nydalen,stop,,59.9516656,10.7720813
node/24986574,Kjelsås,stop,,59.9662393,10.7831465
node/25041423,Blindern,stop,,59.9401125,10.7160898
node/25047615,Ullevål stadion,stop,,59.9467771,10.7321676
node/25049175,,stop,,59.9512875,10.7463455
node/25050729,,stop,,59.9543235,10.7520597
node/25298228,,stop,,59.9674613,10.7339106
node/25298233,,stop,,59.9641559,10.7348332
node/25298243,,stop,,59.9606886,10.740094
node/25298260,,stop,,59.9573421,10.749285
node/25313788,Vollebekk,stop,,59.9358803,10.8310597
node/25313797,Risløkka,stop,,59.9325223,10.8231081
node/25313799,Økern,stop,,59.9282792,10.8062685
node/25313876,Linderud,stop,,59.9409761,10.8385349
node/25313891,Veitvet,stop,,59.9445427,10.846913
node/25313920,Rødtvet,stop,,59.9514129,10.8594076
node/25314427,Gaustad,stop,,59.9455922,10.7098301
node/25316972,Borgen,stop,,59.9346305,10.6957237
node/25319427,Sinsen,stop,301210001,59.9373856,10.7818292
node/25319431,Storo,stop,,59.9446397,10.7786176
node/25320465,Høyenhall,stop,,59.9059128,10.8198288
node/25320621,Brynseng,stop,4,59.9093101,10.8119476
node/25321112,Manglerud,stop,,59.897992,10.8127818
node/25321169,Ryen,stop,,59.8956541,10.8047372
node/25340002,Nydalen,stop,,59.9493675,10.7659619
node/25649578,Ris,stop,,59.9479354,10.7049337
node/25680509,Nyland,stop,,59.9436958,10.8707533
node/25681258,Hanaborg,stop,1,59.9388567,10.9664944
node/25701674,Lysaker,stop,,59.9134861,10.6372305
node/25702382,Gulleråsen,halt,,59.9557434,10.6970247
node/25703253,Skogen,halt,,59.9750503,10.6474955
node/25703429,Lillevann,halt,,59.9807091,10.652584
node/25703622,Voksenkollen,halt,,59.9800631,10.6652973
node/25703752,Frognerseteren,halt,,59.9791178,10.6766344
node/25704990,Snippen,stop,,60.0237508,10.8100637
node/25713529,Holmen,halt,,59.9459164,10.6677377
node/25713549,,stop,,59.9463222,10.6540359
node/25713616,Røa,halt,,59.9467468,10.6442729
node/25713621,Ekraveien,halt,,59.9497938,10.6377336
node/25713630,Eiksmarka,stop,,59.9473269,10.6239328
node/25713731,Bjørnsletta,stop,,59.9265368,10.6344447
node/25713750,Jar,stop,,59.9257828,10.6182824
node/25714527,Brattlikollen,stop,,59.8874006,10.8011094
node/25714550,Karlsrud,stop,,59.8807186,10.8053038
node/25714564,Lambertseter,stop,,59.8733679,10.8104035
node/25714578,Bergkrystallen,stop,,59.8671388,10.8209367
node/25727081,Hellerud,stop,,59.9100516,10.8298455
node/25727138,Skøyenåsen,stop,,59.8992349,10.8367208
node/25727222,Bøler,stop,,59.8842885,10.8455328
node/25727275,Bogerud,stop,,59.8762172,10.8421528
node/25727284,Skullerud,stop,,59.866799,10.8401183
node/26106239,Eidsvoll verk,stop,,60.287982,11.1697382
node/26283056,Ljan,stop,301082002,59.8530147,10.7847936
node/26283208,Hauketo,stop,301091001,59.8459891,10.8030002
node/26283493,Rosenholm,stop,310093001,59.8239968,10.7979074
node/26283705,Solbråtan,stop,217020002,59.8016792,10.8043902
node/26351038,Greverud,stop,217030001,59.7727944,10.8066552
node/26351366,Langhus,stop,213050001,59.7496759,10.8366585
node/26362900,Vestby,stop,211010002,59.6036831,10.7484117
node/26394505,Ås,stop,214020002,59.6632736,10.7946087
node/26550675,Stabekk,stop,219010001,59.9080701,10.6071419
node/26559640,Bryne,stop,,58.7347251,5.649678
node/26560744,Sandvika,station,02190400,59.8925948,10.524522
node/26560773,Billingstad,station,02200100,59.874796,10.4830758
node/26560811,Hvalstad,station,02200200,59.8587664,10.4618904
node/26560822,Vakås,halt,02200300,59.8496567,10.4669927
node/26636018,Ganddal,stop,,58.8232369,5.716955
node/26636024,Øksnavadporten,stop,,58.7862497,5.7011569
node/26639182,Grønland,stop,,59.9128099,10.7601473
node/26639185,Carl Berners plass,halt,,59.9258326,10.7795926
node/26639186,Hasle,stop,,59.9243441,10.7947264
node/26640766,Helsfyr,stop,,59.9127162,10.8009919
node/26681684,Nationaltheatret,halt,03010030,59.9153959,10.7281931
node/31375241,Vikersund,stop,,59.9692886,9.9982213
node/31375286,Geithus,stop,,59.9332301,9.9698513
node/31375855,Åmot,stop,,59.8913386,9.9134381
node/31376071,Daler,stop,,59.7481081,10.0797016
node/31376090,Gulskogen,stop,1,59.7438575,10.1594235
node/31376093,Sundland,stop,,59.7428826,10.1763387
node/31376137,Brakerøya,stop,602902002,59.7436847,10.2329144
node/31875974,Moss,stop,1,59.4320347,10.657003
node/32641847,Svingen,stop,,59.9290484,11.1774509
node/33044639,Sokna,stop,,60.241187,9.9262395
node/33054032,Ål,stop,06193170,60.6262595,8.5623562
node/33054648,Flå,stop,,60.4321488,9.4734287
node/33055127,Haugastøl,stop,,60.5113972,7.8700003
node/33055220,Nesbyen,stop,06163130,60.5768332,9.1132224
node/33055273,Ustaoset,stop,06203200,60.4964305,8.0451188
node/33055413,Gol,stop,06173150,60.6990565,8.9714018
node/33226160,Sarpsborg,stop,105527002,59.2860585,11.1181871
node/33765679,Makrellbekken,halt,,59.9417607,10.6738684
node/34550232,Lilleby,stop,,63.4399212,10.4321989
node/34846073,Lademoen,stop,,63.4372698,10.4165025
node/35219495,Gullhella,stop,220070001,59.806917,10.4362352
node/35219524,Heggedal,station,02200800,59.787028,10.4311279
node/35219560,Røyken,halt,06274340,59.7468031,10.3899346
node/36408716,Hakadal,stop,1,60.1174726,10.829088
node/36408795,Stryken,stop,,60.1657345,10.7201442
node/36425444,Monsrud,stop,,60.1928462,10.723467
node/36425462,Harestua,stop,,60.2074769,10.7236
node/36425532,Bjørgeseter,stop,,60.2334733,10.7134392
node/36425661,Lunner,stop,,60.3050327,10.5847539
node/36425787,Gran,stop,,60.3591673,10.5695883
node/43107147,Ammerud,stop,,59.9582672,10.871907
node/51982356,Movatn,stop,,60.0377431,10.8131429
node/89441529,Storlien,stop,1,63.3161314,12.0998548
node/190950654,Alvdal,stop,04381072,62.1088018,10.6331987
node/198022469,Vikhammer,stop,,63.4388565,10.6234905
node/227004719,Høn,halt,02200400,59.8436813,10.4560688
node/240487830,Høvik,station,02190200,59.9009344,10.5821874
