uri,sol_id,start,end
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/010d876dcf97a94f3e564e22a5d47463381d353d,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/NO-BN-01_NO0230-02114_NO0270-02118,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO0230-02114,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO0270-02118
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/01dc3d579357a102c5bf5784090c8569487466d6,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/NO-BN-01_NO0620-06080_NO0620-06085,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO0620-06080,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO0620-06085
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/020dfb934054b2d523ced8af845cfd313f9df7b1,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/NO-BN-01_NO0720-07340_NO0720-07360,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO0720-07340,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO0720-07360
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/02177ed42764ba8eda83504bd56b751aca744ae5,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/NO-BN-01_NO0560-05210_NO0560-05220,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO0560-05210,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO0560-05220
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/0222693bcd99c432afa6ef4e8aef6debba7f5cc7,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/NO-BN-01_NO1300-13072_NO1300-13080,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO1300-13072,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO1300-13080
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/02b7b6e1eeded891a7727021924cb28a0ba06917,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/NO-BN-01_NO2130-21800_NO2130-21810,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO2130-21800,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO2130-21810
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/038c3e4f59dfb849a7bc9dea45a5e8bb96573fe0,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/NO-BN-01_NO2311-23215_NO2311-23220,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO2311-23215,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO2311-23220
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/03f8c921f711e8fad20c15764ec83104a6f6a9de,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/NO-BN-01_NO0220-02020_NO0220-02040,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO0220-02020,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO0220-02040
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/044e0911953ddd66cdb86435e907ca8994364fb1,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/NO-BN-01_NO0620-06110_NO0620-06120,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO0620-06110,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO0620-06120
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/066e47771ee0dc8ef39204319608be06f7cbc212,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/NO-BN-01_NO1510-15010_NO1510-15040,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO1510-15010,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO1510-15040
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/076ca58acc805e3fe80e7002b095631d91922b35,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/NO-BN-01_NO1320-13350_NO1320-13370,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO1320-13350,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO1320-13370
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/07c6e4b7acab57d722f1ae9de46eb7c3bff6eef2,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/NO-BN-01_NO1610-16080_NO1610-16090,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO1610-16080,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO1610-16090
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/085392fd20e6387c7338a1ccaa54a0171cff0c22,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/NO-BN-01_NO0270-02118_NO0270-02260,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO0270-02118,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO0270-02260
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/08b0faea44699a9bf6ec9c846ee7d1a0d8f856fd,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/NO-BN-01_NO0230-02120_NO0230-02130,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO0230-02120,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO0230-02130
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/0abfe637795b77a249913db7a4091d724731b6d9,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/NO-BN-01_NO0720-07390_NO0721-07400,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO0720-07390,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO0721-07400
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/0b0f99e6bf1f6231d47f2871d91770745d2e9f79,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/NO-BN-01_NO2130-21754_NO2130-21760,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO2130-21754,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO2130-21760
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/0b15563267a5ac2aba6996ebaf5c1bba4a4c97c0,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/NO-BN-01_NO2120-21270_NO2120-21300,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO2120-21270,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO2120-21300
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/0c12576add9ccdf21bfb511aeb464d2dd0fc1c86,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/NO-BN-01_NO1340-13640_NO1340-13642,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO1340-13640,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO1340-13642
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/0c678bb7949a76974020da9b3837e808c5c70965,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/NO-BN-01_NO1610-16120_NO1610-16150,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO1610-16120,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO1610-16150
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/0d43573c2a524061190793425919d46c591b8f91,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/NO-BN-01_NO2130-22090_NO2130-22120,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO2130-22090,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO2130-22120
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/0dc12c4a16ac5d8a10b52deced9a4c3f5b5a5316,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/NO-BN-01_NO2330-23330_NO2330-23340,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO2330-23330,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO2330-23340
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/10593d7f252786893d09239ad0dfd4b6b237054d,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/NO-BN-01_NO0280-02160_NO0700-07020,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO0280-02160,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO0700-07020
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/1086fa7d34781122d045b23d9da972e81ac14c01,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/NO-BN-01_NO2330-23340_NO2330-23350,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO2330-23340,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO2330-23350
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/11f92757282d12dd3b945310476b6bd1f7b245a6,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/NO-BN-01_NO0720-07320_NO0720-07330,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO0720-07320,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO0720-07330
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/123ff475ca1b523ef5363c640a153208071247fe,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/NO-BN-01_NO1330-13570_NO1340-13610,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO1330-13570,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO1340-13610
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/1252ae4349d0ed77866cae00953a045eed3daf68,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/NO-BN-01_NO1120-11261_NO1200-12010,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO1120-11261,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO1200-12010
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/13a696a49c46b6bfff9e2fd186f08c505f4ef841,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/NO-BN-01_NO1111-11090_NO1111-11100,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO1111-11090,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO1111-11100
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/140a47355c3850de7ba292b73c966b3dfef36c66,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/NO-BN-01_NO2220-22240_NO2220-22250,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO2220-22240,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO2220-22250
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/14563e2600122203941e1ccd116942e33f91d920,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/NO-BN-01_NO2130-21820_NO2130-21840,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO2130-21820,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO2130-21840
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/14e2c8bdaf1b3a3c1bad7d0fd163ec696e792c4e,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/NO-BN-01_NO0670-06270_NO0670-06280,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO0670-06270,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO0670-06280
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/14e5a9fdce6f9192e51472b6a1c387419ca3fa4e,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/NO-BN-01_NO0310-03210_NO0310-03220,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO0310-03210,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO0310-03220
http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/14ebd1e56751a0cee3972ba3e4710b2e1e161386,http://data.europa.eu/949/functionalInfrastructure/sectionsOfLine/NO-BN-01_NO2220-22210_NO2220-22230,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO2220-22210,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/NO2220-22230
