start,end
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/008d7fbeed3dd44b3da77dcabbdba0a760a2d425,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f711dcef64d1d45b57536f6e7c669e1fd78ad5db
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/04f4545eaa2be42ac40a71b8be3d92bb6b6f5209,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/49761431899969c184d1b648b3714e10c2718ac7
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f1185054c44513070d9f5efd701a5aed202ceb11,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ee339566c25f28d7efc61f6cf6f53c99a8afaf15
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a5d5ad0d2c9ffadccd8a8c3a305c02088c71c8c1,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2ca6c38a23a434825697863d3324545643f66777
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6761068a4e72e82129cbd8eac49febc85f848724,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/92c50ad01f2ecb2f717bd4adb3c1dd73f623ea90
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b3a31ef935dafb02d70acadc16b994ea67d59fa4,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fbd7ec004667dec6c5d98faf37d9d9cf44c1af9f
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1893bf6c9150e574432b37843536186c103c5b36,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/008dc5a2feb3837bcd8a21d28e89cb410869674b
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2d0dbd690857b6a27a6f43a823d7cd08570a9a6f,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7386144d8f58dc0c898518e842345de020c7e69e
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/445e8c7c7c4cda067ab8b4bf43eb19f9cfc2f879,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/14e3b25f83e4939485477fa67ba4183e464a88bd
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/af65e91cd84c160ef0cd14f2fbb182141ae93d77,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f7de466e994b79c5209d6cfa5acc7d9fb6c1058c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2b85fdfe2d1166dfeb7728ce3b8cd8340fe80322,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b1f886e5f250ca81db5516552e9b25e0291e2e1e
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b6a9aa02e430533373161ff0318595529ff2de54,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f1185054c44513070d9f5efd701a5aed202ceb11
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/85efa7a87011709586b1010c40af162bca3812b8,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ec68fc390cb29c6abc63ed39982e1b7e1d3c2619
