id,name,lat,lon,osm_elements,min_distance_m,within_threshold,osm_type_compatible,error
EU00048,Gr. (Zittau) L.346 km 24.528,50.8936,14.831,0,,False,,
EU00049,Zgorzelec (Gr),51.1441,14.9926,0,,False,,
EU00050,Bielawa Dolna (Gr),51.2874,15.0326,10,130.4,False,True,
EU00051,Zasieki (Gr),51.738,14.6617,0,,False,,
EU00052,Gubin (Gr),51.9741,14.7074,4,42.6,True,True,
EU00053,Kunowice (Gr),52.3226,14.5786,13,62.4,True,True,
EU00054,Kostrzyn (Gr),52.5824,14.6306,7,40.5,True,True,
EU00055,Szczecin Gum/Tan(Gr),53.3272,14.4165,3,138.7,False,True,
EU00056,Szczecin Gum/Gra(Gr),53.4174,14.3753,0,,False,,
EU00057,Gr. (Trzciniec Zg.) L.348 km 0.200,50.9497,14.8957,20,90.5,True,True,
EU00058,Gr. (Ręczyn) L.324 km 0.689,51.048,14.9579,4,134.5,False,True,
EU00064,Zawidów (Gr),51.0122497,15.0379603,7,1.1,True,True,
EU00066,Lubawka (Gr),50.6862142,15.9847073,4,0.5,True,True,
EU00067,Mieroszów (Gr),50.6363285,16.2203686,5,0.3,True,True,
EU00069,Międzylesie (Gr),50.098529,16.6910866,6,6.3,True,True,
EU00070,Głuchołazy (Gr),50.3073883,17.3533552,6,8.8,True,True,
EU00071,Gr. (Pokrzywna) L.333 Km 11.225,50.2747098,17.504755,3,2.2,True,True,
EU00072,Chałupki (Gr),49.916393,18.322469,10,4.8,True,True,
EU00074,Zebrzydowice (Gr),49.8844722,18.5701565,10,1.1,True,True,
EU00075,Cieszyn Marklowice (Gr),49.7521247,18.6187543,16,1.1,True,True,
EU00142,Trakiszki (Gr),54.26487,23.22999,4,5.0,True,True,
EU00158,Zwardoń (Gr),49.50388,18.97193,22,1.1,True,True,
EU00159,Muszyna (Gr),49.29605,20.92397,6,0.6,True,True,
EU00160,Łupków (Gr),49.25086,22.03846,6,9.1,True,True,
EU00173,Medyka (Gr),49.8051,22.9615,9,5.1,True,True,
EU00174,Werchrata (Gr),50.2408,23.5254,5,3.9,True,True,
EU00175,Hrebenne (Gr),50.2949,23.6076,7,3.8,True,True,
EU00178,Dorohusk (Gr),51.1799,23.8127,11,9.6,True,True,
EU00179,Terespol (Gr),52.0912,23.6221,0,,False,,
EU00180,Czeremcha (Gr),52.4645,23.3523,5,7.5,True,True,
EU00181,Siemianówka (Gr),52.939,23.9166,9,6.2,True,True,
EU00182,Kuźnica Białostocka (Gr),53.5444,23.6516,12,6.5,True,True,
EU00183,Skandawa (Gr),54.3335,21.3032,8,2.1,True,True,
EU00184,Braniewo (Gr),54.4366,19.8735,8,4.8,True,True,
EU00191,Granica Państwa (HRADEK NAD NISOU),50.86917,14.83999,3,3.6,True,True,
PL00002,Tarnowskie Góry TGC,50.470599,18.889588,77,9.6,True,True,
PL00003,Tarnowskie Góry TGB,50.462997,18.879642,111,3.6,True,True,
PL00004,Tarnowskie Góry TGE,50.494589,18.899886,55,9.8,True,True,
PL00005,Kraków Nowa Huta Nha,50.088831,20.120394,89,13.0,True,True,
PL00006,Zabrzeg Czarnolesie ZCA,49.906472,18.91999,14,172.8,False,True,
PL00007,Zabrzeg Czarnolesie ZCB,49.90235,18.887044,17,23.0,True,True,
PL00008,Poznań Franowo PFA,52.387182,17.018664,162,6.8,True,True,
PL00009,Poznań Franowo PFC,52.367445,16.973407,70,8.2,True,True,
PL00010,Szczecin Port Centralny,53.41023,14.570153,53,30.1,True,False,
PL00014,Poznań Franowo Pfd,52.372496,16.990616,62,1.1,True,True,
PL00020,Szczecin Gumieńce,53.397819,14.494661,41,8.6,True,True,
PL00024,Szczecin Wzgórze Hetmańskie,53.407725,14.522067,47,24.6,True,True,
PL00026,Szczecin Pomorzany,53.413865,14.530164,27,0.4,True,True,
PL00027,Szczecin Główny,53.417822,14.548371,71,6.7,True,True,
PL00028,Szczecin Wstowo,53.39224,14.522143,25,12.0,True,True,
PL00029,Dziewoklicz,53.381595,14.539906,13,8.5,True,True,
PL00031,Stobno Szczecińskie,53.40885,14.436428,29,4.6,True,False,
PL00032,Dołuje,53.436302,14.414088,5,25.3,True,False,
PL00040,Szczecin Turzyn,53.42877,14.528377,16,44.2,True,True,
PL00041,Szczecin Pogodno,53.437545,14.523283,12,6.4,True,True,
PL00042,Szczecin Łękno,53.447611,14.523093,9,45.2,True,True,
PL00050,Szczecin Niebuszewo,53.448378,14.554471,33,10.4,True,True,
PL00052,Szczecin Drzetowo,53.449387,14.569664,9,1.0,True,True,
PL00053,Szczecin Żelechowa,53.460088,14.578871,6,126.0,False,True,
PL00054,Szczecin Golęcino,53.464506,14.5891,11,29.9,True,True,
PL00060,Szczecin Stołczyn,53.494429,14.614937,19,16.8,True,True,
PL00061,Szczecin Gocław,53.478843,14.606554,28,19.9,True,False,
PL00062,Szczecin Gocław,53.474357,14.601924,26,32.3,True,True,
PL00070,Police,53.549661,14.566036,14,37.5,True,True,
PL00071,Police Zakład,53.571386,14.553395,6,10.0,True,False,
PL00072,Szczecin Skolwin,53.516978,14.614758,21,36.0,True,True,
PL00073,Szczecin Mścięcino,53.535211,14.58052,4,25.6,True,True,
PL00075,Jasienica,53.58824,14.543009,12,1.2,True,False,
PL00076,Dębostrów,53.610854,14.512072,2,135.8,False,False,
PL00077,Niekłończyca Uniemyśl,53.624514,14.505293,3,24.9,True,False,
PL00078,Trzebież Szczeciński,53.653718,14.500993,15,37.6,True,False,
PL00079,Jasienica ZCHP,53.584513,14.546264,34,4.5,True,True,
PL00080,Szczecin Podjuchy,53.360323,14.586433,23,28.8,True,True,
PL00082,Daleszewo,53.306156,14.52906,10,2.4,True,True,
PL00083,Czepino,53.284716,14.512445,12,26.0,True,True,
PL00084,Dolna Odra,53.211236,14.480997,14,5.4,True,True,
PL00085,Gryfino,53.254522,14.492952,18,18.1,True,True,
PL00086,Widuchowa,53.12368,14.44616,9,3.0,True,True,
PL00089,Krzywin Gryfiński,53.087681,14.454019,15,9.7,True,True,
PL00091,Pacholęta,53.171062,14.471375,7,18.2,True,True,
PL00100,Świnoujście,53.904783,14.266727,47,7.2,True,True,
PL00102,Międzyzdroje,53.924199,14.454994,9,20.4,True,True,
PL00103,Lubiewo,53.915424,14.418082,19,2.0,True,True,
PL00104,Świnoujście Przytór,53.89743,14.336747,50,6.7,True,True,
PL00105,Świnoujście Warszów,53.900294,14.285911,29,4.7,True,True,
PL00107,Świnoujście Port,53.901189,14.260335,74,3.1,True,True,
PL00110,Szczecin Dąbie,53.391362,14.670444,56,2.1,True,True,
PL00111,Szczecin Zdroje,53.376842,14.6261,13,14.6,True,False,
PL00112,Szczecin Zdroje,53.378827,14.63709,16,2.5,True,True,
PL00113,Regalica,53.375035,14.594979,17,6.0,True,True,
PL00116,Szczecin Dąbie SDC,53.400881,14.692382,27,4.1,True,True,
PL00117,Szczecin Dąbie Osiedle,53.40339,14.694973,5,7.7,True,True,
PL00118,Szczecin Załom,53.428752,14.742785,10,3.4,True,True,
PL00119,Kliniska,53.460932,14.783987,20,7.3,True,True,
PL00121,Szczecin Zdunowo,53.383031,14.765364,17,0.8,True,True,
PL00140,Goleniów,53.559467,14.839679,29,3.2,True,True,
PL00141,Rurka,53.493623,14.795879,20,0.7,True,True,
PL00142,Białuń,53.614366,14.840523,13,7.8,True,True,
PL00143,Łoźnica,53.6898,14.866009,15,9.6,True,True,
PL00156,Wysoka Kamieńska,53.825331,14.832161,35,9.3,True,True,
PL00157,Parłówko,53.845541,14.749968,18,22.1,True,True,
PL00158,Troszyn,53.844208,14.718608,8,22.2,True,True,
PL00159,Recław,53.845181,14.640997,13,15.4,True,True,
PL00161,Warnowo,53.928105,14.533693,11,9.2,True,True,
PL00162,Ładzin,53.910522,14.562748,9,32.2,True,True,
PL00163,Mokrzyca Wielka,53.876115,14.579045,15,2.2,True,True,
PL00164,Wolin,53.848689,14.609562,9,2.9,True,True,
PL00165,Kamień Pomorski,53.966107,14.773951,22,13.6,True,True,
PL00167,Jarszewo,53.929552,14.800057,6,4.9,True,True,
PL00168,Górki Pomorskie,53.899131,14.824283,3,76.9,True,True,
PL00171,Rokita,53.765531,14.855501,15,40.6,True,True,
PL00172,Stawno,53.867585,14.827732,4,3.8,True,True,
PL00185,Nowogard,53.666108,15.12118,20,4.1,True,True,
PL00186,Wyszomierz,53.625829,15.063335,3,11.3,True,True,
PL00187,Osina,53.608827,15.012443,6,3.8,True,True,
PL00188,Mosty,53.574039,14.939991,4,8.3,True,True,
PL00193,Port Lotniczy Szczecin Goleniów,53.593608,14.897691,5,19.0,True,True,
PL00194,Mosty,53.571172,14.925538,4,94.7,True,False,
PL00195,Płoty,53.808157,15.261287,19,9.9,True,True,
PL00196,Wyszogóra,53.742944,15.209876,3,131.0,False,False,
PL00197,Żabowo,53.7172,15.190011,4,6.2,True,True,
PL00214,Trzebiatów,54.060462,15.277548,22,14.4,True,True,
PL00215,Gąbin,54.010612,15.28689,3,10.8,True,True,
PL00216,Górzyca Reska,53.969432,15.233504,4,2.2,True,True,
PL00217,Gryfice,53.915008,15.191789,38,6.5,True,True,
PL00218,Baszewice,53.863146,15.192307,4,49.0,True,True,
PL00220,Stargard,53.339573,15.031147,74,3.6,True,True,
PL00221,Ulikowo,53.348607,15.11762,15,13.0,True,True,
PL00222,Gogolewo,53.372489,15.177117,7,33.6,True,True,
PL00225,Reptowo,53.372882,14.859461,31,5.9,True,False,
PL00227,Miedwiecko,53.364776,14.9242,21,5.0,True,True,
PL00231,Grzędzice,53.358278,14.972589,20,0.6,True,True,
PL00232,Kolin,53.245022,15.123906,23,0.5,True,True,
PL00232,Kolin,53.245153,15.123789,23,12.8,True,True,
PL00234,Witkowo Pyrzyckie,53.285938,15.075901,13,4.0,True,True,
PL00235,Strzebielewo,53.26145,15.10919,27,11.0,True,True,
PL00236,Morzyca,53.218525,15.155457,21,7.2,True,True,
PL00238,Dolice,53.198638,15.21097,21,19.9,True,True,
PL00242,Tarnowo Pomorskie,53.306382,15.3658,11,11.4,True,True,
PL00243,Barzkowice,53.32702,15.264161,3,9.8,True,True,
PL00244,Sulino,53.318063,15.314897,4,1.3,True,True,
PL00245,Ognica,53.316045,15.454189,7,17.1,True,True,
PL00246,Sokoliniec,53.294029,15.505517,3,3.8,True,True,
PL00247,Recz Pomorski,53.270626,15.561292,8,30.3,True,True,
PL00248,Pęzino,53.335439,15.196055,4,33.8,True,True,
PL00255,Stargard Kluczewo,53.295159,15.004229,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
PL00256,Stargard Osiedle,53.318437,15.031819,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
PL00259,Warnice Dębica,53.258885,14.97747,5,28.8,True,False,
PL00261,Obryta,53.22322,14.953207,2,43.1,True,False,
PL00262,Okunica,53.190311,14.942909,1,2312.3,False,False,
PL00265,Pyrzyce,53.145664,14.880523,28,11.4,True,False,
PL00282,Mielęcin Myśliborski,53.069716,14.899464,2,39.3,True,False,
PL00284,Lipiany,53.002551,14.952565,4,48.0,True,False,
PL00285,Nowielin,53.106344,14.877625,3,38.1,True,False,
PL00299,Szczecinek Chyże,53.718028,16.697717,3,38.4,True,True,
PL00300,Szczecinek,53.693509,16.704902,63,2.4,True,True,
PL00301,Iwin,53.795016,16.515548,12,8.2,True,True,
PL00302,Łubowo,53.583872,16.389595,20,11.9,True,True,
PL00303,Dalęcino,53.747823,16.608737,13,1.8,True,True,
PL00304,Przeradz,53.770534,16.536729,6,6.0,True,True,
PL00305,Gwda Mała,53.731917,16.827761,8,15.1,True,True,
PL00307,Drzonowo,53.806928,16.866239,5,10.0,True,True,
PL00308,Biały Bór,53.886853,16.85546,10,6.8,True,True,
PL00309,Silnowo,53.634888,16.491624,9,20.5,True,True,
PL00311,Jelenino,53.659343,16.625209,7,3.3,True,True,
PL00313,Czarne,53.68004,16.938008,18,4.5,True,True,
PL00314,Czarnobór,53.699811,16.766808,6,14.2,True,True,
PL00315,Żółtnica,53.695268,16.812205,6,24.3,True,True,
PL00316,Domisław,53.668059,17.032507,10,12.8,True,True,
PL00317,Bińcze,53.660147,17.128321,18,11.4,True,True,
