osm_id,name_osm,type_osm,ref_osm,lat_osm,lon_osm,nearest_op_uri,nearest_op_id,nearest_op_name,nearest_distance_m
node/9982294591,Chojnice,stop,,53.6891104,17.5783375,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9c371c2f964dbd627f2d9d0ae1eb5fab0db061f0,PL01560,Chojnice,200.2
node/9982294595,Chojnice,stop,,53.6889435,17.5785953,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9c371c2f964dbd627f2d9d0ae1eb5fab0db061f0,PL01560,Chojnice,200.2
node/1402600428,Rębiechowo,halt,,54.3870599,18.4190224,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5c996abdac09ea3c6bcbc1c86fc463f2f940505a,PL01787,Rębiechowo,200.4
node/1729229709,Przybyłowice,halt,,51.1251361,16.1586891,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e38bf3cfc66eae7f3902d24209a11e4e32a27c49,PL05358,Przybyłowice,200.6
node/9930003216,Gdańsk Główny,stop,,54.3570497,18.6451608,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5f3990796154636f1a0560c088b666e54b4b5f5a,PL00750,Gdańsk Główny,200.7
node/9124654968,Sierakówek,stop,,52.3707078,19.4205652,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/74304ffa7a8c4f1b4f93da1674ea61f22b564145,PL03234,Sierakówek,200.9
node/2157507617,Sierakówek,station,Sr,52.3707152,19.4205021,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/74304ffa7a8c4f1b4f93da1674ea61f22b564145,PL03234,Sierakówek,201.7
node/6057242295,Sopot,stop,,54.4400243,18.5622837,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/84daeac3b567a6978557e5b88d7153292c250fc6,PL00594,Sopot,201.9
node/11020859342,Kostrzyn,stop,,52.5930952,14.6476681,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2d5ad78cdc2fca6177c3789953718b3a73dab203,PL01300,Kostrzyn,202.1
node/11020859343,Kostrzyn,stop,,52.5930854,14.6477326,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2d5ad78cdc2fca6177c3789953718b3a73dab203,PL01300,Kostrzyn,202.1
node/9124654969,Sierakówek,stop,,52.3707298,19.4204298,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/74304ffa7a8c4f1b4f93da1674ea61f22b564145,PL03234,Sierakówek,202.1
node/5677603979,Sopot,stop,,54.4400303,18.5623595,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/84daeac3b567a6978557e5b88d7153292c250fc6,PL00594,Sopot,202.1
node/9982294593,Chojnice,stop,,53.6890552,17.578472,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9c371c2f964dbd627f2d9d0ae1eb5fab0db061f0,PL01560,Chojnice,202.2
