id,name,lat,lon,uri,country,distance_to_border_m
PT30007,Lisboa Santa Apolónia,38.7137,-9.123,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0b29d452162b5987c779f85daea2fdedd88d56d7,http://publications.europa.eu/resource/authority/country/PRT,2508.21
PT30759,Armazém 21,38.7331,-9.1039,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0060b9e21fd739475100bfc90470c7e47f032789,http://publications.europa.eu/resource/authority/country/PRT,2784.64
PT95018,Ramal Barreiro - Quimigal,38.6612,-9.07,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/056a097871b07702ab3e082ac01c583d572fa267,http://publications.europa.eu/resource/authority/country/PRT,369.0
PT30601,Ramal da Sotagus (Inserção lado Matinha),38.7251,-9.1111,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1a250918d1c108c4db806d6359652290103b9261,http://publications.europa.eu/resource/authority/country/PRT,2721.34
PT95612,Oficinas EMEF Barreiro,38.6584,-9.0751,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1dfdd5dbcee8da8f9b44326a2cb4a07519915fb3,http://publications.europa.eu/resource/authority/country/PRT,321.32
PT38612,Porto de Aveiro (Extremo),40.6489,-8.7327,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2aae96a07a3734d9e6a9cc1853743d84793f518c,http://publications.europa.eu/resource/authority/country/PRT,1524.14
PT69500,Ramal Liscont (Inserção),38.6997,-9.1789,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2ab6977a385be6783e903a1bb9d364f83176de41,http://publications.europa.eu/resource/authority/country/PRT,490.62
PT95604,Oficinas EMEF Barreiro (Inserção),38.6558,-9.0782,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3cd3c2348dd6b1b7d1e63ebe5916534c8c351279,http://publications.europa.eu/resource/authority/country/PRT,205.18
EU00123,Valença Fronteira,42.0363,-8.64676,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3d04cc6e3bb5557e95ebd0b52e31e1e20a5895a7,http://publications.europa.eu/resource/authority/country/PRT,527.98
PT30858,Silapor,38.7356,-9.1025,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3e912e5783c22e9ce326d2b57b5488183216bdbd,http://publications.europa.eu/resource/authority/country/PRT,2740.83
PT95026,Barreiro-A,38.6598,-9.0716,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/54df4c901257cf82e1ba1f0d710a504be93a7c15,http://publications.europa.eu/resource/authority/country/PRT,303.4
PT30502,Ramal da Sotagus (Inserção lado Sta Apolónia),38.7221,-9.1137,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5ed5cb63b99e32d6fa8219d3480655f05b62c435,http://publications.europa.eu/resource/authority/country/PRT,2705.05
PT95620,Ramal Barreiro Terra (Inserção),38.6572,-9.0762,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6e126da1ac8bfad4b749d1838f3c151fcb055e85,http://publications.europa.eu/resource/authority/country/PRT,253.17
PT30452,Terminal de Contentores Sta Apolónia,38.7202,-9.1152,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7d7537ab770da4d2839f060b51b2dee37e00122a,http://publications.europa.eu/resource/authority/country/PRT,2705.69
PT69203,Parede,38.6897,-9.3564,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7faddb342cb064d46b9c87262d596bcaafd5bc52,http://publications.europa.eu/resource/authority/country/PRT,35.05
PT30403,Terminal de Contentores Sta Apolónia (Inserção),38.7187,-9.1167,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/88b19744578475b68b9b708c875757a405d1815d,http://publications.europa.eu/resource/authority/country/PRT,2682.57
PT95034,Barreiro - Terra,38.6604,-9.0699,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8ae6bdd893908abb0a94878cf6222915bb407567,http://publications.europa.eu/resource/authority/country/PRT,286.93
PT95638,Ramal Barreiro - Quimigal (Inserção),38.6623,-9.0614,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9699fdbfced5d43e7b78eb725c2feb17d7650e4f,http://publications.europa.eu/resource/authority/country/PRT,97.85
PT69005,Cais do Sodré,38.706,-9.1453,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9b2b1c671e1a6277fa5af573cf3ff06cf6a8e5de,http://publications.europa.eu/resource/authority/country/PRT,1296.86
PT99119,Terminal XXI,37.9396,-8.8436,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a58a81a4630d4d14fc3bcbee9e50cefb728db543,http://publications.europa.eu/resource/authority/country/PRT,226.46
