id,name,lat,lon,osm_elements,min_distance_m,within_threshold,osm_type_compatible,error
EU00123,Valença Fronteira,42.0363,-8.64676,3,3.8,True,True,
EU00124,Vilar Formoso Fronteira,40.6057,-6.826,12,2.4,True,True,
EU00125,Elvas Fronteira,38.92024,-7.03015,3,4.6,True,True,
PT00026,Valença Fronteira,42.0362,-8.6466,3,18.5,True,False,
PT01008,Porto São Bento,41.1456,-8.6105,70,32.3,True,True,
PT02006,Porto Campanhã,41.1487,-8.5848,76,4.9,True,True,
PT03004,Contumil,41.1687,-8.5748,89,1.2,True,True,
PT03020,Agulha de inserção na Linha do Minho,41.1677,-8.576,77,17.5,True,True,
PT03038,Rio Tinto,41.1846,-8.5571,18,7.6,True,True,
PT03046,Águas Santas,41.1994,-8.5562,10,116.2,False,True,
PT03053,Palmilheira,41.2012,-8.5566,19,8.0,True,True,
PT04002,Ermesinde,41.217,-8.5542,41,13.2,True,True,
PT04010,Travagem,41.2283,-8.5518,12,45.9,True,True,
PT04028,Ramal Leandro Cimpor (Inserção - lado Ermesinde),41.2356,-8.5538,35,5.2,True,True,
PT04036,Leandro,41.2438,-8.5567,14,5.4,True,True,
PT04044,Ramal Leandro Siderurgia (Inserção),41.2489,-8.5574,13,12.9,True,True,
PT04051,São Frutuoso,41.2584,-8.5581,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
PT04069,Ucanorte,41.2569,-8.5582,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
PT04077,São Romão,41.2776,-8.5541,20,2.3,True,True,
PT04085,São Romão - A,41.2726,-8.5593,3,93.5,True,False,
PT04101,Portela,41.3021,-8.5494,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
PT04135,Agulha de inserção na Linha do Minho,41.2213,-8.553,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
PT04275,Ramal Leandro Cimpor (Inserção - lado Leandro),41.2413,-8.5559,17,3.7,True,True,
PT04309,Leandro Cimpor,41.2385,-8.5546,28,26.6,True,True,
PT04408,Leandro Siderurgia,41.2531,-8.5574,29,20.4,True,True,
PT04432,Ramal Ucanorte (Inserção),41.255,-8.5579,31,2.1,True,True,
PT04507,Colpor,41.3276,-8.5585,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
PT04614,Ramal da Colpor (Inserção),41.3147,-8.5534,9,3.3,True,True,
PT04622,Senhora das Dores,41.3229,-8.5516,2,187.1,False,False,
PT04630,Trofa,41.3346,-8.5479,5,88.9,True,False,
PT04655,Triagem Colpor,41.3204,-8.5552,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
PT05009,Lousado ,41.3512,-8.5262,38,8.3,True,True,
PT05017,Agulha de inserção na Linha do Minho,41.35,-8.53,18,26.1,True,True,
PT05025,Ramal Lousoareias (Inserção),41.362,-8.5223,11,26.1,True,True,
PT05033,Esmeriz,41.3795,-8.5216,13,4.9,True,True,
PT05058,Barrimau,41.3898,-8.5262,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
PT05074,Famalicão,41.405,-8.5296,16,2.3,True,True,
PT05108,Mouquim,41.4289,-8.5221,14,7.6,True,True,
PT05116,Louro,41.4369,-8.5382,14,2.8,True,True,
PT05207,Lousoareias,41.3643,-8.5214,-1,,,,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter
PT06007,Nine,41.4554,-8.5451,40,25.8,True,True,
PT06015,Agulha de inserção na Linha do Minho,41.4526,-8.5427,25,11.6,True,True,
PT06056,Carreira,41.4868,-8.564,8,3.9,True,True,
PT06080,Midões,41.5083,-8.5819,16,8.9,True,True,
PT06122,Barcelos,41.5366,-8.609,31,6.1,True,True,
PT06130,Ramal Barcelos - Quimigal (Inserção),41.5458,-8.6131,6,1.7,True,True,
PT06155,Silva,41.5659,-8.6277,9,5.5,True,True,
PT06197,Carapeços,41.5856,-8.6329,9,11.3,True,True,
PT06213,Tamel,41.6088,-8.6348,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
PT06262,Durrães,41.6391,-8.667,8,4.0,True,True,
PT06304,Barroselas,41.6463,-8.7011,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
PT06312,Senhora das Neves,41.6467,-8.721,-1,,,,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter
