osm_id,name_osm,type_osm,ref_osm,lat_osm,lon_osm,nearest_op_uri,nearest_op_id,nearest_op_name,nearest_distance_m
node/1207580774,Senhor de Matosinhos,stop,,41.188208,-8.6851606,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8c0246f86d54b7612a873e30041a17176ec13902,PT21154,Leixões,212.5
node/1139843658,Pinhal Novo,stop,1,38.6302742,-8.9128442,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7f8a8dd6f6b9974d0dba55fe4ea2c995205ec93b,PT68007,Pinhal Novo,213.5
node/947587140,Pinhal Novo,stop,2,38.6302329,-8.9128412,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7f8a8dd6f6b9974d0dba55fe4ea2c995205ec93b,PT68007,Pinhal Novo,213.6
node/1139843742,Pinhal Novo,stop,3,38.6301422,-8.9128346,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7f8a8dd6f6b9974d0dba55fe4ea2c995205ec93b,PT68007,Pinhal Novo,214.3
node/10784532217,Pinhal Novo,station,PNO,38.6301158,-8.9128325,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7f8a8dd6f6b9974d0dba55fe4ea2c995205ec93b,PT68007,Pinhal Novo,214.5
node/1139844023,Pinhal Novo,stop,4,38.630096,-8.9128319,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7f8a8dd6f6b9974d0dba55fe4ea2c995205ec93b,PT68007,Pinhal Novo,214.7
node/6634498467,Senhor de Matosinhos,station,,41.188188,-8.6852027,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8c0246f86d54b7612a873e30041a17176ec13902,PT21154,Leixões,215.3
node/4068484756,Senhor de Matosinhos,stop,,41.1881781,-8.6851513,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8c0246f86d54b7612a873e30041a17176ec13902,PT21154,Leixões,215.7
node/1139844191,Pinhal Novo,stop,5,38.6299966,-8.912824,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7f8a8dd6f6b9974d0dba55fe4ea2c995205ec93b,PT68007,Pinhal Novo,216.3
node/257943176,Pinhal Novo,stop,6,38.6299555,-8.912821,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7f8a8dd6f6b9974d0dba55fe4ea2c995205ec93b,PT68007,Pinhal Novo,217.0
node/1390706389,Campanhã,stop,,41.1507324,-8.5856206,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3b1f9b1031c59f2cbb69084174da07f1a4cf07e6,PT02006,Porto Campanhã,236.2
node/6630378103,Campanhã,station,,41.150734,-8.585639,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3b1f9b1031c59f2cbb69084174da07f1a4cf07e6,PT02006,Porto Campanhã,236.8
node/2163915165,Campanhã,stop,,41.1507357,-8.5856572,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3b1f9b1031c59f2cbb69084174da07f1a4cf07e6,PT02006,Porto Campanhã,237.5
node/13190910544,Faro,stop,7,37.0204635,-7.9411819,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e1cf62578552ea5ec427247d99d69dc77963184d,PT73007,Faro,260.2
node/11305016916,Entrecampos,stop,,38.7470324,-9.1481645,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/11a105db408c9029fc05e286e9302e50735b3dc2,PT66050,Entrecampos,261.9
node/246763964,Entrecampos,stop,,38.7470271,-9.1481984,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/11a105db408c9029fc05e286e9302e50735b3dc2,PT66050,Entrecampos,262.3
node/11307500428,Entrecampos,station,,38.7470462,-9.1482017,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/11a105db408c9029fc05e286e9302e50735b3dc2,PT66050,Entrecampos,264.4
node/3397147909,Araújo,stop,,41.2168846,-8.6410106,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/067438f61aad18634ad882e0cd0672d2e396442e,PT21709,Ramal Leça do Balio Petroquímica,279.6
node/6632407683,Araújo,station,,41.2168863,-8.6410331,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/067438f61aad18634ad882e0cd0672d2e396442e,PT21709,Ramal Leça do Balio Petroquímica,280.0
node/280189647,Araújo,stop,,41.2168878,-8.6410522,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/067438f61aad18634ad882e0cd0672d2e396442e,PT21709,Ramal Leça do Balio Petroquímica,280.5
node/256978160,Jardim Zoológico,station,,38.7420882,-9.1689132,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b43f23c852c85f17c60784b43b408e6696fb25af,PT66076,Sete Rios,285.4
node/4078402273,Nasoni,stop,,41.1706503,-8.5772463,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/45a77ba27ab0b5d5176f7310efeda5fa555c0d38,PT03004,Contumil,298.3
node/3381779248,Nasoni,stop,,41.1706627,-8.5772828,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/45a77ba27ab0b5d5176f7310efeda5fa555c0d38,PT03004,Contumil,301.4
node/4796000047,Trofa,stop,1,41.3373719,-8.5476717,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/509e60c4165120c35ce8de5a07870cda9ec98eeb,PT04630,Trofa,308.8
node/4796000046,Trofa,halt,TRO,41.3373717,-8.5476456,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/509e60c4165120c35ce8de5a07870cda9ec98eeb,PT04630,Trofa,308.9
node/4796000048,Trofa,stop,2,41.3373719,-8.5476196,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/509e60c4165120c35ce8de5a07870cda9ec98eeb,PT04630,Trofa,309.1
node/1185192041,Contumil,stop,,41.1657244,-8.5786588,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1ba619d20f05c9c632dfec5d05237c354bd01b89,PT03020,Agulha de inserção na Linha do Minho,312.7
