start,end
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/dd36342c9c922f2debfcaa1f5e4fb660eb289dd0,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/baaeaf5fb705a9dbd98179202a5b7e3d1adf4033
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/553920e3ea92adf8de807c6862dcfc891974b3cf,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2de975b8b2e9edb3f18b70d72537d1ac8496481c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7efb590acbb443f7b36c1c83a9ebfea27f4c2e87,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/06b31095bf9e2b925aab0271bec4f0d38bff62a1
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5be2ac1e8e4e7c1bf554fdcf7f53041ab7c6cca1,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/36d39bf9686e32d16bacf11fb50d0bdde1b8ae39
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2b3aec87252921008853068f1c74ee06034f1293,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9fb09f8ad27fee6bba15cac73c2dbbbeced0af93
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/68a6526be48bc2c0003ecffe69711956f1fc896c,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/133755ca376365b43cd01db7c8b951023cb2b7a8
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/db8785a554210a0cf64ed007411412457adb8e59,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5183869c63da99c190073da2ab2bb8dd7859253f
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6db49a89781d9fce7e40f8614b3d528d6f6a204c,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3986099ebad3b2485c4fe66018a16ed986f289e8
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7ec102d1c7f31525b0ebf63c2d69173201570824,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c9e821a8e41c88e10b8659de4656792208cca1fa
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/234b528e47660db98701461b22f82a20e0fb1df7,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0d5efe63cdaae278041ceeb9abd20f1c2cdf93a4
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/24e814c9dcb9ea7c7ca13d643b0e86fce81e24cc,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/05ffa9a3107ec4437eea008b5033e0f5ed384450
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/357d67c0704c2f75376e0964415eb13a7660ed76,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7188b0d035108c22c1faad0da6c38d38e99d2114
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bd6b4871831e76e20db51d1a4007c4fc65a82c79,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ab1c77b582017557859651fd944c521d00e42faa
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6d19618aaa8ed55e4412917863763025325f0464,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/642f4b16f8ef4e94cccf75f85e0c607098e326a2
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/93b3ebab95b8b76c95dc7d010fc727e33e107afc,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a671a74c94224755fbb18ff69f80b44965e7751d
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ca84de75ba1eb3bda148355991fa0428df3044f1,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8ae9e606e530645fac415d77b6c6b902238262d2
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2321307ba17af5401b935d3f05d27e8435e0c30a,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f650d7f22be28e0d56549c4b5642197d0a42be1c
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2301d0f841041b7f780bf6c144dba4153630c787,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/164115b0facdec55ff4d98fc38ab81147a2a44e6
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d49f4898ecd436a333ad1507c10031b14f038ac3,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/256a1be08074a9eb2761bc55d7907305a688f038
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bc0b2a220357731b1fef771bb05c256b92dc0117,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/49f3478cc4f5f619b5fd974fff50e6cf27a60d9b
