id,name,lat,lon,uri,country,distance_to_border_m
EU00243,Vicsani FR.,47.9769,25.9639,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3cb7ef509a478ee097e23f70634c1a8b7f0b4d59,http://publications.europa.eu/resource/authority/country/ROU,979.0
EU00244,Ungheni Prut FR,47.1998,27.7869,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/77783326d05f442ec5be5049e8007b160c8a1b75,http://publications.europa.eu/resource/authority/country/ROU,653.33
RO81030,Constanţa Terminal Ferry Boat HM,44.0875,28.6538,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a0e313f9929ab7125bb59a982cacc5a7648f299a,http://publications.europa.eu/resource/authority/country/ROU,251.07
EU00242,Valea Viseului FR,47.9203,24.1683,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/017e25219b73b53ea3374a7604e6d407fd9c918e,http://publications.europa.eu/resource/authority/country/ROU,16.87
EU00241,Campulung pe Tisa FR,48.0011,23.7352,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bf4f55ca175fe178f631055a6d965eb1a309b0ec,http://publications.europa.eu/resource/authority/country/ROU,722.29
EU00210,Negru Voda FR,43.785906,28.151004,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/305fe56d441cbd78bf450837910cbfb3796b0c36,http://publications.europa.eu/resource/authority/country/ROU,303.51
EU00194,Episcopia Bihor FR,47.124529,21.792944,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/639834e0696cd01990e21acf47934ada01a57199,http://publications.europa.eu/resource/authority/country/ROU,282.76
EU00195,Salonta FR,46.760782,21.487366,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/85f6016e67898e5095643c0a2c9f0e012476cf89,http://publications.europa.eu/resource/authority/country/ROU,1180.42
EU00247,Jimbolia FR,45.7522,20.7011,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8f8c75a723d3c75a538453864c60e6fd5f4987c2,http://publications.europa.eu/resource/authority/country/ROU,1094.15
EU00197,Valea Lui Mihai FR,47.525013,22.031618,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c22f5826a124d8223c8d12893592de78c2230cf5,http://publications.europa.eu/resource/authority/country/ROU,627.64
EU00248,Stamora Moravita FR,45.2325,21.2714,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/dcf0e2a7eb6bf803dd72ce510be51c48e7d3d5cd,http://publications.europa.eu/resource/authority/country/ROU,439.21
EU00206,Giurgiu Nord FR,43.887193,26.007716,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f8bc881a68c239b9b1f723d49d526fcbd90bd733,http://publications.europa.eu/resource/authority/country/ROU,298.25
RO61092,Ungheni Prut HM,47.2014,27.7788,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/feafe3caa1f12e4e505ecc06967a831567ddfcef,http://publications.europa.eu/resource/authority/country/ROU,140.53
