osm_id,name,type,ref,lat,lon
node/31983306,Izvor,stop,,44.4330759,26.0901678
node/34073883,Vinga,stop,,46.0170651,21.1995301
node/122236985,Chitila,station,,44.5019885,25.9845891
node/125372978,Universitate,station,,44.4355629,26.1024682
node/126004763,Eforie Sud,station,,44.0338323,28.6447539
node/130252338,Zalhanaua,stop,,44.9079131,25.7863863
node/130252368,Ion Luca Caragiale Vest,halt,,44.9084838,25.6993438
node/144042138,Piața Sudului,station,,44.392454,26.1228383
node/148252269,Ovidiu,halt,,44.274103,28.5626155
node/153470924,Târgșoru Nou,station,,44.9192541,25.8575396
node/160383309,Zănoaga,stop,,44.8628305,26.2035021
node/177261732,Zalhanaua,station,,44.9079487,25.7863576
node/202013308,Sighișoara,stop,,46.2265282,24.7957408
node/224105286,Brănești Sat,halt,,44.4596122,26.3348996
node/242190943,Mediaș,station,,46.1599902,24.3495516
node/242698018,Felnac,halt,,46.1104395,21.1356109
node/242745476,Bătuța,station,,46.0562429,22.0456758
node/243075554,Beia,station,,46.1534591,25.1851253
node/243241485,Ferma Ciala,halt,,46.1953164,21.2363768
node/243339801,Războieni,station,,46.4117609,23.881645
node/243339834,Grindeni,halt,,46.4300363,23.9005368
node/243490747,Orăștie,station,,45.8614155,23.2100753
node/243494477,Stația Zam,stop,,46.0026509,22.4411404
node/243497509,Băcia hc,halt,,45.8047919,23.0023015
node/243505134,Vadu Rosu,halt,,45.8736994,25.5444949
node/243737034,Munar,halt,,46.0996502,21.0166991
node/243742579,,stop,,47.0706783,21.9361118
node/245463126,Iclod,stop,,46.9779851,23.8164893
node/245463144,Jucu de Jos hc,halt,,46.8776989,23.7736586
node/245471638,Macău,stop,,46.8472903,23.3135578
node/245471644,Dorolțu,stop,,46.8605991,23.3003466
node/245473261,Boju,halt,,46.7018612,23.8369203
node/245473319,Valea Florilor,halt,,46.6654362,23.8605309
node/245473391,Cinepiști,halt,,46.6076071,23.8468034
node/245475486,Rus,halt,,47.2849685,23.5926358
node/245801887,Halta Azomureș,halt,,46.5128462,24.5118335
node/245955723,Cristur,station,,46.2935195,25.0389097
node/245955733,Betești,halt,,46.2940342,25.0812846
node/245955739,Betești Est,halt,,46.28251,25.0994607
node/247416268,Gara Iași,station,,47.1654321,27.5697322
node/247426279,Sârca,stop,,47.2158787,27.1517561
node/247426312,Târgu Frumos,station,,47.2095343,27.0237013
node/248286493,Buftea,station,,44.5641025,25.9572775
node/251660798,Balotești,station,,44.5906021,26.0987412
node/251660832,Moara Vlăsiei,station,,44.6372686,26.2146535
node/253038028,Nicolina,station,,47.1488579,27.5776323
node/254316174,Halta Sărata,halt,,47.0813119,24.4293558
node/254318236,Monor-Gledin,station,,46.9611301,24.7040725
node/254499528,Cristești Jijia,station,,47.1696713,27.7246022
node/255387575,Pipera,station,,44.4806131,26.116635
node/255388736,Gara Obor,station,,44.448712,26.1404908
node/255441744,Grădiștea,stop,,44.2056139,26.1630588
node/255518728,Frunzănești,station,,44.3789901,26.3431791
node/256277342,Sărățel,station,,47.0605058,24.4039265
node/257011662,Giurgiu Nord,station,,43.9239278,25.9648349
node/258668249,Târgu Mureș,station,,46.533442,24.5490958
node/258668368,Târgu Mureș Nord,station,,46.5542854,24.5643108
node/258987961,Cluj Napoca,station,,46.7846249,23.5861692
node/259406267,Vișeu de Sus,station,,47.7013491,24.4389063
node/259406374,Vișeu de Jos,stop,,47.7208338,24.3671685
node/259406480,Bocicoel,halt,,47.73159,24.3350398
node/259853702,Tapia,stop,,45.6504196,21.9671457
node/260396172,Alba Iulia,station,,46.0562902,23.5765543
node/260770566,Unirea,halt,,46.3909584,23.8046662
node/261715032,Deva,stop,,45.8846287,22.9104386
node/262474154,Siculeni,station,,46.4291236,25.7744356
node/262686825,Remiza T. Socola h,station,,47.1404486,27.6462715
node/280734836,Snagov,halt,,44.708126,26.182907
node/287742882,Malul Mare Hm.,halt,,44.2554125,23.8970259
node/289852965,Merișor,stop,,45.4554913,23.2319551
node/289885850,Bacău,stop,,46.5656004,26.8946534
node/289895403,Roman,station,,46.9346624,26.9199022
node/291218367,Botizu,stop,,47.7977674,24.6481042
node/291218763,Mocănița Vișeu de Sus,station,,47.7147472,24.4430182
node/293317918,Aurel Vlaicu,station,,44.4791556,26.1002318
node/298703676,Brașov,stop,Linia 4,45.6617808,25.6138996
node/298703682,Brașov,stop,Linia 5,45.6618935,25.6139236
node/298704086,Pavilion CFR Brașov Triaj,halt,,45.6741929,25.6468838
node/301687829,Preciziei,station,,44.4305811,25.9909684
node/303278705,Piatra Neamț,station,,46.9271745,26.3602664
node/304631953,Sinaia,stop,,45.3522478,25.553079
node/304632574,Predeal,stop,,45.5050527,25.5758551
node/304633911,Ilieni hc,halt,,45.7262403,25.7632995
node/304917380,Gara de Nord 1,station,,44.4472354,26.0765661
node/304923523,Girbovi,station,,44.7731697,26.7845788
node/305109365,Izvor,station,,44.4330576,26.0895859
node/305109987,Piața Unirii 1,station,,44.4275409,26.1019218
node/305116719,Timpuri Noi,station,,44.4169594,26.113347
node/305123680,Dristor 1,station,,44.4193677,26.1404644
node/305123683,Mihai Bravu,station,,44.4112894,26.1258859
node/305136011,Petrache Poenaru,station,,44.4454258,26.0465519
node/306563335,Satu Mare Sud,station,,47.7720337,22.8701279
node/306568964,Botiz,station,,47.8251551,22.9372829
node/308400108,Măieruș,halt,,45.8989545,25.545932
node/311077921,Gara Urziceni,station,,44.7190336,26.6451447
node/312170383,Sagna,station,,46.9592171,27.0007838
node/312170423,Stănița,halt,,46.994143,27.0909758
