osm_id,name_osm,type_osm,ref_osm,lat_osm,lon_osm,nearest_op_uri,nearest_op_id,nearest_op_name,nearest_distance_m
node/1861506726,Gura Motrului,stop,,44.5735994,23.4325454,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a1538f3430f1a558dca8a135cec140cf14f4cb65,RO10926,Gura Motrului HM,200.1
node/8104304644,Patinoar PO,halt,,44.5671868,26.0672,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/89dd67102adcefd6948d550c6a35471c7eccf0b8,RO69991,Patinoar PO,200.3
node/775583905,Craiova,station,,44.3288256,23.8166865,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/78c1f40c5ed6f0543be94987f582428772eac837,RO10770,Craiova,200.8
node/3158583059,Zănești Neamț hc,halt,,46.8217971,26.5493093,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/02ccf54a2714e87c4dc0c9807d8ba41980441a90,RO53734,Zanesti Neamt PO,201.0
node/3120869837,Răcăciuni,station,,46.3321208,27.0116895,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0d5efe63cdaae278041ceeb9abd20f1c2cdf93a4,RO50964,Racaciuni PO,201.2
node/8464375491,Golenți,station,,43.980585,23.0517572,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bdd448a5ca479061cd03307839a10d5bbce5badb,RO15134,Golenti HM,201.8
node/3123888220,Rovinari,station,,44.9048167,23.1478586,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/62f3226bf486f8acb5901660fb7d9c20e31438e8,RO24616,Rovinari HM,202.9
node/648896019,Buzău Nord,station,,45.1666216,26.7733006,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/febc046a6547175c1c10e6c412c59c360abc8bbb,RO52259,Buzau Nord HM,203.1
node/3147825627,Brăești,halt,,47.8614504,26.4680641,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/27d41ad4faec15fa5fc6827009ddee83955494be,RO54324,Braiesti PO,204.1
node/7567097028,Lucăcești,stop,,47.5052984,26.1018731,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/386da982c771dcf5d6f1e9276cd1d83b3109998a,RO54506,Lucacesti PO,205.4
node/386612287,Vorniceni,halt,,47.9226103,26.6560469,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d18aa5f6cd1111be6cf6e255ed7e3899e862557a,RO63466,Vorniceni PO,205.7
node/1861506728,Gura Motrului,stop,,44.5736566,23.4325636,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a1538f3430f1a558dca8a135cec140cf14f4cb65,RO10926,Gura Motrului HM,206.5
node/8198131926,Barboși Triaj,station,,45.4045683,27.9581573,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/baaeaf5fb705a9dbd98179202a5b7e3d1adf4033,RO72649,Ram. Barbosi Triaj Post 14,207.6
node/3152748650,Bănești,station,,44.7374516,25.5692664,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/251037f25f070b307d401cbcf7353c0e51eb76a7,RO13124,Banesti PO,208.1
node/1900978068,Codlea,station,,45.6935223,25.4569323,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/209e666cd422072257c8213927614ee30c25737a,RO20050,Codlea HM,208.7
node/3120905822,Budăi,halt,,47.2178187,27.2206118,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d483ce1e77fbbb34df91fc130798e376bb8671bc,RO62797,Budai PO,210.8
node/3159852806,Preotești,halt,,47.456732,26.4166825,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e25ce1d56c52c538cf7332809eca33ea0dca39b0,RO54013,Preotesti PO,212.1
node/3123988106,Lucăcești,station,,47.5053277,26.1016747,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/386da982c771dcf5d6f1e9276cd1d83b3109998a,RO54506,Lucacesti PO,212.5
node/8990069572,Dagâţa,station,,46.9179875,27.2040948,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8041f384d03397e38c9bed86e756d3d8266f4d86,RO62565,Dagata,212.6
